date,open,high,low,close,volume,average,barCount
2025-02-18 07:00:00,2.01,2.01,2.0,2.0,32,2.00083,3
2025-02-18 08:00:00,1.9997,1.9999,1.9997,1.9999,59,1.99977,2
2025-02-18 09:00:00,1.99,2.01,1.925,1.925,1095,1.97915,246
2025-02-18 10:00:00,1.9201,1.935,1.91,1.925,400,1.92254,181
2025-02-18 11:00:00,1.93,1.93,1.89,1.895,308,1.9101,109
2025-02-18 12:00:00,1.895,1.91,1.87,1.9,663,1.89499,272
2025-02-18 13:00:00,1.9054,1.91,1.87,1.875,218,1.88829,81
2025-02-18 14:00:00,1.875,1.88,1.85,1.855,506,1.86336,166
2025-02-18 15:00:00,1.855,1.865,1.83,1.83,1172,1.84649,398
2025-02-18 16:00:00,1.84,1.84,1.84,1.84,218,1.84,5
2025-02-18 17:00:00,1.84,1.84,1.84,1.84,0,1.84,0
2025-02-18 18:00:00,1.84,1.84,1.84,1.84,0,1.84,0
2025-02-18 19:00:00,1.84,1.84,1.84,1.84,0,1.84,0
2025-02-19 08:00:00,1.87,1.87,1.87,1.87,1,1.87,1
2025-02-19 09:00:00,1.85,1.85,1.76,1.78,357,1.78551,109
2025-02-19 10:00:00,1.7701,1.84,1.76,1.795,831,1.79705,379
2025-02-19 11:00:00,1.795,1.8,1.77,1.785,339,1.78685,196
2025-02-19 12:00:00,1.785,1.785,1.76,1.77,390,1.7725,175
2025-02-19 13:00:00,1.775,1.78,1.755,1.77,636,1.7646,245
2025-02-19 14:00:00,1.77,1.8175,1.755,1.815,688,1.78962,321
2025-02-19 15:00:00,1.81,1.815,1.77,1.77,784,1.78734,461
2025-02-19 16:00:00,1.77,1.7702,1.77,1.77,444,1.77,4
2025-02-19 17:00:00,1.77,1.77,1.77,1.77,0,1.77,0
2025-02-19 18:00:00,1.77,1.77,1.77,1.77,0,1.77,0
2025-02-19 19:00:00,1.78,1.78,1.78,1.78,1,1.78,1
2025-02-20 09:00:00,1.78,1.83,1.78,1.785,348,1.81246,83
2025-02-20 10:00:00,1.785,1.785,1.755,1.78,393,1.76684,115
2025-02-20 11:00:00,1.785,1.83,1.78,1.82,350,1.80541,152
2025-02-20 12:00:00,1.82,1.85,1.82,1.845,254,1.83044,87
2025-02-20 13:00:00,1.845,1.8499,1.81,1.815,154,1.82739,65
2025-02-20 14:00:00,1.815,1.85,1.81,1.83,711,1.82923,158
2025-02-20 15:00:00,1.83,1.87,1.83,1.865,578,1.84887,260
2025-02-20 16:00:00,1.86,1.86,1.86,1.86,188,1.86,3
2025-02-20 17:00:00,1.86,1.86,1.86,1.86,0,1.86,0
2025-02-20 18:00:00,1.86,1.86,1.86,1.86,0,1.86,0
2025-02-20 19:00:00,1.86,1.86,1.86,1.86,0,1.86,0
2025-02-21 08:00:00,1.95,1.95,1.95,1.95,10,1.95,1
2025-02-21 09:00:00,1.91,1.95,1.88,1.92,684,1.90817,123
2025-02-21 10:00:00,1.92,1.925,1.84,1.85,293,1.88306,112
2025-02-21 11:00:00,1.85,1.855,1.83,1.84,165,1.84548,93
2025-02-21 12:00:00,1.83,1.84,1.815,1.815,146,1.83151,64
2025-02-21 13:00:00,1.815,1.8167,1.8,1.8,193,1.80883,82
2025-02-21 14:00:00,1.8,1.805,1.78,1.785,339,1.79436,114
2025-02-21 15:00:00,1.78,1.815,1.78,1.795,650,1.79998,360
2025-02-21 16:00:00,1.79,1.79,1.79,1.79,272,1.79,4
2025-02-21 17:00:00,1.79,1.79,1.79,1.79,0,1.79,0
2025-02-21 18:00:00,1.79,1.79,1.79,1.79,0,1.79,0
2025-02-21 19:00:00,1.79,1.79,1.79,1.79,0,1.79,0
2025-02-24 09:00:00,1.83,1.83,1.75,1.77,265,1.77329,80
2025-02-24 10:00:00,1.77,1.785,1.75,1.75,479,1.76274,194
2025-02-24 11:00:00,1.752,1.79,1.75,1.765,657,1.76417,270
2025-02-24 12:00:00,1.76,1.825,1.76,1.815,717,1.79433,353
2025-02-24 13:00:00,1.815,1.82,1.805,1.805,270,1.81247,121
2025-02-24 14:00:00,1.805,1.825,1.785,1.785,550,1.80306,221
2025-02-24 15:00:00,1.79,1.8,1.77,1.77,1070,1.78485,616
2025-02-24 16:00:00,1.77,1.77,1.77,1.77,364,1.77,6
2025-02-24 17:00:00,1.77,1.77,1.77,1.77,0,1.77,0
2025-02-24 18:00:00,1.77,1.77,1.77,1.77,0,1.77,0
2025-02-24 19:00:00,1.77,1.77,1.77,1.77,0,1.77,0
2025-02-25 09:00:00,1.77,1.8094,1.77,1.775,176,1.77667,73
2025-02-25 10:00:00,1.775,1.775,1.72,1.7212,1074,1.74381,200
2025-02-25 11:00:00,1.725,1.725,1.69,1.705,485,1.70614,176
2025-02-25 12:00:00,1.7,1.7,1.68,1.6846,411,1.68996,82
2025-02-25 13:00:00,1.685,1.7275,1.685,1.7275,407,1.69976,133
2025-02-25 14:00:00,1.725,1.74,1.72,1.735,285,1.72637,121
2025-02-25 15:00:00,1.735,1.735,1.71,1.72,394,1.71586,179
2025-02-25 16:00:00,1.71,1.71,1.71,1.71,389,1.71,5
2025-02-25 17:00:00,1.71,1.71,1.71,1.71,0,1.71,0
2025-02-25 18:00:00,1.71,1.71,1.71,1.71,0,1.71,0
2025-02-25 19:00:00,1.71,1.71,1.71,1.71,0,1.71,0
2025-02-26 09:00:00,1.73,1.78,1.71,1.765,256,1.74757,91
2025-02-26 10:00:00,1.7606,1.82,1.7606,1.775,593,1.79572,187
2025-02-26 11:00:00,1.775,1.775,1.74,1.74,226,1.7577,108
2025-02-26 12:00:00,1.74,1.74,1.705,1.705,135,1.72556,76
2025-02-26 13:00:00,1.705,1.72,1.705,1.715,275,1.71367,134
2025-02-26 14:00:00,1.715,1.745,1.71,1.725,667,1.72162,226
2025-02-26 15:00:00,1.72,1.725,1.7,1.71,653,1.71077,343
2025-02-26 16:00:00,1.72,1.72,1.72,1.72,428,1.72,5
2025-02-26 17:00:00,1.72,1.72,1.72,1.72,0,1.72,0
2025-02-26 18:00:00,1.72,1.72,1.72,1.72,0,1.72,0
2025-02-26 19:00:00,1.72,1.72,1.72,1.72,0,1.72,0
2025-02-27 09:00:00,1.79,1.79,1.695,1.695,311,1.74142,61
2025-02-27 10:00:00,1.69,1.745,1.67,1.725,723,1.70973,283
2025-02-27 11:00:00,1.725,1.74,1.72,1.7261,249,1.72932,83
2025-02-27 12:00:00,1.72,1.73,1.72,1.725,140,1.72476,50
2025-02-27 13:00:00,1.725,1.75,1.72,1.73,333,1.73156,118
2025-02-27 14:00:00,1.73,1.74,1.67,1.675,1807,1.70159,408
2025-02-27 15:00:00,1.675,1.69,1.6,1.6,2054,1.64476,497
2025-02-27 16:00:00,1.59,1.6,1.59,1.59,354,1.59017,7
2025-02-27 17:00:00,1.61,1.61,1.6,1.6,50,1.60068,3
2025-02-27 18:00:00,1.6,1.6,1.6,1.6,0,1.6,0
2025-02-27 19:00:00,1.68,1.68,1.68,1.68,1,1.68,1
2025-02-28 09:00:00,1.62,1.71,1.5801,1.625,564,1.61455,197
2025-02-28 10:00:00,1.63,1.69,1.6217,1.69,914,1.66116,302
2025-02-28 11:00:00,1.6999,1.7,1.66,1.67,387,1.67983,170
2025-02-28 12:00:00,1.67,1.71,1.66,1.6634,728,1.68045,237
2025-02-28 13:00:00,1.66,1.66,1.62,1.62,394,1.63743,151
2025-02-28 14:00:00,1.625,1.63,1.6,1.605,438,1.61662,169
2025-02-28 15:00:00,1.605,1.63,1.6,1.61,867,1.61392,470
2025-02-28 16:00:00,1.62,1.63,1.62,1.63,678,1.62001,7
2025-02-28 17:00:00,1.63,1.63,1.63,1.63,0,1.63,0
2025-02-28 18:00:00,1.63,1.63,1.63,1.63,0,1.63,0
2025-02-28 19:00:00,1.63,1.63,1.63,1.63,0,1.63,0
2025-03-03 09:00:00,1.64,1.64,1.56,1.56,644,1.5889,163
2025-03-03 10:00:00,1.56,1.5699,1.54,1.565,880,1.55211,191
2025-03-03 11:00:00,1.5692,1.575,1.55,1.56,199,1.557,56
2025-03-03 12:00:00,1.5594,1.5594,1.535,1.535,325,1.54531,84
2025-03-03 13:00:00,1.53,1.53,1.5,1.52,1782,1.51131,373
2025-03-03 14:00:00,1.52,1.52,1.465,1.465,723,1.49186,214
2025-03-03 15:00:00,1.45,1.49,1.4309,1.47,1774,1.45945,548
2025-03-03 16:00:00,1.46,1.46,1.46,1.46,304,1.46,2
2025-03-03 17:00:00,1.46,1.46,1.46,1.46,0,1.46,0
2025-03-03 18:00:00,1.5,1.52,1.5,1.52,4,1.515,3
2025-03-03 19:00:00,1.52,1.52,1.52,1.52,0,1.52,0
2025-03-04 09:00:00,1.42,1.43,1.41,1.415,150,1.41827,13
2025-03-04 10:00:00,1.4149,1.475,1.41,1.475,504,1.43718,122
2025-03-04 11:00:00,1.48,1.55,1.47,1.505,977,1.51815,324
2025-03-04 12:00:00,1.505,1.52,1.5,1.515,226,1.51111,115
2025-03-04 13:00:00,1.515,1.53,1.51,1.53,545,1.52322,172
2025-03-04 14:00:00,1.53,1.55,1.52,1.55,596,1.53177,182
2025-03-04 15:00:00,1.55,1.55,1.49,1.5,1002,1.50358,418
2025-03-04 16:00:00,1.49,1.49,1.49,1.49,200,1.49,2
2025-03-04 17:00:00,1.49,1.49,1.49,1.49,0,1.49,0
2025-03-04 18:00:00,1.5,1.5,1.5,1.5,1,1.5,1
2025-03-04 19:00:00,1.5,1.5,1.5,1.5,0,1.5,0
2025-03-05 09:00:00,1.49,1.55,1.475,1.49,117,1.48729,35
2025-03-05 10:00:00,1.51,1.51,1.46,1.485,143,1.48108,50
2025-03-05 11:00:00,1.485,1.485,1.45,1.46,186,1.46083,68
2025-03-05 12:00:00,1.47,1.485,1.465,1.475,165,1.47641,61
