date,open,high,low,close,volume,average,barCount
2023-12-20,31.98,32.49,30.96,30.98,3457,31.736,2133
2023-12-21,31.6,32.27,30.86,32.22,3433,31.836,2544
2023-12-22,32.24,32.79,31.36,31.63,4874,32.008,3314
2023-12-26,31.63,32.43,31.38,31.85,3034,31.852,1686
2023-12-27,31.85,32.21,31.33,31.68,2769,31.619,1925
2023-12-28,31.7,32.29,31.63,32.1,2340,31.971,1346
2023-12-29,31.9,32.01,31.15,31.21,3041,31.401,1948
2024-01-02,30.8,31.06,29.5,29.73,5666,30.282,4062
2024-01-03,29.3,29.95,28.43,29.2,4678,29.285,2718
2024-01-04,29.2,29.25,28.73,28.96,5686,28.946,4154
2024-01-05,28.22,28.9,27.81,28.46,6354,28.49,4768
2024-01-08,27.04,31.97,27.0,31.74,13380,30.566,7223
2024-01-09,31.36,34.16,31.22,34.0,12063,33.675,7387
2024-01-10,34.2,34.71,32.28,33.32,5617,33.171,3514
2024-01-11,33.49,33.6,32.38,32.96,4350,32.91,2258
2024-01-12,33.32,33.59,31.7,31.7,2864,32.521,2057
2024-01-16,31.14,31.57,29.94,30.07,4921,30.512,2825
2024-01-17,29.49,29.63,28.86,29.48,2725,29.317,1814
2024-01-18,29.65,30.03,29.19,29.89,2609,29.606,1892
2024-01-19,29.83,29.83,28.5,29.03,2268,29.025,1563
2024-01-22,29.08,30.18,28.87,29.71,3465,29.465,2090
2024-01-23,30.48,30.77,29.43,30.51,2701,30.185,1661
2024-01-24,31.08,31.08,29.66,30.0,3032,30.092,1887
2024-01-25,30.22,30.76,29.2,29.67,2575,29.769,1651
2024-01-26,30.02,30.22,29.26,29.57,1972,29.673,1193
2024-01-29,29.59,30.75,29.31,30.7,3212,30.36,1776
2024-01-30,30.95,31.58,28.96,29.13,3442,30.096,1918
2024-01-31,29.14,29.22,27.91,28.01,2840,28.622,2172
2024-02-01,28.45,29.04,28.02,28.7,2873,28.547,1897
2024-02-02,28.05,28.26,27.27,27.82,2538,27.645,1757
2024-02-05,27.23,27.74,26.65,27.67,4059,27.246,3416
2024-02-06,27.9,31.08,27.58,31.02,15113,30.343,8260
2024-02-07,30.98,31.01,29.42,29.66,2637,29.829,1768
2024-02-08,29.42,30.51,29.42,30.35,1670,29.984,1126
2024-02-09,30.74,31.09,29.93,30.16,2253,30.306,1580
2024-02-12,30.14,31.56,29.92,31.34,3215,30.916,2319
2024-02-13,29.72,30.59,29.2,29.49,3725,29.817,2702
2024-02-14,30.24,30.38,29.55,29.89,2115,29.935,1438
2024-02-15,30.21,31.33,30.21,31.27,2774,30.923,1914
2024-02-16,30.83,31.61,30.54,30.85,3891,31.185,2853
2024-02-20,30.5,31.44,30.18,30.79,2368,30.822,1566
2024-02-21,30.33,30.45,29.62,30.39,2238,30.113,1524
2024-02-22,30.34,31.1,29.77,30.5,2208,30.606,1609
2024-02-23,30.32,31.13,29.92,30.67,1870,30.515,1543
2024-02-26,30.67,31.84,30.38,31.75,3661,31.406,2367
2024-02-27,33.0,34.67,31.23,32.68,7569,32.697,5329
2024-02-28,31.97,33.0,31.34,31.56,2926,32.191,1967
2024-02-29,32.4,33.26,31.22,31.24,2697,32.087,1804
2024-03-01,31.78,33.81,31.6,33.31,3545,33.236,2349
2024-03-04,33.33,34.65,33.13,34.5,3167,34.131,2271
2024-03-05,34.11,34.82,32.73,33.28,2991,33.289,1986
2024-03-06,33.31,36.15,32.98,35.5,4435,35.232,3086
2024-03-07,36.0,36.48,35.03,35.11,4346,35.6,2725
2024-03-08,36.0,37.2,35.34,35.86,4681,36.124,2769
2024-03-11,38.58,40.2,38.18,38.78,6186,39.031,4086
2024-03-12,38.62,38.96,37.31,37.64,2871,37.958,2093
2024-03-13,37.85,40.11,37.85,38.15,3874,38.788,2759
2024-03-14,37.68,38.62,37.52,38.03,4882,38.091,3516
2024-03-15,38.03,39.15,37.49,37.72,4477,37.943,2358
2024-03-18,37.72,39.13,37.51,38.41,2162,38.525,1622
2024-03-19,38.05,39.24,37.99,38.57,2492,38.721,2081
2024-03-20,38.46,40.1,38.01,39.61,3601,39.27,2744
2024-03-21,39.59,40.5,38.93,38.98,2937,39.709,2271
2024-03-22,38.62,38.86,36.86,36.93,2545,37.341,1759
