date,open,high,low,close,volume,average,barCount
2024-01-02,5.41,5.665,5.3523,5.54,3945,5.56115,2190
2024-01-03,5.54,5.55,5.25,5.26,5206,5.39003,3050
2024-01-04,5.31,5.405,5.225,5.31,4826,5.34373,2849
2024-01-05,5.25,5.42,5.02,5.39,4166,5.32077,2190
2024-01-08,5.36,5.48,5.36,5.41,4636,5.42522,2317
2024-01-09,5.34,5.53,5.3,5.4,7198,5.41931,3447
2024-01-10,5.38,5.42,5.3,5.41,6722,5.35744,3870
2024-01-11,5.4,5.5599,5.305,5.53,6314,5.48859,3487
2024-01-12,5.6,5.775,5.57,5.65,6714,5.65758,3732
2024-01-16,5.59,5.71,5.47,5.61,5588,5.62658,3319
2024-01-17,5.49,5.605,5.45,5.59,5560,5.53656,2852
2024-01-18,5.65,5.765,5.54,5.74,5138,5.66921,2780
2024-01-19,5.72,5.78,5.55,5.71,8588,5.69477,4219
2024-01-22,5.71,5.87,5.6,5.86,5282,5.74109,2993
2024-01-23,5.85,6.0461,5.825,5.96,7739,5.92619,3496
2024-01-24,6.0,6.01,5.86,5.88,5656,5.90856,3210
2024-01-25,5.97,6.09,5.88,5.97,6107,5.9726,3368
2024-01-26,6.04,6.065,5.955,6.03,3331,6.01467,1676
2024-01-29,6.06,6.115,5.95,6.03,4655,6.03374,1959
2024-01-30,6.02,6.095,5.96,6.07,5092,6.05156,2530
2024-01-31,6.06,6.215,5.93,5.95,7415,6.02491,3086
2024-02-01,5.99,6.155,5.87,6.15,7167,6.0373,4366
2024-02-02,6.07,6.2,6.01,6.14,3181,6.10714,1650
2024-02-05,6.07,6.15,5.965,6.12,4860,6.07051,3101
2024-02-06,6.11,6.31,6.055,6.21,5083,6.22054,2218
2024-02-07,6.22,6.22,6.01,6.09,3483,6.10045,1644
2024-02-08,6.11,6.225,6.03,6.21,2668,6.17255,1532
2024-02-09,6.22,6.24,6.15,6.17,4278,6.2037,2114
2024-02-12,6.18,6.37,6.16,6.31,5316,6.28469,3576
2024-02-13,6.22,6.28,6.145,6.19,5974,6.21445,4030
