date,open,high,low,close,volume,average,barCount
2024-01-02,17.76,17.98,17.42,17.67,30771,17.632,16080
2024-01-03,17.25,17.38,17.01,17.07,31545,17.164,17334
2024-01-04,16.95,16.95,16.58,16.62,28039,16.724,12510
2024-01-05,16.67,17.24,16.62,17.1,38053,17.051,18782
2024-01-08,17.24,17.61,17.12,17.46,30206,17.446,12720
2024-01-09,17.0,17.2,16.44,16.67,48954,16.665,22326
2024-01-10,16.63,17.07,16.14,17.02,46439,16.695,20489
2024-01-11,17.04,17.28,16.76,17.04,29559,17.018,13742
2024-01-12,17.32,17.48,16.72,17.11,33086,17.055,14227
2024-01-16,17.02,18.0,16.97,17.68,99790,17.585,39321
2024-01-17,17.36,17.77,17.17,17.55,61076,17.461,30237
2024-01-18,17.8,18.05,17.14,17.38,41855,17.497,17535
2024-01-19,17.43,17.45,16.53,17.03,59353,16.837,25433
2024-01-22,17.65,18.87,17.12,17.33,106761,17.949,43687
2024-01-23,17.43,17.48,17.01,17.08,32622,17.177,16160
2024-01-24,17.47,17.74,17.26,17.37,28272,17.461,13402
2024-01-25,17.55,17.92,17.3,17.9,32432,17.693,15814
2024-01-26,17.9,18.27,17.78,18.1,34353,18.103,14962
2024-01-29,18.15,18.6,18.09,18.32,42109,18.31,17698
2024-01-30,18.27,18.27,17.64,17.81,32527,17.933,16096
2024-01-31,17.79,17.9,17.16,17.19,43645,17.44,23552
2024-02-01,17.1,17.94,16.95,17.88,44553,17.626,24201
2024-02-02,17.67,18.34,17.67,18.21,29840,18.125,16449
2024-02-05,18.06,18.13,17.37,17.62,30729,17.599,14689
2024-02-06,17.56,17.94,17.32,17.92,31646,17.616,15704
2024-02-07,18.05,18.26,17.62,17.97,28756,17.913,13317
2024-02-08,18.0,18.2,17.83,18.16,31415,18.037,14214
2024-02-09,18.61,19.46,17.87,18.11,93954,18.482,38119
2024-02-12,18.08,18.19,17.37,17.55,49046,17.762,22280
2024-02-13,16.95,17.3,16.43,17.02,51611,17.009,26053
2024-02-14,17.3,17.62,17.2,17.52,26993,17.47,13245
2024-02-15,17.1,17.44,16.97,17.2,40896,17.219,17461
2024-02-16,17.11,17.19,16.48,16.5,46393,16.726,18508
2024-02-20,16.39,16.62,16.25,16.57,25521,16.477,12993
2024-02-21,16.2,16.39,16.09,16.23,33550,16.241,17114
2024-02-22,16.5,16.55,16.28,16.5,18971,16.45,10170
2024-02-23,16.48,17.04,16.43,16.83,39840,16.803,19260
2024-02-26,17.0,17.21,16.94,17.06,24737,17.073,12267
2024-02-27,17.16,17.43,16.95,17.37,19003,17.255,8904
2024-02-28,17.1,17.44,17.02,17.26,17404,17.304,8664
2024-02-29,17.45,17.58,17.09,17.21,21433,17.301,9308
2024-03-01,17.24,17.45,16.97,17.12,23613,17.195,10042
2024-03-04,17.09,17.21,16.35,16.42,38424,16.613,18768
2024-03-05,16.26,16.32,15.9,15.98,35881,16.02,17234
2024-03-06,16.5,16.86,16.33,16.39,31231,16.572,16832
2024-03-07,16.42,16.7,16.25,16.6,27829,16.506,13288
2024-03-08,16.65,16.98,16.49,16.68,26131,16.699,15337
2024-03-11,16.73,16.97,16.49,16.96,18106,16.803,9097
2024-03-12,16.96,17.47,16.86,17.26,21642,17.209,11935
2024-03-13,17.18,17.66,17.15,17.28,26426,17.386,14611
2024-03-14,17.25,17.37,16.86,17.35,21249,17.152,11842
2024-03-15,17.2,17.43,17.08,17.3,31108,17.251,13844
2024-03-18,17.58,17.68,17.22,17.47,53656,17.435,24174
2024-03-19,15.46,16.74,15.12,16.27,174901,16.196,74504
2024-03-20,16.29,17.0,15.82,16.78,56171,16.576,28727
2024-03-21,16.92,16.95,16.46,16.77,50767,16.764,25068
2024-03-22,16.67,16.67,16.28,16.3,36458,16.436,18119
2024-03-25,16.16,16.47,15.81,15.83,30051,16.098,13988
2024-03-26,16.22,17.27,16.2,16.64,62210,16.882,30916
2024-03-27,16.75,16.82,16.31,16.72,36332,16.581,19223
2024-03-28,16.69,16.97,16.55,16.61,35836,16.678,17431
2024-04-01,16.68,16.96,16.29,16.32,28423,16.558,14888
2024-04-02,16.27,16.87,16.16,16.24,45299,16.484,17379
2024-04-03,16.05,16.52,16.04,16.32,28909,16.291,14174
2024-04-04,16.5,17.32,16.5,16.85,63356,16.978,27216
2024-04-05,16.83,17.02,16.5,16.83,34074,16.795,18353
2024-04-08,16.9,17.69,16.9,17.68,51766,17.543,23745
2024-04-09,17.87,17.93,17.13,17.28,35981,17.346,17006
2024-04-10,16.74,17.23,16.37,16.53,37002,16.725,18818
2024-04-11,16.42,16.72,16.26,16.64,29553,16.508,14803
2024-04-12,16.41,16.55,15.97,16.12,28312,16.203,14444
2024-04-15,16.13,16.3,15.62,15.67,37633,15.821,20395
2024-04-16,15.44,15.63,15.19,15.29,39655,15.365,19461
2024-04-17,15.43,15.62,15.21,15.25,30167,15.327,15041
2024-04-18,15.43,15.74,15.18,15.26,28707,15.379,15245
2024-04-19,15.2,15.53,15.12,15.3,59533,15.354,31397
2024-04-22,15.51,15.67,15.22,15.27,39383,15.403,20317
2024-04-23,15.27,15.84,15.22,15.78,29144,15.583,15175
2024-04-24,15.82,15.86,15.42,15.83,30828,15.678,15473
2024-04-25,15.41,15.7,15.16,15.57,33956,15.47,15704
2024-04-26,15.75,16.38,15.75,16.35,46739,16.132,22185
2024-04-29,16.52,16.59,16.09,16.19,20109,16.25,10581
2024-04-30,16.0,16.15,15.57,15.6,21279,15.799,11240
2024-05-01,15.58,15.91,15.24,15.74,31811,15.635,17721
2024-05-02,15.94,16.29,15.63,16.27,22570,16.053,12732
2024-05-03,16.59,17.04,16.56,16.73,26875,16.833,13592
2024-05-06,16.9,17.09,16.76,16.8,21350,16.906,11172
2024-05-07,16.76,17.0,16.68,16.87,23826,16.871,11043
2024-05-08,16.63,17.03,16.54,16.97,18951,16.776,10752
2024-05-09,16.82,16.86,16.35,16.7,30778,16.648,14849
2024-05-10,16.93,16.99,16.5,16.6,19599,16.688,10992
2024-05-13,16.8,16.94,16.56,16.65,41792,16.711,20890
2024-05-14,15.27,15.49,14.57,15.3,182144,15.103,74881
2024-05-15,15.46,15.64,14.9,14.98,50447,15.132,26288
2024-05-16,14.99,15.06,14.67,14.77,36902,14.856,16239
2024-05-17,14.82,14.84,14.46,14.63,39108,14.651,16114
2024-05-20,14.58,14.87,14.3,14.85,47306,14.618,19539
2024-05-21,14.81,15.23,14.74,15.17,53443,15.018,22528
2024-05-22,15.03,15.16,14.35,14.36,67136,14.56,26491
2024-05-23,14.42,14.44,14.09,14.29,47667,14.26,22134
2024-05-24,14.47,14.81,14.22,14.29,54124,14.499,24506
2024-05-28,14.34,14.52,14.11,14.32,40352,14.317,15284
2024-05-29,14.11,14.15,13.83,13.87,34213,13.992,15140
2024-05-30,13.94,14.03,13.83,13.89,18588,13.933,8927
2024-05-31,13.95,14.0,13.63,13.84,26927,13.743,13698
2024-06-03,13.86,13.92,13.36,13.58,31829,13.519,15500
2024-06-04,13.4,13.49,13.1,13.36,51654,13.301,22394
2024-06-05,13.49,13.59,13.04,13.22,31885,13.235,16197
2024-06-06,13.61,13.77,13.51,13.53,46871,13.613,21280
2024-06-07,13.31,13.45,13.22,13.24,32699,13.351,17266
2024-06-10,13.07,13.17,13.01,13.13,20422,13.092,10815
2024-06-11,13.04,13.11,12.64,12.75,53318,12.765,19780
2024-06-12,13.18,13.21,12.65,12.72,78104,12.762,29050
2024-06-13,12.75,12.86,12.36,12.39,41081,12.485,17526
2024-06-14,12.3,12.32,12.0,12.14,39271,12.151,15647
2024-06-17,12.03,12.14,11.87,11.94,36218,11.954,15957
2024-06-18,11.91,11.91,11.57,11.72,51459,11.707,22501
2024-06-20,11.66,12.01,11.51,11.95,76229,11.805,34548
2024-06-21,11.93,11.94,11.62,11.72,50802,11.74,19107
2024-06-24,11.8,12.02,11.66,11.81,44835,11.866,18319
2024-06-25,11.75,12.07,11.7,11.94,42854,11.929,19762
2024-06-26,11.79,11.86,11.64,11.8,38663,11.744,18925
2024-06-27,11.83,12.09,11.75,12.07,34846,11.931,16554
2024-06-28,12.06,12.09,11.8,11.99,33123,11.906,16483
2024-07-01,12.02,12.05,11.62,11.73,35491,11.751,14197
2024-07-02,11.74,11.82,11.63,11.79,17861,11.732,8216
2024-07-03,11.84,12.24,11.83,12.11,18130,12.091,8133
2024-07-05,12.02,12.45,12.02,12.34,32302,12.324,16889
2024-07-08,12.7,13.12,12.63,13.03,43891,12.917,21309
2024-07-09,13.03,13.36,12.98,13.21,37966,13.201,17094
2024-07-10,13.34,13.42,13.08,13.21,32014,13.283,15438
2024-07-11,13.44,13.54,13.19,13.42,38159,13.387,15641
2024-07-12,13.54,13.7,13.42,13.47,34024,13.529,14514
2024-07-15,13.5,13.61,13.22,13.41,27216,13.442,12660
2024-07-16,13.48,13.69,13.43,13.66,22727,13.608,9799
2024-07-17,13.56,13.74,13.42,13.62,34714,13.609,14989
2024-07-18,13.54,13.55,12.88,12.91,43983,13.143,17737
2024-07-19,12.91,13.27,12.82,12.95,42978,13.023,15066
2024-07-22,13.07,13.49,12.96,13.43,41055,13.309,20430
2024-07-23,13.29,13.77,13.28,13.58,38702,13.613,17003
2024-07-24,13.44,13.51,13.15,13.17,38232,13.296,16892
2024-07-25,13.17,13.67,13.14,13.34,39821,13.447,16568
