date,open,high,low,close,volume,average,barCount
2024-01-02,1.73,1.93,1.73,1.87,3458,1.87699,1590
2024-01-03,1.87,1.875,1.8,1.87,1697,1.85231,815
2024-01-04,1.85,1.87,1.8,1.85,1331,1.85698,661
2024-01-05,1.86,1.86,1.72,1.74,1244,1.77186,622
2024-01-08,1.84,1.85,1.72,1.78,1162,1.75804,466
2024-01-09,1.75,1.77,1.7199,1.74,1155,1.74688,527
2024-01-10,1.87,2.17,1.82,1.94,11152,2.02079,3901
2024-01-11,1.97,2.05,1.88,2.05,2574,1.97673,1030
2024-01-12,2.01,2.04,1.86,1.86,2853,1.91494,1341
2024-01-16,1.87,1.89,1.785,1.82,2238,1.82353,1078
2024-01-17,1.82,1.885,1.74,1.84,3198,1.78122,1150
2024-01-18,1.84,1.9291,1.81,1.84,1517,1.87834,603
2024-01-19,1.82,1.88,1.8,1.85,670,1.84622,434
2024-01-22,1.84,2.01,1.84,1.98,2050,1.96064,734
2024-01-23,2.01,2.17,1.985,2.14,3103,2.10743,1240
2024-01-24,2.19,2.25,2.07,2.1,1615,2.18674,816
2024-01-25,2.1,2.165,2.06,2.08,1145,2.09613,490
2024-01-26,2.09,2.12,1.99,2.03,1062,2.02213,513
2024-01-29,2.04,2.165,2.0,2.12,961,2.11733,435
2024-01-30,2.12,2.12,2.025,2.08,550,2.06003,351
2024-01-31,2.07,2.11,2.02,2.02,918,2.05204,439
2024-02-01,2.06,2.16,2.05,2.16,1015,2.09702,461
2024-02-02,2.14,2.17,2.12,2.17,984,2.14728,668
2024-02-05,2.13,2.38,2.11,2.29,1942,2.27758,897
2024-02-06,2.3,2.46,2.298,2.4,2236,2.41648,1034
2024-02-07,2.43,2.43,2.34,2.37,909,2.38182,525
2024-02-08,2.36,2.515,2.36,2.43,1401,2.45729,593
2024-02-09,2.46,2.63,2.46,2.59,2159,2.56759,864
2024-02-12,2.61,2.77,2.5839,2.73,2518,2.71548,1217
2024-02-13,2.69,2.7,2.54,2.65,2907,2.61104,1330
2024-02-14,2.66,2.965,2.66,2.85,4972,2.84955,2022
2024-02-15,2.88,2.88,2.77,2.8,2394,2.80827,970
2024-02-16,2.8,2.865,2.75,2.8,2893,2.81367,1352
2024-02-20,2.8,3.14,2.74,3.05,5153,3.01445,2137
2024-02-21,3.05,3.29,3.04,3.16,5731,3.14515,2923
2024-02-22,3.2,3.2,2.78,2.81,3593,2.88068,1438
2024-02-23,2.84,3.08,2.833,3.05,2452,2.99564,1176
2024-02-26,3.04,3.1,2.864,2.96,2163,2.98809,1215
2024-02-27,2.93,3.0,2.86,2.9,1560,2.9111,851
2024-02-28,2.88,2.9199,2.7801,2.81,1580,2.8263,834
2024-02-29,2.88,2.89,2.755,2.87,1668,2.83036,831
2024-03-01,2.89,2.89,2.5,2.7,5143,2.67002,2272
2024-03-04,2.72,2.735,2.58,2.61,2765,2.63547,1090
2024-03-05,2.5,2.65,2.31,2.43,5081,2.5155,2257
2024-03-06,2.41,2.51,2.4,2.41,1920,2.45745,1049
2024-03-07,2.43,2.66,2.41,2.6,2556,2.58757,1531
2024-03-08,2.64,2.89,2.59,2.67,2545,2.69927,1246
2024-03-11,2.69,2.71,2.525,2.56,1607,2.60135,851
2024-03-12,2.56,2.61,2.475,2.48,1430,2.53307,978
2024-03-13,2.48,2.56,2.46,2.49,1972,2.50118,872
2024-03-14,2.49,2.53,2.4,2.45,1691,2.44548,796
2024-03-15,2.42,2.48,2.4,2.48,1729,2.42799,951
2024-03-18,2.43,2.56,2.415,2.48,2043,2.4814,889
2024-03-19,2.49,2.55,2.44,2.51,1755,2.50012,1040
2024-03-20,2.53,2.58,2.48,2.57,1039,2.53501,743
2024-03-21,2.58,2.615,2.49,2.51,891,2.54122,662
2024-03-22,2.51,2.54,2.4201,2.51,1585,2.4807,649
2024-03-25,2.52,2.53,2.41,2.45,1409,2.45062,690
2024-03-26,2.45,2.505,2.4201,2.49,1107,2.46759,700
2024-03-27,2.52,2.55,2.46,2.51,695,2.51541,466
2024-03-28,2.55,2.6776,2.54,2.61,1770,2.62078,705
2024-04-01,2.61,2.65,2.56,2.58,637,2.60596,425
2024-04-02,2.63,3.13,2.63,3.01,21858,2.97634,6225
2024-04-03,3.02,3.05,2.83,2.95,7530,2.95886,2435
2024-04-04,3.0,3.21,2.9001,3.09,7520,3.0639,2581
2024-04-05,3.09,3.29,3.06,3.2,3902,3.16093,1502
2024-04-08,3.2,3.2218,3.0,3.04,2497,3.10584,1165
2024-04-09,3.04,3.07,2.8453,2.97,2590,2.91923,1222
2024-04-10,2.95,2.98,2.79,2.91,2939,2.86935,1245
2024-04-11,2.86,2.97,2.815,2.91,2083,2.88913,922
2024-04-12,2.9,2.9538,2.58,2.71,3587,2.67578,1211
2024-04-15,2.73,2.7645,2.651,2.7,1317,2.6909,635
2024-04-16,2.63,2.72,2.58,2.64,2011,2.64828,1109
2024-04-17,2.65,2.7099,2.58,2.58,1913,2.61357,997
2024-04-18,2.58,2.5999,2.45,2.45,2005,2.50023,703
2024-04-19,2.46,2.54,2.45,2.49,1127,2.49028,694
2024-04-22,2.49,2.55,2.43,2.5,1357,2.49461,764
2024-04-23,2.53,2.665,2.52,2.56,1833,2.59272,1047
2024-04-24,2.61,2.61,2.38,2.38,1966,2.45914,732
2024-04-25,2.39,2.4,2.26,2.35,4392,2.33026,1581
2024-04-26,2.36,2.39,2.265,2.3,2005,2.31128,958
2024-04-29,2.29,2.3,2.25,2.3,2786,2.26709,1218
2024-04-30,2.31,2.38,2.27,2.35,1391,2.32967,743
2024-05-01,2.33,2.43,2.3199,2.41,1443,2.36595,755
2024-05-02,2.41,2.41,2.3,2.32,1261,2.34046,634
2024-05-03,2.35,2.4797,2.3,2.34,2068,2.35884,962
2024-05-06,2.34,2.37,2.25,2.25,3379,2.31277,1175
2024-05-07,2.28,2.4,2.25,2.25,1746,2.29888,1055
2024-05-08,2.26,2.29,2.16,2.16,2665,2.20595,967
2024-05-09,2.18,2.26,2.175,2.19,3714,2.20865,1307
2024-05-10,2.19,2.21,2.18,2.18,1790,2.19696,707
2024-05-13,2.18,2.22,2.13,2.16,5768,2.17686,1607
2024-05-14,2.23,2.26,2.05,2.09,3599,2.14264,1446
2024-05-15,2.1,2.17,2.075,2.09,4085,2.12768,1776
2024-05-16,2.09,2.16,2.05,2.09,2602,2.0875,1489
2024-05-17,2.09,2.11,2.08,2.1,2678,2.09676,1222
2024-05-20,2.07,2.12,2.05,2.09,1720,2.07348,910
2024-05-21,2.06,2.12,2.06,2.11,2054,2.10498,1103
2024-05-22,2.11,2.1705,2.08,2.09,3406,2.13361,1210
2024-05-23,2.09,2.09,2.0,2.02,3376,2.03808,1120
2024-05-24,2.04,2.04,1.93,1.98,2314,1.98039,925
2024-05-28,1.98,1.99,1.88,1.91,3522,1.91063,1820
2024-05-29,1.91,1.9999,1.89,1.99,3035,1.95642,1299
2024-05-30,1.99,2.035,1.96,2.01,1081,1.99317,572
2024-05-31,1.99,2.04,1.8701,1.93,4984,1.93467,2561
2024-06-03,1.85,1.925,1.83,1.9,4870,1.86402,1920
2024-06-04,1.9,1.925,1.87,1.92,2087,1.89874,1035
2024-06-05,1.91,1.95,1.88,1.92,2234,1.92101,1124
2024-06-06,1.94,2.01,1.865,1.98,1895,1.93589,1096
2024-06-07,1.99,2.005,1.895,1.92,1160,1.94117,602
2024-06-10,1.92,2.05,1.92,2.01,1922,2.0085,1235
2024-06-11,2.0,2.02,1.93,1.97,1984,1.96117,1159
2024-06-12,2.0,2.04,1.93,1.94,1104,1.98701,660
2024-06-13,1.93,1.98,1.9,1.91,1472,1.92882,962
2024-06-14,1.89,1.9,1.85,1.86,1751,1.86464,785
2024-06-17,1.85,1.9,1.84,1.87,1713,1.85932,814
2024-06-18,1.89,1.91,1.84,1.84,2204,1.88249,956
2024-06-20,1.85,1.88,1.82,1.84,1553,1.84617,871
2024-06-21,1.845,1.87,1.82,1.82,1896,1.84433,904
2024-06-24,1.86,1.86,1.8,1.8,2014,1.82186,954
2024-06-25,1.8,1.85,1.75,1.75,3533,1.80419,1476
2024-06-26,1.75,1.78,1.66,1.73,4422,1.72362,2431
2024-06-27,1.8,1.86,1.72,1.76,3477,1.77962,2096
2024-06-28,1.76,1.87,1.71,1.82,6602,1.80372,3610
2024-07-01,1.82,1.86,1.74,1.77,1999,1.77302,1317
2024-07-02,1.75,1.79,1.72,1.76,1419,1.74903,860
2024-07-03,1.78,1.79,1.72,1.79,748,1.75927,420
2024-07-05,1.78,1.79,1.74,1.76,2283,1.759,1350
2024-07-08,1.78,1.8,1.76,1.79,1663,1.77674,974
2024-07-09,1.77,1.84,1.77,1.77,1248,1.80815,555
2024-07-10,1.8,1.86,1.7818,1.86,2222,1.83598,981
2024-07-11,1.87,1.93,1.853,1.92,1478,1.90192,924
2024-07-12,1.93,2.0,1.87,1.9,1601,1.92474,742
2024-07-15,1.93,2.015,1.88,2.01,2173,1.94773,1068
2024-07-16,2.02,2.11,2.02,2.11,2390,2.07505,1297
2024-07-17,2.12,2.125,2.01,2.03,2084,2.05633,933
2024-07-18,2.03,2.06,1.96,1.99,867,1.99272,565
2024-07-19,1.99,2.0,1.91,1.98,1380,1.95205,719
2024-07-22,1.96,2.0,1.93,1.99,1226,1.95972,706
2024-07-23,1.99,2.07,1.98,2.06,937,2.03637,570
2024-07-24,2.06,2.0699,1.98,1.99,1023,2.02032,545
2024-07-25,2.01,2.05,1.97,2.04,1138,2.02393,507
2024-07-26,2.06,2.06,1.98,2.06,1026,2.02839,426
2024-07-29,2.05,2.06,1.94,1.94,1074,1.98569,363
2024-07-30,1.97,2.0,1.91,2.0,936,1.96466,550
2024-07-31,1.99,2.0304,1.97,2.0,779,1.99996,469
2024-08-01,1.99,1.99,1.87,1.88,1336,1.91271,586
2024-08-02,1.85,1.865,1.795,1.8,2191,1.83079,1005
2024-08-05,1.74,1.785,1.68,1.77,1418,1.73884,665
2024-08-06,1.82,1.855,1.75,1.82,1363,1.81342,739
2024-08-07,1.83,1.8599,1.78,1.78,622,1.80286,310
2024-08-08,1.79,1.875,1.79,1.85,1176,1.83721,461
2024-08-09,1.83,1.87,1.79,1.87,1011,1.83912,419
2024-08-12,1.87,1.885,1.8,1.8,1246,1.84818,631
2024-08-13,1.84,2.04,1.82,2.01,2158,1.96227,487
2024-08-14,2.0,2.04,1.87,1.91,918,1.93502,404
2024-08-15,1.95,1.95,1.89,1.9,1493,1.90995,694
2024-08-16,1.9,1.93,1.87,1.88,1785,1.90795,806
2024-08-19,1.89,1.92,1.88,1.91,561,1.90015,255
2024-08-20,1.92,2.04,1.88,2.0,2407,1.9814,809
2024-08-21,2.03,2.25,2.03,2.21,6304,2.16661,2100
2024-08-22,2.23,2.3598,2.23,2.25,3366,2.29872,1029
2024-08-23,2.3,2.314,2.25,2.29,1847,2.28319,650
2024-08-26,2.37,2.46,2.32,2.35,3550,2.38143,1174
2024-08-27,2.33,2.4,2.282,2.33,1186,2.34428,553
2024-08-28,2.3,2.3,2.2099,2.22,1139,2.24077,483
2024-08-29,2.26,2.3,2.2399,2.29,943,2.28217,417
2024-08-30,2.26,2.31,2.2201,2.29,696,2.26914,411
