date,open,high,low,close,volume,average,barCount
2025-02-18 09:00:00,2.24,2.24,2.19,2.195,155,2.21129,42
2025-02-18 10:00:00,2.2,2.2251,2.19,2.2,300,2.20843,133
2025-02-18 11:00:00,2.2084,2.21,2.19,2.195,329,2.199,93
2025-02-18 12:00:00,2.195,2.21,2.19,2.1908,209,2.20065,87
2025-02-18 13:00:00,2.2,2.22,2.1602,2.175,972,2.19309,354
2025-02-18 14:00:00,2.17,2.175,2.15,2.16,665,2.16366,295
2025-02-18 15:00:00,2.165,2.185,2.155,2.165,581,2.17105,388
2025-02-18 16:00:00,2.17,2.17,2.17,2.17,87,2.17,1
2025-02-18 17:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-18 18:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-18 19:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-19 09:00:00,2.15,2.165,2.14,2.16,397,2.15341,138
2025-02-19 10:00:00,2.165,2.1672,2.16,2.165,258,2.16331,99
2025-02-19 11:00:00,2.17,2.21,2.1649,2.2,526,2.19106,169
2025-02-19 12:00:00,2.205,2.2389,2.205,2.215,312,2.21433,103
2025-02-19 13:00:00,2.21,2.225,2.2,2.225,494,2.21218,160
2025-02-19 14:00:00,2.225,2.23,2.22,2.23,95,2.22361,48
2025-02-19 15:00:00,2.22,2.2765,2.22,2.27,611,2.2483,346
2025-02-19 16:00:00,2.27,2.27,2.27,2.27,166,2.27,2
2025-02-19 17:00:00,2.27,2.27,2.27,2.27,0,2.27,0
2025-02-19 18:00:00,2.27,2.27,2.27,2.27,0,2.27,0
2025-02-19 19:00:00,2.27,2.27,2.27,2.27,0,2.27,0
2025-02-20 05:00:00,2.44,2.44,2.44,2.44,10,2.44,2
2025-02-20 06:00:00,2.41,2.41,2.3,2.3,23,2.36307,5
2025-02-20 07:00:00,2.33,2.4,2.33,2.4,50,2.3958,5
2025-02-20 08:00:00,2.34,2.35,2.34,2.35,59,2.34832,2
2025-02-20 09:00:00,2.28,2.65,2.2,2.2,1117,2.37017,391
2025-02-20 10:00:00,2.18,2.27,2.18,2.19,1007,2.2135,426
2025-02-20 11:00:00,2.19,2.24,2.185,2.235,659,2.20286,346
2025-02-20 12:00:00,2.23,2.24,2.21,2.215,287,2.22292,172
2025-02-20 13:00:00,2.215,2.27,2.21,2.245,484,2.24212,267
2025-02-20 14:00:00,2.245,2.265,2.24,2.255,424,2.25446,162
2025-02-20 15:00:00,2.255,2.3,2.245,2.29,1261,2.27283,395
2025-02-20 16:00:00,2.29,2.29,2.29,2.29,124,2.29,2
2025-02-20 17:00:00,2.29,2.29,2.29,2.29,0,2.29,0
2025-02-20 18:00:00,2.29,2.29,2.29,2.29,0,2.29,0
2025-02-20 19:00:00,2.29,2.29,2.29,2.29,0,2.29,0
2025-02-21 07:00:00,2.34,2.34,2.34,2.34,2,2.34,1
2025-02-21 08:00:00,2.31,2.34,2.3,2.34,31,2.30934,6
2025-02-21 09:00:00,2.39,2.39,2.24,2.24,371,2.29586,83
2025-02-21 10:00:00,2.245,2.29,2.21,2.23,433,2.24854,213
2025-02-21 11:00:00,2.23,2.24,2.21,2.22,272,2.23091,112
2025-02-21 12:00:00,2.21,2.265,2.21,2.23,322,2.23357,180
2025-02-21 13:00:00,2.225,2.24,2.22,2.22,152,2.23016,71
2025-02-21 14:00:00,2.225,2.235,2.22,2.22,135,2.22581,64
2025-02-21 15:00:00,2.22,2.2256,2.18,2.2,1677,2.20327,815
2025-02-21 16:00:00,2.19,2.19,2.19,2.19,238,2.19,3
2025-02-21 17:00:00,2.18,2.18,2.18,2.18,7,2.18,2
2025-02-21 18:00:00,2.18,2.18,2.18,2.18,0,2.18,0
2025-02-21 19:00:00,2.18,2.18,2.18,2.18,2,2.18,2
2025-02-24 09:00:00,2.2,2.2095,2.17,2.19,309,2.19207,65
2025-02-24 10:00:00,2.19,2.22,2.19,2.21,506,2.20626,175
2025-02-24 11:00:00,2.21,2.235,2.2,2.23,409,2.21475,147
2025-02-24 12:00:00,2.22,2.295,2.22,2.295,591,2.26691,163
2025-02-24 13:00:00,2.29,2.29,2.25,2.27,279,2.27131,103
2025-02-24 14:00:00,2.27,2.275,2.25,2.26,323,2.25571,112
2025-02-24 15:00:00,2.265,2.33,2.245,2.27,662,2.2873,415
2025-02-24 16:00:00,2.28,2.28,2.28,2.28,273,2.28,3
2025-02-24 17:00:00,2.28,2.28,2.28,2.28,0,2.28,0
2025-02-24 18:00:00,2.27,2.27,2.27,2.27,3,2.27,2
2025-02-24 19:00:00,2.27,2.27,2.27,2.27,0,2.27,0
2025-02-25 06:00:00,2.3,2.3,2.3,2.3,1,2.3,1
2025-02-25 07:00:00,2.3,2.3,2.3,2.3,0,2.3,0
2025-02-25 08:00:00,2.29,2.29,2.29,2.29,8,2.29,1
2025-02-25 09:00:00,2.27,2.28,2.2,2.21,503,2.24761,74
2025-02-25 10:00:00,2.2,2.215,2.18,2.2,577,2.19549,161
2025-02-25 11:00:00,2.19,2.21,2.165,2.2,665,2.18682,230
2025-02-25 12:00:00,2.19,2.2,2.18,2.19,305,2.19587,65
2025-02-25 13:00:00,2.19,2.1999,2.18,2.185,206,2.18973,76
2025-02-25 14:00:00,2.18,2.2,2.18,2.19,171,2.18978,62
2025-02-25 15:00:00,2.19,2.225,2.165,2.18,1340,2.18886,491
2025-02-25 16:00:00,2.17,2.1701,2.17,2.1701,277,2.17002,8
2025-02-25 17:00:00,2.1701,2.1701,2.1701,2.1701,0,2.1701,0
2025-02-25 18:00:00,2.1701,2.1701,2.1701,2.1701,0,2.1701,0
2025-02-25 19:00:00,2.1701,2.1701,2.1701,2.1701,0,2.1701,0
2025-02-26 09:00:00,2.18,2.24,2.1745,2.24,279,2.21192,70
2025-02-26 10:00:00,2.2376,2.245,2.225,2.23,184,2.23164,39
2025-02-26 11:00:00,2.23,2.2601,2.22,2.245,348,2.23952,94
2025-02-26 12:00:00,2.2532,2.265,2.235,2.24,393,2.25226,48
2025-02-26 13:00:00,2.225,2.235,2.195,2.195,76,2.21281,63
2025-02-26 14:00:00,2.1901,2.205,2.185,2.19,187,2.19199,60
2025-02-26 15:00:00,2.185,2.24,2.185,2.235,473,2.20779,159
2025-02-26 16:00:00,2.23,2.23,2.23,2.23,113,2.23,2
2025-02-26 17:00:00,2.23,2.23,2.23,2.23,0,2.23,0
2025-02-26 18:00:00,2.23,2.23,2.23,2.23,0,2.23,0
2025-02-26 19:00:00,2.23,2.23,2.23,2.23,0,2.23,0
2025-02-27 09:00:00,2.23,2.2508,2.195,2.195,132,2.23151,11
2025-02-27 10:00:00,2.2,2.245,2.2,2.235,433,2.23599,78
2025-02-27 11:00:00,2.2399,2.24,2.19,2.19,234,2.215,88
2025-02-27 12:00:00,2.195,2.195,2.19,2.195,45,2.19367,25
2025-02-27 13:00:00,2.195,2.215,2.19,2.205,136,2.20222,47
2025-02-27 14:00:00,2.2,2.21,2.175,2.185,316,2.19689,81
2025-02-27 15:00:00,2.19,2.19,2.16,2.17,449,2.17406,173
2025-02-27 16:00:00,2.17,2.17,2.17,2.17,163,2.17,2
2025-02-27 17:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-27 18:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-27 19:00:00,2.17,2.17,2.17,2.17,0,2.17,0
2025-02-28 08:00:00,2.17,2.17,2.17,2.17,5,2.17,2
2025-02-28 09:00:00,2.17,2.18,2.1,2.1089,1495,2.12687,336
2025-02-28 10:00:00,2.105,2.125,2.0499,2.06,2759,2.07744,814
2025-02-28 11:00:00,2.065,2.08,2.03,2.06,1839,2.0546,665
2025-02-28 12:00:00,2.06,2.0797,2.05,2.05,1251,2.06529,494
2025-02-28 13:00:00,2.055,2.06,2.03,2.03,1194,2.04513,528
2025-02-28 14:00:00,2.04,2.075,2.04,2.05,758,2.05538,507
2025-02-28 15:00:00,2.055,2.06,2.04,2.06,1405,2.05061,817
2025-02-28 16:00:00,2.06,2.06,2.06,2.06,328,2.06,5
2025-02-28 17:00:00,2.06,2.06,2.06,2.06,0,2.06,0
2025-02-28 18:00:00,2.06,2.06,2.06,2.06,0,2.06,0
2025-02-28 19:00:00,2.06,2.06,2.06,2.06,0,2.06,0
2025-03-03 07:00:00,2.07,2.27,2.0,2.27,107,2.04,19
2025-03-03 08:00:00,2.1,2.3,2.04,2.05,442,2.08575,64
2025-03-03 09:00:00,2.0999,2.12,2.02,2.03,810,2.06008,199
2025-03-03 10:00:00,2.03,2.05,1.93,1.96,2167,1.9887,490
