date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,9.4,9.57,9.38,9.47,1080,9.485,446
2025-02-19 10:00:00,9.47,9.53,9.41,9.42,911,9.488,576
2025-02-19 11:00:00,9.42,9.49,9.41,9.47,717,9.455,435
2025-02-19 12:00:00,9.47,9.47,9.35,9.36,945,9.419,510
2025-02-19 13:00:00,9.35,9.4,9.33,9.34,1062,9.36,668
2025-02-19 14:00:00,9.33,9.44,9.32,9.42,576,9.39,380
2025-02-19 15:00:00,9.42,9.43,9.33,9.42,4191,9.385,1765
2025-02-19 16:00:00,9.42,9.42,9.42,9.42,3381,9.42,4
2025-02-19 17:00:00,9.42,9.42,9.42,9.42,0,9.42,0
2025-02-19 18:00:00,9.42,9.42,9.42,9.42,0,9.42,0
2025-02-19 19:00:00,9.42,9.42,9.42,9.42,0,9.42,0
2025-02-20 08:00:00,9.43,9.43,9.38,9.38,49,9.384,4
2025-02-20 09:00:00,9.38,9.46,9.31,9.39,439,9.383,195
2025-02-20 10:00:00,9.39,9.4,9.28,9.29,885,9.335,502
2025-02-20 11:00:00,9.29,9.34,9.27,9.33,607,9.302,257
2025-02-20 12:00:00,9.32,9.41,9.29,9.38,1236,9.328,445
2025-02-20 13:00:00,9.38,9.41,9.37,9.38,531,9.393,285
2025-02-20 14:00:00,9.38,9.39,9.34,9.35,448,9.366,290
2025-02-20 15:00:00,9.34,9.41,9.32,9.37,1799,9.364,1035
2025-02-20 16:00:00,9.37,9.37,9.37,9.37,1639,9.37,6
2025-02-20 17:00:00,9.37,9.37,9.37,9.37,0,9.37,0
2025-02-20 18:00:00,9.37,9.37,9.37,9.37,0,9.37,0
2025-02-20 19:00:00,9.37,9.37,9.37,9.37,0,9.37,0
2025-02-21 08:00:00,9.5,9.5,9.5,9.5,1,9.5,1
2025-02-21 09:00:00,9.36,9.37,9.11,9.17,1488,9.241,434
2025-02-21 10:00:00,9.16,9.22,9.08,9.11,972,9.147,441
2025-02-21 11:00:00,9.11,9.14,9.07,9.09,732,9.106,287
2025-02-21 12:00:00,9.1,9.12,8.99,8.99,1004,9.069,363
2025-02-21 13:00:00,8.99,8.99,8.89,8.89,1500,8.95,582
2025-02-21 14:00:00,8.89,9.03,8.88,9.0,1639,8.94,730
2025-02-21 15:00:00,9.0,9.05,8.97,9.01,3431,9.011,1641
2025-02-21 16:00:00,9.01,9.11,9.01,9.11,2359,9.01,9
2025-02-21 17:00:00,9.11,9.11,9.11,9.11,0,9.11,0
2025-02-21 18:00:00,9.0,9.0,9.0,9.0,10,9.0,1
2025-02-21 19:00:00,9.0,9.0,9.0,9.0,0,9.0,0
2025-02-24 07:00:00,9.0,9.0,9.0,9.0,2,9.0,1
2025-02-24 08:00:00,9.13,9.13,8.94,8.95,13,9.116,3
2025-02-24 09:00:00,9.01,9.01,8.84,8.95,827,8.933,338
2025-02-24 10:00:00,8.95,9.0,8.89,8.9,1073,8.941,541
2025-02-24 11:00:00,8.89,9.0,8.89,8.98,1391,8.959,392
2025-02-24 12:00:00,8.99,9.0,8.94,8.95,971,8.967,450
2025-02-24 13:00:00,8.94,8.98,8.93,8.93,779,8.955,349
2025-02-24 14:00:00,8.94,8.96,8.89,8.9,950,8.922,479
2025-02-24 15:00:00,8.9,8.92,8.84,8.84,2901,8.879,1366
2025-02-24 16:00:00,8.84,9.08,8.84,9.08,2043,8.841,6
2025-02-24 17:00:00,8.84,8.84,8.84,8.84,4,8.84,1
2025-02-24 18:00:00,8.84,8.84,8.84,8.84,0,8.84,0
2025-02-24 19:00:00,8.84,8.84,8.84,8.84,0,8.84,0
2025-02-25 07:00:00,8.88,8.88,8.85,8.85,20,8.866,6
2025-02-25 08:00:00,8.85,8.85,8.85,8.85,0,8.85,0
2025-02-25 09:00:00,8.83,8.83,8.71,8.73,1319,8.753,763
2025-02-25 10:00:00,8.72,8.72,8.55,8.64,1657,8.634,937
2025-02-25 11:00:00,8.63,8.66,8.57,8.59,1040,8.602,363
2025-02-25 12:00:00,8.59,8.63,8.54,8.62,934,8.583,462
2025-02-25 13:00:00,8.62,8.68,8.6,8.63,887,8.65,415
2025-02-25 14:00:00,8.63,8.64,8.53,8.6,1252,8.578,458
2025-02-25 15:00:00,8.6,8.71,8.58,8.62,3917,8.643,2243
2025-02-25 16:00:00,8.61,8.61,8.61,8.61,2362,8.61,4
2025-02-25 17:00:00,8.61,8.61,8.61,8.61,0,8.61,0
2025-02-25 18:00:00,8.61,8.61,8.61,8.61,0,8.61,0
2025-02-25 19:00:00,8.61,8.61,8.61,8.61,0,8.61,0
2025-02-26 07:00:00,8.71,8.71,8.65,8.65,5,8.68,3
2025-02-26 08:00:00,8.65,8.65,8.65,8.65,0,8.65,0
2025-02-26 09:00:00,8.77,9.04,8.4,8.6,731,8.585,329
2025-02-26 10:00:00,8.61,8.67,8.47,8.57,1392,8.58,737
2025-02-26 11:00:00,8.57,8.69,8.57,8.65,1167,8.643,550
2025-02-26 12:00:00,8.64,8.71,8.61,8.7,1950,8.66,1006
2025-02-26 13:00:00,8.7,8.71,8.65,8.69,1860,8.682,1093
2025-02-26 14:00:00,8.68,8.73,8.66,8.69,1769,8.689,1013
2025-02-26 15:00:00,8.69,8.72,8.65,8.69,3716,8.684,1946
2025-02-26 16:00:00,8.68,9.1,8.68,8.9,1897,8.687,14
2025-02-26 17:00:00,9.0,9.0,8.96,8.96,7,8.974,2
2025-02-26 18:00:00,8.96,8.96,8.96,8.96,0,8.96,0
2025-02-26 19:00:00,8.96,8.96,8.96,8.96,0,8.96,0
2025-02-27 05:00:00,8.99,8.99,8.99,8.99,1,8.99,1
2025-02-27 06:00:00,8.99,8.99,8.99,8.99,0,8.99,0
2025-02-27 07:00:00,8.92,8.92,8.89,8.89,8,8.905,2
2025-02-27 08:00:00,8.82,8.82,8.78,8.82,12,8.806,5
2025-02-27 09:00:00,8.99,9.98,8.99,9.08,8003,9.553,3214
2025-02-27 10:00:00,9.08,9.22,8.94,9.2,7005,9.091,3688
2025-02-27 11:00:00,9.2,9.37,9.19,9.31,3592,9.281,2116
2025-02-27 12:00:00,9.31,9.51,9.3,9.41,3653,9.4,2280
2025-02-27 13:00:00,9.41,9.45,9.34,9.39,2580,9.389,1525
2025-02-27 14:00:00,9.39,9.39,9.22,9.24,2540,9.295,1450
2025-02-27 15:00:00,9.24,9.25,9.03,9.13,8379,9.12,4479
2025-02-27 16:00:00,9.14,9.14,9.14,9.14,3070,9.14,5
2025-02-27 17:00:00,9.14,9.14,9.14,9.14,0,9.14,0
2025-02-27 18:00:00,9.14,9.14,9.14,9.14,0,9.14,0
2025-02-27 19:00:00,9.14,9.14,9.14,9.14,0,9.14,0
2025-02-28 08:00:00,9.02,9.02,9.01,9.02,1,9.016,1
2025-02-28 09:00:00,9.21,9.22,8.91,9.04,950,9.08,392
2025-02-28 10:00:00,9.05,9.11,8.88,8.94,1567,8.979,933
2025-02-28 11:00:00,8.94,8.97,8.89,8.95,1339,8.927,783
2025-02-28 12:00:00,8.95,9.05,8.92,8.97,1815,8.988,994
2025-02-28 13:00:00,8.97,9.1,8.89,9.03,2505,8.996,1431
2025-02-28 14:00:00,9.03,9.04,8.88,8.89,1889,8.951,813
2025-02-28 15:00:00,8.89,9.0,8.88,9.0,4422,8.944,2193
2025-02-28 16:00:00,9.0,9.0,9.0,9.0,4963,9.0,3
2025-02-28 17:00:00,9.0,9.0,9.0,9.0,0,9.0,0
2025-02-28 18:00:00,8.99,8.99,8.99,8.99,1,8.99,1
2025-02-28 19:00:00,8.99,8.99,8.99,8.99,0,8.99,0
2025-03-03 04:00:00,9.01,9.01,9.01,9.01,1,9.01,1
2025-03-03 05:00:00,9.01,9.01,9.01,9.01,0,9.01,0
2025-03-03 06:00:00,9.01,9.01,9.01,9.01,0,9.01,0
2025-03-03 07:00:00,9.01,9.01,9.01,9.01,0,9.01,0
2025-03-03 08:00:00,8.99,8.99,8.99,8.99,3,8.99,1
2025-03-03 09:00:00,9.1,9.1,8.83,8.88,883,8.922,359
2025-03-03 10:00:00,8.86,8.91,8.74,8.88,2083,8.809,1087
2025-03-03 11:00:00,8.88,8.96,8.86,8.95,2227,8.904,1043
2025-03-03 12:00:00,8.94,9.04,8.93,8.97,1781,8.982,846
2025-03-03 13:00:00,8.97,8.98,8.6,8.68,4651,8.733,1941
2025-03-03 14:00:00,8.68,8.7,8.42,8.43,3503,8.566,1505
2025-03-03 15:00:00,8.43,8.43,8.29,8.35,7349,8.369,3322
2025-03-03 16:00:00,8.35,8.43,8.35,8.4,3339,8.351,11
2025-03-03 17:00:00,8.4,8.4,8.4,8.4,0,8.4,0
2025-03-03 18:00:00,8.4,8.4,8.4,8.4,0,8.4,0
2025-03-03 19:00:00,8.4,8.4,8.4,8.4,0,8.4,0
2025-03-04 08:00:00,8.48,8.48,8.48,8.48,15,8.48,1
2025-03-04 09:00:00,8.24,8.27,8.07,8.08,1736,8.169,645
2025-03-04 10:00:00,8.08,8.21,8.04,8.13,2547,8.117,1303
2025-03-04 11:00:00,8.12,8.34,8.1,8.33,1293,8.188,769
2025-03-04 12:00:00,8.33,8.45,8.31,8.38,2163,8.378,1236
2025-03-04 13:00:00,8.38,8.48,8.37,8.46,1331,8.421,745
2025-03-04 14:00:00,8.46,8.53,8.45,8.52,1141,8.488,647
2025-03-04 15:00:00,8.52,8.6,8.47,8.49,5610,8.511,2999
