date,open,high,low,close,volume,average,barCount
2024-05-28,20.15,20.23,19.86,19.87,1393,19.976,448
2024-05-29,19.8,19.8,19.53,19.55,1243,19.609,376
2024-05-30,19.47,19.66,19.3,19.59,1321,19.571,595
2024-05-31,19.65,19.88,19.6,19.83,1285,19.759,469
2024-06-03,20.03,20.24,20.01,20.16,1644,20.113,700
2024-06-04,20.1,20.18,20.02,20.1,1051,20.108,393
2024-06-05,20.2,20.32,20.11,20.29,849,20.245,296
2024-06-06,20.3,20.3,20.15,20.15,556,20.245,179
2024-06-07,20.17,20.3,20.15,20.2,472,20.225,178
2024-06-10,20.22,20.23,20.12,20.2,728,20.182,223
2024-06-11,20.21,20.25,20.12,20.21,412,20.192,136
2024-06-12,20.25,20.3,20.16,20.22,938,20.225,373
2024-06-13,20.26,20.26,20.16,20.22,861,20.195,231
2024-06-14,20.08,20.17,20.0,20.09,663,20.066,234
2024-06-17,20.14,20.25,20.11,20.22,631,20.185,232
2024-06-18,20.23,20.3,20.01,20.04,932,20.162,323
2024-06-20,20.05,20.34,20.02,20.34,1003,20.18,288
2024-06-21,20.23,20.35,20.19,20.35,722,20.22,211
2024-06-24,20.35,20.35,20.13,20.35,795,20.27,329
2024-06-25,20.35,20.35,20.18,20.34,917,20.249,277
2024-06-26,20.2,20.31,20.15,20.23,641,20.242,166
2024-06-27,20.26,20.33,20.24,20.31,902,20.287,449
2024-06-28,20.43,20.43,20.32,20.38,1056,20.381,305
2024-07-01,20.4,20.45,20.31,20.38,1115,20.375,356
2024-07-02,20.32,20.38,20.23,20.33,791,20.286,260
2024-07-03,20.31,20.41,20.21,20.25,754,20.272,243
2024-07-05,20.3,20.32,20.2,20.32,657,20.26,268
2024-07-08,20.55,20.62,20.45,20.59,1552,20.527,594
2024-07-09,20.6,20.67,20.52,20.62,1398,20.601,459
2024-07-10,20.77,20.8,20.63,20.8,880,20.704,311
2024-07-11,20.84,21.0,20.84,21.0,1254,20.951,373
2024-07-12,21.0,21.14,20.94,21.09,905,21.096,361
2024-07-15,21.26,21.45,21.2,21.32,1711,21.36,710
2024-07-16,21.29,21.39,21.24,21.25,1716,21.287,749
2024-07-17,21.21,21.51,21.21,21.42,1197,21.408,440
2024-07-18,21.33,21.48,21.1,21.14,1344,21.293,545
2024-07-19,21.18,21.43,21.08,21.42,1076,21.284,537
2024-07-22,21.55,21.7,21.46,21.59,1887,21.57,659
2024-07-23,21.71,21.78,21.57,21.75,1104,21.69,506
2024-07-24,21.49,21.54,21.37,21.42,1197,21.474,376
2024-07-25,21.41,21.6,21.31,21.31,969,21.458,311
2024-07-26,21.4,21.61,21.4,21.5,919,21.506,334
2024-07-29,21.55,21.65,21.46,21.56,826,21.554,280
2024-07-30,21.63,21.8,21.56,21.79,973,21.672,353
2024-07-31,21.92,21.95,21.48,21.49,1364,21.754,520
2024-08-01,21.58,21.95,21.58,21.88,1013,21.802,329
2024-08-02,21.78,21.8,21.37,21.69,973,21.615,382
2024-08-05,20.91,21.0,20.32,20.62,3121,20.701,1212
2024-08-06,20.58,21.06,20.58,20.85,1908,20.895,460
2024-08-07,21.2,21.2,20.51,20.57,1588,20.751,459
2024-08-08,20.64,21.07,20.64,20.86,1583,20.859,666
2024-08-09,20.98,21.05,20.76,20.92,972,20.882,265
2024-08-12,20.94,21.06,20.7,20.75,1200,20.844,393
2024-08-13,20.88,21.02,20.78,20.94,1243,20.903,365
2024-08-14,21.0,21.2,20.94,21.14,694,21.104,255
2024-08-15,21.18,21.38,21.17,21.32,969,21.294,433
2024-08-16,21.24,21.32,21.2,21.27,902,21.276,257
2024-08-19,21.31,21.48,21.28,21.43,788,21.419,272
2024-08-20,21.5,21.62,21.4,21.53,734,21.508,257
2024-08-21,21.65,21.66,21.41,21.41,1182,21.547,366
2024-08-22,21.45,21.6,21.42,21.48,860,21.503,268
2024-08-23,21.31,21.49,21.3,21.36,679,21.4,202
2024-08-26,21.5,21.69,21.42,21.65,1509,21.605,602
2024-08-27,21.66,21.67,21.54,21.6,716,21.605,303
2024-08-28,21.55,21.7,21.51,21.54,521,21.628,156
2024-08-29,21.64,21.86,21.55,21.84,1140,21.775,506
2024-08-30,21.98,22.1,21.83,21.91,997,21.949,264
2024-09-03,21.99,22.05,21.7,21.72,1065,21.861,309
2024-09-04,21.77,21.98,21.76,21.79,656,21.86,222
2024-09-05,21.89,21.89,21.5,21.53,1172,21.654,327
2024-09-06,21.5,21.72,21.37,21.45,975,21.466,346
2024-09-09,21.45,21.74,21.43,21.61,1153,21.607,350
2024-09-10,21.64,21.83,21.57,21.8,1036,21.681,365
2024-09-11,21.71,21.85,21.56,21.73,771,21.713,301
2024-09-12,21.83,21.9,21.75,21.79,623,21.812,189
2024-09-13,21.79,21.92,21.7,21.72,785,21.785,336
2024-09-16,21.86,21.98,21.79,21.91,815,21.906,256
2024-09-17,22.0,22.0,21.79,21.86,778,21.898,217
2024-09-18,21.9,22.06,21.86,21.92,930,21.962,287
2024-09-19,22.08,22.13,21.95,21.96,780,22.035,315
2024-09-20,22.0,22.06,21.92,22.06,862,21.977,324
2024-09-23,21.96,21.96,21.8,21.91,774,21.851,261
2024-09-24,21.87,21.95,21.75,21.86,641,21.849,231
2024-09-25,21.78,21.82,21.54,21.56,834,21.682,244
2024-09-26,21.59,21.75,21.59,21.69,443,21.665,153
2024-09-27,21.78,21.83,21.69,21.81,622,21.784,260
2024-09-30,21.92,22.1,21.85,22.08,1973,21.971,581
2024-10-01,22.1,22.1,21.95,22.0,808,22.021,297
2024-10-02,22.08,22.12,21.96,22.04,753,22.054,191
2024-10-03,22.09,22.11,21.71,21.83,956,21.848,363
2024-10-04,21.85,22.12,21.8,22.09,820,21.949,343
2024-10-07,22.01,22.09,21.77,21.77,661,21.962,249
