date,open,high,low,close,volume,average,barCount
2024-05-22,1.27,1.3499,1.26,1.27,162,1.30408,52
2024-05-23,1.29,1.29,1.23,1.24,36,1.25805,15
2024-05-24,1.28,1.37,1.23,1.28,219,1.28637,99
2024-05-28,1.32,1.32,1.24,1.26,83,1.2703,38
2024-05-29,1.28,1.3,1.255,1.27,195,1.27646,43
2024-05-30,1.27,1.32,1.24,1.25,247,1.28196,77
2024-05-31,1.2527,1.27,1.25,1.25,101,1.26385,18
2024-06-03,1.3,1.3,1.21,1.22,189,1.25465,75
2024-06-04,1.245,1.32,1.2201,1.26,173,1.27483,67
2024-06-05,1.27,1.3,1.23,1.27,97,1.26085,66
2024-06-06,1.2585,1.26,1.23,1.26,53,1.25157,26
2024-06-07,1.23,1.24,1.22,1.22,70,1.22989,32
2024-06-10,1.2181,1.2524,1.17,1.17,197,1.20572,108
2024-06-11,1.19,1.25,1.19,1.23,103,1.22995,33
2024-06-12,1.2174,1.27,1.2101,1.27,143,1.25015,55
2024-06-13,1.22,1.3,1.21,1.26,128,1.27716,56
2024-06-14,1.27,1.3,1.27,1.3,56,1.29715,32
2024-06-17,1.26,1.2999,1.2571,1.29,87,1.27817,24
2024-06-18,1.2515,1.37,1.2515,1.32,394,1.31686,148
2024-06-20,1.35,1.35,1.26,1.26,245,1.28096,89
2024-06-21,1.26,1.31,1.26,1.3,352,1.29465,223
2024-06-24,1.28,1.31,1.27,1.3,249,1.28985,115
2024-06-25,1.28,1.3,1.28,1.3,431,1.2918,180
2024-06-26,1.27,1.64,1.27,1.55,1654,1.45646,460
2024-06-27,1.62,1.67,1.3701,1.39,1336,1.48656,266
2024-06-28,1.37,1.44,1.32,1.4,143,1.36835,81
2024-07-01,1.43,1.45,1.3389,1.4,58,1.40291,18
2024-07-02,1.415,1.415,1.38,1.395,64,1.39132,36
2024-07-03,1.3621,1.38,1.31,1.35,439,1.34434,122
2024-07-05,1.35,1.42,1.3101,1.42,471,1.3556,117
2024-07-08,1.42,1.42,1.39,1.39,278,1.40297,74
2024-07-09,1.39,1.56,1.39,1.55,935,1.48727,264
2024-07-10,1.66,1.74,1.44,1.5,1474,1.56006,343
2024-07-11,1.51,1.5899,1.38,1.45,755,1.45816,286
2024-07-12,1.43,1.52,1.38,1.435,535,1.47822,207
2024-07-15,1.52,1.56,1.453,1.54,414,1.51785,120
2024-07-16,1.54,1.62,1.49,1.575,1363,1.55754,536
2024-07-17,1.57,1.5933,1.52,1.535,276,1.54116,108
2024-07-18,1.54,1.57,1.51,1.54,606,1.54471,175
2024-07-19,1.54,1.56,1.54,1.56,40,1.54444,23
2024-07-22,1.59,1.59,1.53,1.56,750,1.55528,306
2024-07-23,1.56,1.605,1.54,1.545,411,1.56894,163
2024-07-24,1.5175,1.5175,1.44,1.45,715,1.4629,212
2024-07-25,1.42,1.48,1.4,1.445,666,1.4388,148
2024-07-26,1.42,1.51,1.4118,1.455,525,1.4702,131
2024-07-29,1.46,1.49,1.4,1.455,537,1.436,136
2024-07-30,1.57,1.64,1.41,1.42,185,1.42925,83
2024-07-31,1.41,1.44,1.4,1.43,245,1.42006,59
2024-08-01,1.45,1.45,1.395,1.41,195,1.4072,85
2024-08-02,1.36,1.38,1.32,1.37,346,1.34268,142
2024-08-05,1.3,1.32,1.295,1.3,195,1.30471,56
2024-08-06,1.27,1.38,1.27,1.34,305,1.34964,125
2024-08-07,1.37,1.37,1.3,1.3,358,1.35016,140
2024-08-08,1.2789,1.3718,1.2789,1.35,87,1.35411,59
2024-08-09,1.32,1.38,1.3,1.38,42,1.34292,20
2024-08-12,1.521,1.521,1.3,1.34,384,1.33914,114
2024-08-13,1.34,1.4,1.3118,1.36,37,1.33383,14
2024-08-14,1.36,1.4,1.3475,1.365,118,1.36505,49
2024-08-15,1.38,1.38,1.35,1.37,85,1.36639,37
2024-08-16,1.35,1.4,1.35,1.355,117,1.37838,26
2024-08-19,1.37,1.38,1.35,1.38,378,1.36758,98
2024-08-20,1.41,1.41,1.3835,1.385,92,1.39773,16
2024-08-21,1.38,1.41,1.31,1.32,179,1.36478,63
2024-08-22,1.32,1.33,1.26,1.26,62,1.30528,25
2024-08-23,1.29,1.36,1.27,1.325,195,1.31433,102
2024-08-26,1.3,1.33,1.29,1.315,251,1.30673,76
2024-08-27,1.32,1.33,1.29,1.3,105,1.30166,23
2024-08-28,1.28,1.29,1.275,1.285,123,1.28212,34
2024-08-29,1.275,1.32,1.26,1.28,121,1.27831,57
2024-08-30,1.27,1.29,1.27,1.28,40,1.27882,9
2024-09-03,1.27,1.27,1.22,1.24,424,1.23609,147
2024-09-04,1.27,1.27,1.2,1.2,153,1.20823,40
2024-09-05,1.23,1.24,1.22,1.235,265,1.22924,65
2024-09-06,1.2,1.23,1.2,1.225,147,1.22736,34
2024-09-09,1.21,1.28,1.2,1.23,88,1.2219,14
2024-09-10,1.19,1.2097,1.1812,1.195,28,1.19889,11
2024-09-11,1.2101,1.245,1.2101,1.23,22,1.21541,4
2024-09-12,1.24,1.26,1.18,1.24,228,1.21513,59
2024-09-13,1.38,1.38,1.25,1.35,254,1.36757,68
