date,open,high,low,close,volume,average,barCount
2023-12-20,4.15,4.17,4.03,4.03,4906,4.106,2239
2023-12-21,4.16,4.16,4.06,4.15,4222,4.114,2029
2023-12-22,4.07,4.14,4.05,4.06,5356,4.088,2226
2023-12-26,4.1,4.23,4.07,4.09,7880,4.142,2852
2023-12-27,4.11,4.15,4.08,4.12,3316,4.106,1563
2023-12-28,4.2,4.52,4.18,4.32,17022,4.392,6209
2023-12-29,4.32,4.48,4.32,4.42,9877,4.406,4250
2024-01-02,4.33,4.38,4.08,4.13,10207,4.169,3997
2024-01-03,4.1,4.25,4.07,4.24,8294,4.17,3620
2024-01-04,4.2,4.28,4.18,4.26,4650,4.25,2712
2024-01-05,4.22,4.25,4.19,4.22,3743,4.222,2230
2024-01-08,4.16,4.22,4.12,4.17,3822,4.169,1622
2024-01-09,4.11,4.11,4.06,4.08,5418,4.076,2697
2024-01-10,4.06,4.08,4.0,4.01,6539,4.021,2875
2024-01-11,4.07,4.09,3.93,3.99,5648,3.996,1695
2024-01-12,3.96,4.0,3.83,3.86,11157,3.882,5238
2024-01-16,3.8,3.85,3.55,3.6,13931,3.669,6015
2024-01-17,3.49,3.66,3.46,3.66,8425,3.602,3816
2024-01-18,3.7,3.72,3.59,3.63,6926,3.64,3630
2024-01-19,3.56,3.65,3.53,3.59,5744,3.594,3280
2024-01-22,3.5,3.7,3.43,3.66,10663,3.627,4691
2024-01-23,3.8,3.96,3.77,3.79,9487,3.85,4092
2024-01-24,4.01,4.03,3.85,3.99,10982,3.96,4989
2024-01-25,4.3,4.32,3.79,3.92,15486,3.953,6208
2024-01-26,3.83,3.95,3.83,3.91,6477,3.912,3243
2024-01-29,3.87,3.9,3.75,3.88,4792,3.825,2468
2024-01-30,3.75,3.81,3.74,3.76,3790,3.767,1640
2024-01-31,3.7,3.85,3.7,3.73,4985,3.782,2363
2024-02-01,3.77,3.84,3.7,3.76,4996,3.765,2249
2024-02-02,3.7,3.77,3.66,3.7,3587,3.698,1584
2024-02-05,3.69,3.71,3.56,3.58,6926,3.606,2431
2024-02-06,3.73,3.85,3.71,3.82,8269,3.791,2956
2024-02-07,3.72,3.83,3.66,3.79,7517,3.757,2858
2024-02-08,3.75,3.83,3.73,3.8,3486,3.801,1601
2024-02-09,3.82,3.85,3.76,3.82,3807,3.808,1364
2024-02-12,3.84,3.97,3.83,3.88,4469,3.908,2011
2024-02-13,3.78,3.85,3.71,3.75,4011,3.78,1980
2024-02-14,3.82,4.06,3.8,4.03,7571,3.985,3062
2024-02-15,3.99,4.05,3.9,3.94,4917,3.957,2281
2024-02-16,4.01,4.09,4.0,4.03,5057,4.042,1861
2024-02-20,4.0,4.0,3.85,3.89,6602,3.885,2042
2024-02-21,4.02,4.03,3.89,3.91,2574,3.943,1042
2024-02-22,3.95,4.0,3.91,3.99,4049,3.96,1309
2024-02-23,4.02,4.02,3.91,3.93,3154,3.961,1149
2024-02-26,3.9,3.98,3.88,3.95,4013,3.948,1499
2024-02-27,3.95,4.13,3.88,4.08,9238,4.035,3585
2024-02-28,4.0,4.03,3.9,3.97,5262,3.965,1986
2024-02-29,4.01,4.11,3.99,4.02,4910,4.049,1650
