date,open,high,low,close,volume,average,barCount
2024-05-28,0.89,0.9263,0.8305,0.919,2928,0.87931,417
2024-05-29,0.92,0.94,0.8702,0.9374,1238,0.91594,204
2024-05-30,0.93,0.95,0.9,0.94,940,0.9295,188
2024-05-31,0.94,1.04,0.94,0.9999,5072,0.98597,520
2024-06-03,1.04,1.05,0.9,1.0,2353,0.97901,380
2024-06-04,1.0,1.01,0.9576,1.0,2020,0.99101,251
2024-06-05,1.02,1.05,0.98,1.01,3343,1.01742,496
2024-06-06,1.03,1.05,0.91,1.0,5532,1.00059,927
2024-06-07,1.0,1.03,0.9506,1.0,2433,0.98945,301
2024-06-10,1.0,1.0,0.9177,0.9999,4458,0.97065,424
2024-06-11,0.94,1.025,0.86,0.99,4645,0.9552,743
2024-06-12,0.92,0.9498,0.7715,0.8161,3047,0.8632,574
2024-06-13,0.77,0.8427,0.7,0.728,2737,0.74323,489
2024-06-14,0.701,0.78,0.7,0.74,831,0.73677,191
2024-06-17,0.7426,0.81,0.74,0.79,1178,0.77765,165
2024-06-18,0.7952,0.7952,0.72,0.72,615,0.74282,116
2024-06-20,0.7,0.7871,0.665,0.7867,1567,0.73248,318
2024-06-21,0.7867,0.83,0.76,0.8,1151,0.80121,94
2024-06-24,0.8726,0.97,0.8483,0.948,3939,0.92545,761
2024-06-25,0.92,1.0,0.9,0.97,4103,0.95728,389
2024-06-26,0.93,0.99,0.89,0.9273,2139,0.93285,275
2024-06-27,0.92,0.975,0.85,0.88,2180,0.9107,374
2024-06-28,0.882,1.04,0.85,0.919,3771,0.9479,513
2024-07-01,0.948,0.948,0.87,0.8856,447,0.88256,54
2024-07-02,0.9119,0.92,0.8486,0.859,1756,0.86236,194
2024-07-03,0.8999,0.8999,0.82,0.825,1061,0.84166,186
2024-07-05,0.82,0.844,0.82,0.83,1774,0.82676,442
2024-07-08,0.84,0.8925,0.82,0.8205,1416,0.84141,306
2024-07-09,0.82,0.859,0.8101,0.811,1155,0.82704,219
2024-07-10,0.83,0.84,0.811,0.84,650,0.82356,177
2024-07-11,0.84,0.8499,0.805,0.82,686,0.81751,143
2024-07-12,0.879,0.879,0.8004,0.808,1216,0.83526,241
2024-07-15,0.8344,0.8422,0.8,0.8052,596,0.8097,130
2024-07-16,0.8,0.833,0.8,0.81,294,0.81387,86
2024-07-17,0.81,0.8378,0.8,0.81,367,0.80835,73
2024-07-18,0.835,0.86,0.8102,0.85,1629,0.83456,237
2024-07-19,0.81,0.88,0.81,0.85,1451,0.85965,185
2024-07-22,0.88,0.97,0.859,0.9,2550,0.91914,429
2024-07-23,0.919,0.945,0.886,0.9001,1402,0.9047,210
2024-07-24,0.9879,1.1,0.9303,1.0,8060,1.01773,1282
2024-07-25,0.98,0.999,0.93,0.99,1600,0.96691,273
2024-07-26,0.99,1.07,0.9254,0.99,1605,0.99626,281
2024-07-29,0.99,1.01,0.98,1.01,801,1.00176,278
2024-07-30,1.03,1.05,1.0,1.02,1546,1.02651,287
2024-07-31,1.0,1.0799,1.0,1.07,2099,1.04434,208
2024-08-01,1.06,1.08,1.02,1.04,713,1.05091,111
2024-08-02,1.02,1.035,0.951,1.01,2385,1.00297,167
2024-08-05,0.91,1.02,0.87,1.02,1719,0.95494,195
2024-08-06,0.9653,1.09,0.9653,1.09,3929,1.04708,638
2024-08-07,1.1,1.44,1.0999,1.4,12591,1.2869,1791
2024-08-08,1.4,1.42,1.11,1.305,5713,1.32183,714
2024-08-09,1.31,1.43,1.2,1.35,3910,1.3294,511
2024-08-12,1.34,1.74,1.29,1.45,13303,1.54076,1888
2024-08-13,1.5,1.5,1.25,1.36,6564,1.37779,803
2024-08-14,1.36,1.38,1.05,1.09,5366,1.12352,795
2024-08-15,1.1,1.2,1.05,1.18,2125,1.13337,226
2024-08-16,1.19,1.22,1.13,1.21,805,1.17147,150
2024-08-19,1.2,1.21,1.13,1.14,1468,1.15679,217
2024-08-20,1.15,1.26,1.14,1.21,3653,1.18803,481
2024-08-21,1.24,1.3,1.22,1.26,2424,1.26591,319
2024-08-22,1.26,1.4,1.22,1.25,5789,1.29373,443
2024-08-23,1.25,1.38,1.21,1.22,1513,1.25672,162
2024-08-26,1.22,1.27,1.2,1.23,189,1.22963,62
2024-08-27,1.26,1.26,1.21,1.24,500,1.2412,77
2024-08-28,1.24,1.24,1.19,1.19,613,1.21568,78
2024-08-29,1.19,1.21,1.07,1.08,1433,1.12058,267
2024-08-30,1.14,1.17,0.882,1.0,6734,1.02658,566
2024-09-03,0.9752,0.982,0.94,0.9401,1446,0.95151,177
2024-09-04,0.95,0.9624,0.91,0.92,733,0.93675,84
2024-09-05,0.92,0.92,0.79,0.8604,1814,0.8472,306
2024-09-06,0.7904,0.8689,0.77,0.82,2282,0.80307,248
2024-09-09,0.83,0.926,0.83,0.87,618,0.86608,132
2024-09-10,0.86,0.9,0.8501,0.8751,1088,0.8745,115
2024-09-11,0.876,0.9,0.876,0.88,234,0.89489,49
2024-09-12,0.89,0.9399,0.88,0.9283,241,0.90714,38
2024-09-13,0.94,0.9499,0.9,0.9249,356,0.92759,68
2024-09-16,0.881,0.95,0.85,0.85,1124,0.87741,152
2024-09-17,0.86,0.92,0.83,0.8461,2334,0.86091,174
2024-09-18,0.8885,1.11,0.8885,1.07,4784,1.05012,760
2024-09-19,1.08,1.17,1.08,1.105,2789,1.13107,427
2024-09-20,1.08,1.09,1.02,1.02,2412,1.04067,286
2024-09-23,1.05,1.1,0.9601,1.02,904,1.01152,131
2024-09-24,1.07,1.1,0.92,0.9203,6024,1.03301,600
2024-09-25,0.93,0.94,0.92,0.9399,697,0.93151,168
2024-09-26,0.96,1.0481,0.9501,1.04,1869,0.99526,300
2024-09-27,1.03,1.03,0.97,1.01,1345,1.00923,158
2024-09-30,1.0,1.05,0.95,0.96,1137,0.98848,150
2024-10-01,1.04,1.0792,0.915,0.93,1265,0.96252,189
