date,open,high,low,close,volume,average,barCount
2024-01-02,12.54,13.24,12.53,12.56,1844,12.868,1324
2024-01-03,12.37,12.4,11.64,11.75,4397,11.983,2508
2024-01-04,11.75,11.93,11.51,11.58,2602,11.674,1818
2024-01-05,11.35,12.07,11.09,11.89,4559,11.784,2869
2024-01-08,12.75,12.88,12.24,12.63,21580,12.513,10641
2024-01-09,12.24,13.47,12.21,13.46,9905,12.972,6075
2024-01-10,13.32,14.38,13.32,13.46,7403,13.685,4845
2024-01-11,13.35,13.39,12.88,13.0,4451,13.06,2867
2024-01-12,13.15,13.26,12.62,12.69,3039,12.852,1937
2024-01-16,12.51,12.76,12.29,12.5,4901,12.592,3718
2024-01-17,12.18,12.55,11.8,12.53,3821,12.318,2886
2024-01-18,12.82,12.95,12.24,12.7,4025,12.606,2620
2024-01-19,12.73,12.93,12.31,12.93,2712,12.635,1924
2024-01-22,13.19,13.73,12.83,12.86,3156,13.128,2172
2024-01-23,13.04,13.16,12.65,12.93,5534,12.891,2526
2024-01-24,13.18,13.33,12.68,12.81,2420,12.893,1411
2024-01-25,13.0,13.32,11.99,12.96,2217,13.034,1579
2024-01-26,13.17,13.36,12.81,12.82,2351,12.969,1424
2024-01-29,12.84,13.85,12.66,13.85,3298,13.536,2232
2024-01-30,13.63,13.77,13.32,13.41,1812,13.5,1341
2024-01-31,13.43,14.12,13.43,13.48,1600,13.709,1198
2024-02-01,13.72,14.2,13.47,14.19,2055,13.921,1453
2024-02-02,13.91,14.25,13.49,14.03,2484,13.932,1624
2024-02-05,13.75,14.24,13.57,13.75,1727,13.909,1286
2024-02-06,13.73,14.42,13.65,14.32,1683,14.227,1092
2024-02-07,14.47,14.47,14.05,14.21,2099,14.222,1139
2024-02-08,14.19,15.33,14.05,15.1,7347,14.979,3314
2024-02-09,15.31,15.61,14.9,15.41,3401,15.333,1974
2024-02-12,15.58,15.98,15.47,15.86,2809,15.781,1587
2024-02-13,15.12,15.28,14.8,14.94,2046,15.014,1396
2024-02-14,15.19,15.48,15.09,15.22,1796,15.258,1264
2024-02-15,15.55,15.97,15.26,15.74,1872,15.586,1219
2024-02-16,15.56,15.93,15.23,15.52,1532,15.62,1003
2024-02-20,15.29,15.44,14.91,15.29,1685,15.1,1270
2024-02-21,15.3,15.43,14.65,14.92,1501,14.889,1112
2024-02-22,14.93,14.98,14.3,14.39,3782,14.488,2337
2024-02-23,14.31,14.74,14.12,14.25,2962,14.358,2068
2024-02-26,14.22,14.82,14.16,14.33,3357,14.357,2385
2024-02-27,14.42,14.67,14.16,14.38,5689,14.341,3468
2024-02-28,12.64,13.89,12.57,13.52,8825,13.441,5114
2024-02-29,13.94,14.09,13.22,13.44,3958,13.49,2782
2024-03-01,13.46,13.78,13.32,13.42,1878,13.539,1400
2024-03-04,13.43,13.8,13.16,13.74,3162,13.548,2328
2024-03-05,13.74,13.74,13.14,13.16,831,13.368,668
2024-03-06,13.17,13.34,13.0,13.26,1784,13.149,1184
2024-03-07,13.49,13.76,13.23,13.25,1704,13.487,1060
2024-03-08,13.47,13.8,13.0,13.13,1202,13.202,895
2024-03-11,13.07,13.27,12.65,12.82,2553,12.808,1751
2024-03-12,12.62,12.78,12.36,12.36,1509,12.523,1028
2024-03-13,12.25,12.52,12.25,12.3,772,12.352,581
2024-03-14,12.29,12.33,11.67,12.2,2979,11.971,2012
2024-03-15,11.94,12.29,11.76,11.88,1880,12.0,974
2024-03-18,11.89,12.3,11.6,12.0,2969,12.057,2036
2024-03-19,11.96,12.26,11.91,12.14,1901,12.116,1509
2024-03-20,12.12,12.68,12.04,12.5,2087,12.395,1416
2024-03-21,12.65,12.95,12.52,12.56,2635,12.658,2034
2024-03-22,12.55,12.6,12.0,12.16,1970,12.297,1427
2024-03-25,12.18,12.28,11.82,11.84,1499,11.939,1112
2024-03-26,11.95,11.95,11.44,11.48,3500,11.599,2472
2024-03-27,11.71,12.43,11.54,12.36,3490,12.161,2059
2024-03-28,12.41,13.2,12.41,13.05,1952,12.984,1342
2024-04-01,13.04,13.24,12.35,12.5,2323,12.534,1584
2024-04-02,12.2,12.33,11.8,12.0,1752,12.038,979
2024-04-03,11.9,12.31,11.9,12.26,1208,12.166,873
2024-04-04,12.47,12.49,11.85,11.87,1283,12.131,941
2024-04-05,11.79,12.12,11.77,12.01,1338,11.993,938
2024-04-08,12.16,12.42,11.97,12.24,1078,12.245,823
2024-04-09,12.36,12.74,12.33,12.46,1697,12.522,1042
2024-04-10,11.9,12.44,11.79,12.38,3306,12.125,2166
2024-04-11,12.54,12.65,12.16,12.62,1117,12.475,861
2024-04-12,12.53,12.62,11.76,11.88,1390,11.973,1108
2024-04-15,11.92,11.95,11.66,11.88,2163,11.822,1782
2024-04-16,11.74,11.83,11.37,11.53,1707,11.58,1124
2024-04-17,11.63,11.76,11.27,11.4,1678,11.461,1337
2024-04-18,11.42,11.42,11.03,11.27,1512,11.226,1101
2024-04-19,11.22,11.51,10.72,10.97,2144,11.004,1407
2024-04-22,10.96,11.21,10.77,11.1,1606,11.001,1226
2024-04-23,11.11,11.39,10.8,10.86,1369,10.992,932
2024-04-24,10.79,10.84,10.57,10.67,1419,10.671,1109
2024-04-25,10.52,10.52,10.23,10.3,2023,10.306,1397
2024-04-26,10.35,10.63,10.26,10.4,2491,10.423,1702
2024-04-29,10.5,10.72,10.43,10.65,2339,10.589,1851
2024-04-30,10.48,10.87,10.3,10.37,2441,10.555,1606
2024-05-01,10.39,11.13,10.38,10.86,2024,10.801,1555
2024-05-02,11.02,11.02,10.59,10.71,1293,10.702,972
2024-05-03,11.0,11.24,10.82,11.0,3182,10.96,1762
2024-05-06,11.14,11.33,10.96,11.21,2440,11.159,1845
2024-05-07,11.27,11.3,11.05,11.12,2048,11.167,1455
2024-05-08,4.5,4.64,3.92,4.17,107740,4.242,34451
2024-05-09,4.17,4.49,3.93,4.43,31330,4.3,12051
2024-05-10,4.42,4.77,4.33,4.38,26919,4.535,11760
2024-05-13,4.32,4.65,4.29,4.53,19107,4.527,7640
2024-05-14,5.09,6.08,4.97,5.0,34566,5.346,12687
2024-05-15,5.77,6.01,5.18,5.95,29017,5.669,10073
2024-05-16,5.8,5.83,5.55,5.63,13855,5.673,5934
2024-05-17,5.67,5.75,4.87,5.0,17393,5.198,6742
2024-05-20,5.05,5.1,4.86,4.94,8428,4.957,3236
2024-05-21,5.4,5.4,4.86,4.97,8239,4.987,2902
2024-05-22,4.96,5.5,4.96,5.33,7884,5.292,3040
2024-05-23,5.35,5.47,5.03,5.04,7796,5.235,3391
2024-05-24,5.2,5.24,4.99,5.16,5318,5.115,2459
2024-05-28,5.25,5.29,4.94,5.05,9548,5.083,3627
2024-05-29,4.99,5.3,4.93,5.28,4415,5.185,2341
2024-05-30,5.5,5.89,5.47,5.75,11902,5.703,4941
2024-05-31,5.85,6.18,5.7,5.88,12468,5.919,6259
2024-06-03,5.89,6.0,5.43,5.48,8111,5.65,3708
2024-06-04,5.79,5.79,5.38,5.43,6375,5.532,2525
2024-06-05,5.43,6.12,5.35,6.11,7404,5.934,3280
2024-06-06,5.95,6.31,5.85,6.11,6859,6.152,3729
2024-06-07,5.98,6.07,5.8,5.91,6255,5.907,3207
