date,open,high,low,close,volume,average,barCount
2025-02-20 04:00:00,9.74,9.74,9.74,9.74,1,9.74,1
2025-02-20 05:00:00,9.83,9.83,9.83,9.83,1,9.83,1
2025-02-20 06:00:00,9.83,9.83,9.83,9.83,1,9.83,1
2025-02-20 07:00:00,9.83,9.83,9.83,9.83,0,9.83,0
2025-02-20 08:00:00,9.83,9.83,9.83,9.83,0,9.83,0
2025-02-20 09:00:00,9.98,10.08,9.89,9.91,279,9.93,60
2025-02-20 10:00:00,9.92,9.93,9.78,9.78,449,9.841,109
2025-02-20 11:00:00,9.8,9.83,9.76,9.78,45,9.797,34
2025-02-20 12:00:00,9.77,9.9,9.76,9.85,92,9.816,65
2025-02-20 13:00:00,9.85,9.86,9.81,9.86,65,9.834,33
2025-02-20 14:00:00,9.84,9.85,9.72,9.76,315,9.777,127
2025-02-20 15:00:00,9.76,9.79,9.65,9.65,382,9.71,260
2025-02-20 16:00:00,9.66,9.66,9.66,9.66,302,9.66,4
2025-02-20 17:00:00,9.66,9.66,9.66,9.66,0,9.66,0
2025-02-20 18:00:00,9.66,9.66,9.66,9.66,0,9.66,0
2025-02-20 19:00:00,9.66,9.66,9.66,9.66,0,9.66,0
2025-02-21 09:00:00,9.7,9.96,9.55,9.69,231,9.647,18
2025-02-21 10:00:00,9.61,9.69,9.56,9.59,94,9.613,77
2025-02-21 11:00:00,9.6,9.64,9.56,9.57,50,9.61,30
2025-02-21 12:00:00,9.56,9.65,9.5,9.5,230,9.575,134
2025-02-21 13:00:00,9.5,9.5,9.43,9.44,95,9.461,61
2025-02-21 14:00:00,9.43,9.45,9.36,9.41,128,9.403,81
2025-02-21 15:00:00,9.41,9.45,9.32,9.35,588,9.385,424
2025-02-21 16:00:00,9.37,10.15,9.37,9.55,465,9.372,8
2025-02-21 17:00:00,9.55,9.55,9.55,9.55,0,9.55,0
2025-02-21 18:00:00,9.55,9.55,9.55,9.55,0,9.55,0
2025-02-21 19:00:00,9.55,9.55,9.55,9.55,0,9.55,0
2025-02-24 08:00:00,9.52,9.52,9.52,9.52,1,9.52,1
2025-02-24 09:00:00,9.42,9.52,9.03,9.23,286,9.232,80
2025-02-24 10:00:00,9.24,9.36,9.15,9.28,292,9.275,230
2025-02-24 11:00:00,9.28,9.39,9.26,9.3,909,9.316,601
2025-02-24 12:00:00,9.31,9.35,9.28,9.29,384,9.304,299
2025-02-24 13:00:00,9.29,9.63,9.28,9.59,656,9.484,354
2025-02-24 14:00:00,9.6,9.6,9.42,9.44,390,9.523,333
2025-02-24 15:00:00,9.46,9.6,9.45,9.57,720,9.528,586
2025-02-24 16:00:00,9.59,9.59,9.59,9.59,660,9.59,15
2025-02-24 17:00:00,9.59,9.59,9.59,9.59,0,9.59,0
2025-02-24 18:00:00,9.59,9.59,9.59,9.59,0,9.59,0
2025-02-24 19:00:00,9.59,9.59,9.59,9.59,0,9.59,0
2025-02-25 09:00:00,9.59,9.91,9.5,9.85,231,9.798,150
2025-02-25 10:00:00,9.82,9.89,9.7,9.7,399,9.786,284
2025-02-25 11:00:00,9.7,9.7,9.51,9.61,542,9.603,232
2025-02-25 12:00:00,9.61,9.62,9.51,9.54,394,9.587,223
2025-02-25 13:00:00,9.54,9.61,9.53,9.58,151,9.577,124
2025-02-25 14:00:00,9.57,9.79,9.51,9.77,155,9.7,136
2025-02-25 15:00:00,9.73,9.83,9.58,9.58,1159,9.673,753
2025-02-25 16:00:00,9.61,9.61,9.61,9.61,638,9.61,13
2025-02-25 17:00:00,9.61,9.61,9.61,9.61,0,9.61,0
2025-02-25 18:00:00,9.61,9.61,9.61,9.61,0,9.61,0
2025-02-25 19:00:00,9.61,9.61,9.61,9.61,0,9.61,0
2025-02-26 04:00:00,8.9,8.9,8.9,8.9,1,8.9,1
2025-02-26 05:00:00,9.5,9.5,9.5,9.5,1,9.5,1
2025-02-26 06:00:00,9.47,9.47,9.47,9.47,1,9.47,1
2025-02-26 07:00:00,9.47,9.47,9.47,9.47,0,9.47,0
2025-02-26 08:00:00,9.47,9.47,9.47,9.47,0,9.47,0
2025-02-26 09:00:00,9.55,9.82,9.54,9.82,81,9.667,45
2025-02-26 10:00:00,9.81,9.94,9.78,9.89,214,9.864,175
2025-02-26 11:00:00,9.88,10.03,9.8,9.8,809,9.929,239
2025-02-26 12:00:00,9.78,9.91,9.7,9.71,124,9.823,90
2025-02-26 13:00:00,9.71,9.72,9.52,9.53,284,9.621,112
2025-02-26 14:00:00,9.51,9.57,9.44,9.44,463,9.51,289
2025-02-26 15:00:00,9.42,9.71,9.36,9.7,1254,9.52,843
2025-02-26 16:00:00,9.7,9.7,9.7,9.7,594,9.7,9
2025-02-26 17:00:00,9.7,9.7,9.7,9.7,0,9.7,0
2025-02-26 18:00:00,9.7,9.7,9.7,9.7,0,9.7,0
2025-02-26 19:00:00,9.7,9.7,9.7,9.7,0,9.7,0
2025-02-27 09:00:00,9.71,9.86,9.62,9.66,70,9.735,29
2025-02-27 10:00:00,9.62,9.77,9.54,9.54,857,9.628,288
2025-02-27 11:00:00,9.57,9.6,9.38,9.42,1210,9.479,614
2025-02-27 12:00:00,9.4,9.42,9.27,9.37,374,9.362,174
2025-02-27 13:00:00,9.37,9.48,9.36,9.44,344,9.414,230
2025-02-27 14:00:00,9.43,9.47,9.28,9.35,329,9.367,189
2025-02-27 15:00:00,9.34,9.35,9.06,9.13,1662,9.161,1059
2025-02-27 16:00:00,9.13,9.13,9.13,9.13,594,9.13,8
2025-02-27 17:00:00,9.13,9.13,9.13,9.13,0,9.13,0
2025-02-27 18:00:00,9.13,9.13,9.13,9.13,0,9.13,0
2025-02-27 19:00:00,9.13,9.13,9.13,9.13,0,9.13,0
2025-02-28 04:00:00,8.4,8.4,8.4,8.4,2,8.4,2
2025-02-28 05:00:00,8.4,8.4,8.4,8.4,0,8.4,0
2025-02-28 06:00:00,8.4,8.4,8.4,8.4,0,8.4,0
