date,open,high,low,close,volume,average,barCount
2024-05-28,1.57,1.59,1.5048,1.54,6632,1.5439,1562
2024-05-29,1.54,1.6,1.49,1.51,12711,1.54135,2418
2024-05-30,1.5,1.54,1.46,1.48,16152,1.48915,2515
2024-05-31,1.48,1.55,1.44,1.47,14800,1.48692,2848
2024-06-03,1.48,1.5,1.445,1.48,6177,1.46443,1230
2024-06-04,1.47,1.47,1.41,1.45,6101,1.43202,1469
2024-06-05,1.46,1.465,1.42,1.46,5575,1.43998,1348
2024-06-06,1.44,1.475,1.43,1.455,6099,1.45264,1238
2024-06-07,1.44,1.46,1.41,1.43,8297,1.43282,2365
2024-06-10,1.44,1.44,1.37,1.37,13246,1.38846,1868
2024-06-11,1.4,1.4,1.37,1.38,6009,1.38123,1479
2024-06-12,1.4,1.46,1.37,1.41,13705,1.40643,3025
2024-06-13,1.42,1.4586,1.4,1.43,6833,1.42368,1639
2024-06-14,1.41,1.48,1.41,1.48,7645,1.44572,1450
2024-06-17,1.49,1.545,1.47,1.52,10945,1.5034,1645
2024-06-18,1.54,1.54,1.46,1.48,7941,1.48869,1616
2024-06-20,1.46,1.47,1.41,1.425,10098,1.43445,2099
2024-06-21,1.43,1.44,1.4,1.41,3427,1.41213,901
2024-06-24,1.41,1.45,1.4024,1.42,7816,1.42801,1465
2024-06-25,1.41,1.43,1.39,1.4,5074,1.40395,983
2024-06-26,1.39,1.44,1.38,1.4,8386,1.40346,1840
2024-06-27,1.41,1.42,1.38,1.4,6648,1.39671,1167
2024-06-28,1.4,1.42,1.31,1.35,12715,1.35407,2429
2024-07-01,1.37,1.37,1.3,1.33,5982,1.32939,1403
2024-07-02,1.32,1.41,1.27,1.41,11449,1.34354,2814
2024-07-03,1.41,1.43,1.38,1.38,3812,1.40683,998
2024-07-05,1.38,1.52,1.375,1.52,12200,1.44374,2119
2024-07-08,1.52,1.62,1.52,1.56,15744,1.57102,3034
2024-07-09,1.56,1.58,1.46,1.49,8558,1.50573,1536
2024-07-10,1.46,1.48,1.41,1.43,8873,1.4381,1759
2024-07-11,1.43,1.47,1.41,1.43,7259,1.42927,1467
2024-07-12,1.42,1.47,1.4,1.43,10592,1.43116,1501
2024-07-15,1.43,1.49,1.43,1.45,17757,1.45421,2454
2024-07-16,1.45,1.49,1.44,1.46,14187,1.4678,1739
2024-07-17,1.45,1.46,1.37,1.38,13919,1.40698,2024
2024-07-18,1.39,1.3901,1.3,1.35,14474,1.33585,2599
2024-07-19,1.35,1.36,1.3,1.31,6634,1.31542,1175
2024-07-22,1.33,1.345,1.25,1.305,13805,1.28522,2559
2024-07-23,1.3,1.3,1.2,1.2,19064,1.23849,2776
2024-07-24,1.2,1.218,1.1,1.12,22446,1.14257,4131
2024-07-25,1.1,1.2,1.08,1.19,12109,1.14071,2197
2024-07-26,1.22,1.225,1.14,1.16,6629,1.16561,1337
2024-07-29,1.18,1.18,1.11,1.13,8517,1.13294,1587
2024-07-30,1.13,1.15,1.1,1.12,4760,1.11493,1134
2024-07-31,1.11,1.13,1.06,1.08,9517,1.0914,1804
2024-08-01,1.09,1.09,1.02,1.04,10717,1.04133,1715
2024-08-02,1.05,1.05,0.9702,1.03,18752,1.00267,2466
2024-08-05,0.9,0.9769,0.7979,0.9684,33356,0.89651,3555
2024-08-06,0.9901,1.06,0.97,1.06,7202,1.02404,1704
2024-08-07,1.08,1.08,0.97,0.9708,10376,0.99387,2650
2024-08-08,0.9915,1.03,0.965,1.02,3835,1.00044,884
2024-08-09,1.03,1.0393,0.996,1.02,2738,1.0091,391
2024-08-12,1.02,1.03,0.965,0.965,6373,0.98099,1498
2024-08-13,0.97,0.9898,0.94,0.94,5118,0.96034,1274
2024-08-14,0.94,0.9999,0.9201,0.9813,6394,0.95853,1688
2024-08-15,1.01,1.1,0.9901,1.1,14710,1.05571,2675
2024-08-16,1.05,1.1,1.03,1.07,6048,1.0591,2164
2024-08-19,1.07,1.08,1.03,1.05,4457,1.05388,996
2024-08-20,1.04,1.05,1.0,1.05,5279,1.02405,853
2024-08-21,1.05,1.12,1.02,1.08,6801,1.07381,1150
2024-08-22,1.08,1.08,1.0,1.04,5619,1.03622,1313
2024-08-23,1.03,1.07,1.02,1.06,2884,1.05735,859
2024-08-26,1.07,1.08,1.045,1.06,3724,1.06275,1252
2024-08-27,1.06,1.07,1.0,1.05,7595,1.02297,2001
2024-08-28,1.04,1.04,0.96,0.98,8083,0.98545,2038
2024-08-29,0.97,1.01,0.9529,0.9532,5083,0.98326,1263
2024-08-30,0.96,0.9985,0.9501,0.987,3228,0.97357,767
2024-09-03,0.9989,0.9989,0.892,0.9082,10668,0.92228,1889
2024-09-04,0.89,0.8986,0.87,0.8894,11481,0.88781,1612
2024-09-05,0.889,0.99,0.889,0.959,14336,0.95416,4626
2024-09-06,0.9427,0.975,0.93,0.9508,3851,0.94762,1085
2024-09-09,0.98,0.98,0.9,0.9263,5679,0.93025,1231
2024-09-10,0.9245,0.96,0.9245,0.96,2230,0.93867,594
2024-09-11,0.95,0.96,0.9091,0.9393,6672,0.92693,1524
2024-09-12,0.93,0.9449,0.885,0.912,7650,0.90137,1559
2024-09-13,0.91,0.9582,0.91,0.94,5740,0.94148,969
2024-09-16,0.95,1.19,0.9449,1.07,43751,1.08679,9382
2024-09-17,1.07,1.1,1.0,1.02,8640,1.02789,1283
