date,open,high,low,close,volume,average,barCount
2023-12-20,8.6,8.74,8.55,8.57,50061,8.66161,16312
2023-12-21,8.73,8.87,8.6625,8.86,44012,8.77949,16564
2023-12-22,8.34,8.665,8.15,8.51,82130,8.47868,27002
2023-12-26,8.63,8.87,8.59,8.62,42444,8.6917,15218
2023-12-27,8.69,8.7,8.52,8.57,47718,8.5784,16375
2023-12-28,8.7,8.89,8.69,8.73,44081,8.7781,15695
2023-12-29,8.7,9.085,8.64,9.01,79127,8.97107,23295
2024-01-02,8.825,8.88,8.635,8.73,42677,8.72026,14477
2024-01-03,8.81,8.905,8.71,8.88,73163,8.81412,26854
2024-01-04,8.86,9.15,8.84,9.03,84790,9.04972,25972
2024-01-05,9.04,9.17,8.86,8.87,49156,8.97916,19471
2024-01-08,8.7,8.805,8.54,8.77,50497,8.72842,16737
2024-01-09,8.68,8.84,8.645,8.81,67200,8.77271,20240
2024-01-10,8.8,9.1,8.775,9.04,100219,8.9689,28685
2024-01-11,9.11,9.53,9.08,9.43,155948,9.38097,40142
2024-01-12,9.47,9.58,9.28,9.39,90171,9.42583,29194
2024-01-16,9.04,9.155,8.9303,9.01,117737,9.05026,30217
2024-01-17,8.69,8.79,8.51,8.71,115865,8.64793,32891
2024-01-18,8.88,9.065,8.61,8.75,79195,8.71592,27148
2024-01-19,8.54,8.71,8.355,8.51,148105,8.51517,47205
2024-01-22,8.29,8.4695,8.19,8.42,117392,8.36379,36662
2024-01-23,8.8,9.0,8.52,8.58,85566,8.69369,29491
2024-01-24,9.06,9.1,8.83,8.94,122184,8.92079,39917
2024-01-25,9.0,9.18,8.855,8.91,50567,8.98136,18916
2024-01-26,8.75,9.055,8.71,9.02,37463,8.9651,13195
2024-01-29,9.0,9.11,8.912,9.09,84536,9.00806,31484
2024-01-30,8.9,9.1297,8.88,9.05,90042,9.04123,29653
2024-01-31,8.9,9.49,8.89,9.4,129661,9.3786,38282
2024-02-01,9.43,9.49,9.11,9.26,51819,9.27655,16050
2024-02-02,9.12,9.2,9.0,9.06,60622,9.05296,17205
2024-02-05,9.31,9.4,9.075,9.26,65453,9.27687,20727
2024-02-06,9.5,9.82,9.26,9.8,107274,9.60406,34375
2024-02-07,9.39,9.81,9.35,9.66,60702,9.6674,22769
2024-02-08,9.64,9.75,9.47,9.49,69783,9.55106,26014
2024-02-09,9.51,9.685,9.465,9.67,24246,9.58298,7618
2024-02-12,9.68,9.99,9.68,9.87,48268,9.87777,17306
2024-02-13,9.69,9.82,9.57,9.63,37434,9.67402,12426
2024-02-14,9.78,10.19,9.78,10.18,68448,10.07488,17300
2024-02-15,10.11,10.46,10.11,10.31,68342,10.32538,22155
2024-02-16,10.52,10.695,10.08,10.12,74025,10.24573,25959
2024-02-20,10.11,10.12,9.78,9.92,50277,9.87819,17992
2024-02-21,10.05,10.17,9.88,10.14,59445,10.05467,21068
2024-02-22,10.24,10.38,10.0,10.29,64014,10.18766,22566
2024-02-23,10.3,10.455,10.115,10.23,43537,10.23145,16981
2024-02-26,10.2,10.42,10.12,10.42,38422,10.36297,14876
2024-02-27,10.58,10.62,10.29,10.41,61572,10.39282,21826
2024-02-28,10.22,10.38,10.11,10.25,63502,10.28823,24106
2024-02-29,10.38,10.68,10.33,10.47,95095,10.50337,33391
2024-03-01,10.54,10.715,10.385,10.39,39952,10.46418,14663
2024-03-04,10.35,10.435,9.99,10.08,62942,10.08521,23639
2024-03-05,9.9,9.95,9.145,9.46,138394,9.449,49327
2024-03-06,9.65,9.83,9.51,9.62,80346,9.59699,27883
2024-03-07,9.52,10.37,9.52,10.36,91954,10.17192,31835
2024-03-08,10.36,10.82,10.355,10.53,79055,10.57952,22944
2024-03-11,10.51,10.81,10.275,10.35,55460,10.42827,20722
2024-03-12,10.47,10.66,10.22,10.65,100750,10.47022,33902
2024-03-13,10.55,10.89,10.52,10.57,81524,10.69833,28404
2024-03-14,10.6,10.62,10.155,10.45,60870,10.33342,22297
2024-03-15,10.46,10.46,10.29,10.33,28641,10.37323,10802
2024-03-18,10.5,10.6,10.23,10.38,85372,10.34989,28491
2024-03-19,10.58,11.32,10.31,11.04,195988,10.99818,57832
2024-03-20,11.35,11.74,11.025,11.69,129891,11.49208,39237
2024-03-21,11.71,11.8,11.245,11.4,94427,11.42321,32725
2024-03-22,11.15,11.24,10.85,10.95,79425,10.99499,28930
2024-03-25,11.1,11.2,11.01,11.15,60811,11.12195,20199
2024-03-26,11.19,11.6,11.06,11.07,49638,11.25216,18235
2024-03-27,10.97,11.095,10.805,11.06,49007,10.98381,16841
2024-03-28,11.09,11.35,11.06,11.19,47510,11.19431,13664
2024-04-01,11.26,11.32,11.07,11.12,37179,11.17715,14410
2024-04-02,11.06,11.31,11.01,11.28,57444,11.17455,17579
2024-04-03,11.28,11.56,11.16,11.41,56689,11.37944,17788
2024-04-04,11.39,11.53,11.195,11.21,22189,11.31247,8897
2024-04-05,11.2,11.65,11.13,11.65,49751,11.51125,15144
