date,open,high,low,close,volume,average,barCount
2024-03-19,1118.4,1193.28,1089.28,1111.36,5,1149.888,3239
2024-03-20,1152.0,1184.0,1056.0,1145.92,5,1114.848,2510
2024-03-21,1152.0,1170.24,1088.96,1102.4,4,1127.552,2271
2024-03-22,1136.0,1142.4,1060.48,1107.2,2,1089.44,1304
2024-03-25,1107.2,1107.52,1024.0,1049.6,6,1040.736,4212
2024-03-26,1047.04,1144.96,1032.32,1072.0,5,1098.496,1415
2024-03-27,1118.4,1145.92,1024.0,1046.08,4,1077.728,1142
2024-03-28,1049.6,1100.8,534.4,595.2,65,751.488,23429
2024-04-01,646.4,646.4,535.36,607.68,24,602.912,9243
2024-04-02,608.0,611.84,580.16,609.92,11,599.04,4212
2024-04-03,617.28,642.56,592.0,635.2,11,619.264,5327
2024-04-04,646.4,646.4,598.08,598.08,7,612.448,3505
2024-04-05,594.88,596.48,547.52,554.88,16,566.176,6769
2024-04-08,583.68,604.16,544.0,593.6,10,567.04,4661
2024-04-09,587.2,604.16,560.0,595.2,7,580.96,4071
2024-04-10,584.0,584.0,544.0,559.36,10,552.032,4740
2024-04-11,560.0,566.4,512.0,544.0,11,529.632,5480
2024-04-12,541.12,551.36,512.0,520.0,7,524.352,3418
2024-04-15,541.12,541.12,455.04,466.88,14,484.288,5280
2024-04-16,480.0,480.0,384.64,479.68,15,428.0,6648
2024-04-17,496.0,512.0,464.0,510.08,5,496.064,2374
2024-04-18,511.68,524.16,480.0,502.4,3,500.736,1836
2024-04-19,480.96,521.6,476.8,512.0,3,505.664,2221
2024-04-22,512.0,520.0,480.0,497.28,4,499.104,2277
2024-04-23,495.36,521.92,486.72,501.76,4,508.832,1976
2024-04-24,512.0,512.0,496.64,512.0,2,505.696,1338
2024-04-25,512.0,512.0,494.4,512.0,2,504.96,1332
2024-04-26,512.0,544.96,511.04,539.2,5,534.048,1857
2024-04-29,558.72,582.08,528.0,574.4,5,561.216,2116
2024-04-30,576.0,576.0,550.4,574.08,3,566.56,1684
2024-05-01,571.2,572.8,544.0,566.4,3,555.616,1258
2024-05-02,567.36,585.6,544.96,547.52,4,572.032,2405
2024-05-03,580.8,598.4,568.64,587.2,6,583.936,2709
2024-05-06,592.0,640.0,592.0,620.8,11,620.704,4120
2024-05-07,607.68,636.8,576.64,620.8,5,611.456,1907
2024-05-08,633.92,636.8,520.32,568.0,4,577.184,1737
2024-05-09,576.0,588.48,569.92,582.4,2,579.808,1219
2024-05-10,582.4,588.48,545.6,549.44,3,564.96,1055
2024-05-13,556.8,565.12,546.24,547.52,4,550.72,1476
2024-05-14,552.96,608.0,547.2,576.0,11,571.776,4390
2024-05-15,588.8,593.92,576.96,584.32,2,587.04,1461
2024-05-16,592.0,601.6,578.56,581.12,4,586.592,1956
2024-05-17,625.28,672.0,624.0,631.04,19,645.248,4958
2024-05-20,641.92,659.2,594.88,608.0,6,621.92,1924
2024-05-21,640.0,658.24,582.4,588.8,8,613.28,3039
2024-05-22,608.0,624.0,595.2,608.0,5,608.224,1889
2024-05-23,624.0,624.0,537.6,558.4,9,560.224,3164
2024-05-24,576.0,594.88,512.32,561.6,8,554.72,2414
2024-05-28,574.08,574.08,540.8,544.0,3,549.76,1404
2024-05-29,544.0,560.0,544.0,549.44,5,548.768,1925
2024-05-30,544.0,558.08,531.2,544.0,5,545.216,1503
2024-05-31,512.0,550.4,512.0,521.28,6,526.72,1507
2024-06-03,549.12,549.12,506.24,518.4,5,518.528,1977
2024-06-04,519.36,520.0,489.6,494.72,6,503.232,1713
2024-06-05,489.6,490.56,468.8,483.84,8,482.624,2147
2024-06-06,484.8,485.76,323.2,348.16,49,366.208,16963
2024-06-07,332.8,363.2,321.92,333.12,20,341.888,10276
2024-06-10,250.0,264.0,218.0,221.0,78,231.96,2202
2024-06-11,205.0,219.0,200.0,213.0,29,207.785,899
2024-06-12,114.0,120.0,108.0,111.0,389,111.991,7752
2024-06-13,114.0,115.0,108.0,109.0,148,110.759,2184
2024-06-14,115.0,124.0,111.0,115.0,317,117.525,7518
2024-06-17,115.0,119.0,112.0,112.0,103,114.352,2508
2024-06-18,113.0,126.0,108.0,122.0,143,115.67,1994
2024-06-20,128.0,137.25,115.0,135.0,208,127.664,3031
2024-06-21,135.0,137.0,128.0,130.0,74,132.736,1356
2024-06-24,131.0,131.0,117.0,119.0,87,122.091,1144
2024-06-25,120.0,130.0,120.0,125.0,43,125.969,761
2024-06-26,125.0,125.0,112.0,112.5,78,115.836,990
2024-06-27,62.0,71.93,59.5,69.0,632,65.717,12761
2024-06-28,71.41,72.0,66.01,69.74,127,69.495,1782
2024-07-01,70.55,75.0,67.19,73.2,450,71.077,5844
2024-07-02,72.93,75.0,68.0,73.7,206,72.123,3584
2024-07-03,74.0,89.5,70.14,89.4,400,82.209,6078
2024-07-05,89.4,95.0,79.01,80.01,290,88.155,4348
2024-07-08,83.0,83.83,69.9,71.24,327,72.876,6360
2024-07-09,59.6,62.88,58.0,60.22,360,60.685,5787
2024-07-10,61.0,62.5,59.99,62.0,285,61.438,9129
2024-07-11,62.8,64.0,60.01,61.1,119,61.638,1986
2024-07-12,61.0,64.0,60.13,60.13,125,61.729,1634
2024-07-15,62.0,62.0,58.5,59.68,98,59.934,1816
2024-07-16,61.0,61.45,59.0,61.08,72,60.423,1022
2024-07-17,61.09,61.09,59.0,59.6,157,59.582,2137
2024-07-18,60.0,60.61,56.22,57.08,178,57.515,3260
2024-07-19,57.0,58.5,56.01,56.02,119,56.782,1784
2024-07-22,58.3,58.7,54.09,56.34,194,56.634,2304
2024-07-23,56.5,57.0,54.1,56.78,83,55.299,1316
2024-07-24,60.01,60.81,52.2,52.7,409,55.11,5756
2024-07-25,56.2,60.0,46.2,57.95,717,54.26,8424
2024-07-26,55.12,56.66,54.0,55.0,153,54.985,1980
2024-07-29,54.76,57.69,53.2,56.6,144,55.608,1832
2024-07-30,57.0,58.0,55.4,56.52,89,56.638,1297
2024-07-31,52.95,53.5,49.51,49.61,180,51.776,2085
2024-08-01,52.22,54.9,50.39,51.05,119,52.45,1338
2024-08-02,51.99,52.3,47.5,47.96,107,49.553,1078
2024-08-05,46.5,46.6,42.13,45.2,89,44.769,850
2024-08-06,46.33,49.28,45.0,45.76,66,46.669,814
2024-08-07,47.5,48.7,45.11,46.0,60,47.146,795
2024-08-08,47.0,51.0,45.5,48.0,76,48.499,715
2024-08-09,46.56,49.5,46.2,47.85,55,47.412,539
2024-08-12,48.8,51.9,47.5,51.2,76,50.296,915
2024-08-13,52.0,52.0,48.01,49.15,63,50.531,833
2024-08-14,50.0,51.0,46.5,50.44,450,49.519,4728
2024-08-15,49.48,49.5,44.0,45.68,266,46.33,2160
2024-08-16,47.0,54.75,40.21,44.74,5228,48.44,95724
2024-08-19,60.46,84.56,42.01,44.5,22545,62.752,283941
2024-08-20,45.8,48.5,37.38,38.0,3183,40.046,58604
2024-08-21,34.0,38.06,32.59,36.0,2756,35.237,69795
2024-08-22,38.37,38.4,33.0,33.02,2391,35.188,55179
2024-08-23,35.4,36.5,33.69,34.0,2429,34.951,45873
2024-08-26,43.69,46.0,36.5,37.4,9194,38.961,101934
2024-08-27,38.5,39.0,36.0,36.33,2955,37.115,57864
2024-08-28,35.0,35.15,29.31,30.02,3235,31.876,61584
2024-08-29,30.24,30.5,23.47,25.57,2130,26.803,14850
2024-08-30,25.01,25.58,22.2,22.9,1370,23.704,10145
2024-09-03,21.0,21.0,16.2,16.79,2424,18.519,16613
2024-09-04,16.93,17.35,15.5,16.46,1262,16.539,16046
2024-09-05,16.5,16.69,15.4,15.88,819,15.937,8682
2024-09-06,15.88,16.0,13.13,14.25,1097,15.027,7425
2024-09-09,23.0,23.47,16.05,16.51,14078,19.587,143750
2024-09-10,16.5,16.5,14.98,15.5,2024,15.512,32251
2024-09-11,14.66,15.99,14.0,15.01,1379,15.002,15719
2024-09-12,15.38,16.75,14.88,15.97,1831,15.797,31406
2024-09-13,16.4,16.4,15.3,15.68,1207,15.904,29558
2024-09-16,15.51,15.51,14.51,14.75,1008,14.876,6330
2024-09-17,14.75,14.9,13.7,14.7,1075,14.316,5921
2024-09-18,14.96,15.2,14.1,14.51,789,14.7,6594
2024-09-19,15.5,17.38,14.87,14.99,2412,15.655,21364
2024-09-20,14.75,15.12,14.2,14.75,768,14.67,6337
2024-09-23,14.3,14.39,13.4,13.49,1562,13.911,18923
2024-09-24,13.7,13.77,13.0,13.0,811,13.536,6424
2024-09-25,13.26,13.32,13.0,13.16,779,13.172,5438
2024-09-26,13.61,13.67,13.16,13.66,492,13.344,3679
2024-09-27,17.51,21.24,14.34,14.6,17847,17.084,99329
2024-09-30,14.54,15.3,13.8,14.85,1547,14.581,12841
2024-10-01,14.32,14.36,13.09,13.55,1634,13.627,8937
2024-10-02,13.65,13.66,13.0,13.05,822,13.315,5240
2024-10-03,13.02,13.06,11.8,12.6,1852,12.321,13552
2024-10-04,12.69,14.58,12.3,13.94,1966,13.778,9458
2024-10-07,13.88,15.35,13.7,14.39,1460,14.573,6765
2024-10-08,17.2,17.94,13.68,14.06,3032,15.032,19989
2024-10-09,13.54,14.87,13.1,14.53,1395,13.962,7600
2024-10-10,14.4,15.25,13.75,14.04,1067,14.459,4473
2024-10-11,14.2,15.07,14.0,14.76,603,14.486,3240
2024-10-14,14.9,15.23,14.5,15.0,749,14.916,4427
2024-10-15,15.02,15.2,13.85,14.1,810,14.387,5076
2024-10-16,14.74,16.45,14.39,15.9,3627,15.614,13521
2024-10-17,17.32,20.25,16.3,17.94,7876,18.391,49603
2024-10-18,18.69,18.7,16.18,18.0,2724,17.388,12093
2024-10-21,18.41,20.35,17.75,18.99,3264,19.101,32294
2024-10-22,18.77,19.38,17.65,18.0,1797,18.629,15324
2024-10-23,17.9,18.09,16.2,16.8,1372,17.03,7236
2024-10-24,17.0,17.19,15.51,16.05,972,16.221,5352
2024-10-25,16.27,17.47,16.22,16.55,938,16.774,6161
2024-10-28,16.95,18.02,16.6,17.9,1476,17.64,8361
2024-10-29,17.34,17.58,16.24,16.8,1074,17.013,6716
2024-10-30,16.85,17.75,15.21,15.44,1309,16.182,6087
2024-10-31,15.37,15.5,13.6,14.53,1345,14.437,7619
2024-11-01,14.79,15.45,13.66,13.93,1045,14.248,5025
2024-11-04,14.6,15.19,13.8,14.18,1198,14.422,10960
2024-11-05,14.0,14.41,13.64,14.19,1086,14.017,8771
2024-11-06,14.19,14.19,13.3,14.0,886,13.7,4982
2024-11-07,14.0,15.0,13.61,14.12,861,14.014,3145
2024-11-08,14.12,14.12,13.49,14.1,591,13.762,3184
2024-11-11,14.81,14.81,13.5,14.03,668,13.863,3419
2024-11-12,14.12,15.42,14.0,14.5,1489,14.725,6940
2024-11-13,15.19,15.49,13.67,14.12,1259,14.433,16894
2024-11-14,14.06,14.49,13.5,14.0,918,13.908,6931
2024-11-15,14.02,14.02,12.86,13.11,967,13.204,4638
2024-11-18,13.38,13.44,12.64,13.3,781,12.966,4660
2024-11-19,13.3,16.49,12.83,16.27,3062,15.1,10741
2024-11-20,26.15,27.63,18.22,19.0,49168,21.624,150574
2024-11-21,17.08,21.2,16.85,20.42,6823,19.648,27215
2024-11-22,19.53,20.5,18.8,19.0,2529,19.655,59817
2024-11-25,19.47,20.8,18.6,19.2,3853,19.535,67985
2024-11-26,18.83,20.2,18.46,18.88,2087,19.237,43466
2024-11-27,19.26,19.9,18.4,18.83,1890,19.144,36532
2024-11-29,19.06,20.97,18.84,18.97,2674,19.764,54645
2024-12-02,19.4,20.49,18.0,18.68,2896,19.253,44084
2024-12-03,18.8,19.88,18.38,18.5,2493,18.926,22836
2024-12-04,19.0,19.0,17.06,17.4,2063,17.677,11163
2024-12-05,17.78,18.0,16.25,17.25,1876,17.051,13780
2024-12-06,17.0,18.49,16.7,18.35,1848,17.699,25049
2024-12-09,19.3,20.4,18.5,18.74,2935,19.447,53492
2024-12-10,19.02,20.69,18.15,19.66,3339,19.549,70483
2024-12-11,20.0,20.5,19.06,20.22,1966,19.959,36898
2024-12-12,22.0,26.22,21.1,22.89,9294,23.873,45756
2024-12-13,24.47,24.76,22.17,24.05,3476,23.443,31012
2024-12-16,29.53,56.5,28.26,53.0,108815,43.501,356269
2024-12-17,127.0,130.0,32.0,33.39,78113,63.48,488837
2024-12-18,41.07,43.81,35.0,36.48,23651,38.81,225966
2024-12-19,36.0,72.0,32.0,57.0,68280,52.059,235030
2024-12-20,56.19,69.99,53.48,61.16,22494,62.702,91854
2024-12-23,49.9,52.97,39.6,40.31,15247,44.123,105326
2024-12-24,40.99,43.4,37.01,38.53,6421,39.292,80957
2024-12-26,38.48,39.19,35.0,37.0,6724,36.825,73416
2024-12-27,35.0,35.47,31.34,33.76,6385,33.663,52199
2024-12-30,34.17,42.5,31.0,36.01,12093,36.289,94527
2024-12-31,37.0,37.8,32.0,32.98,6917,33.477,40942
2025-01-02,34.0,34.0,31.1,31.4,5257,31.882,23650
2025-01-03,30.89,36.84,29.11,31.0,9735,31.368,108308
2025-01-06,32.69,34.39,30.68,31.25,6479,31.69,45763
2025-01-07,30.48,30.48,28.26,28.81,4761,29.193,24384
2025-01-08,30.51,30.7,25.6,25.6,6167,27.066,30244
2025-01-10,26.2,27.98,25.61,27.87,3951,26.828,19571
2025-01-13,27.75,28.75,24.5,25.64,4330,25.414,78806
2025-01-14,25.55,26.0,22.5,22.71,4089,23.823,49562
2025-01-15,22.7,23.8,21.6,23.23,3564,22.772,63233
2025-01-16,26.0,26.0,23.2,23.5,4410,24.692,36037
2025-01-17,23.0,24.56,22.06,23.55,3434,23.22,52917
2025-01-21,23.55,23.89,22.22,23.89,3036,22.79,46547
2025-01-22,24.1,33.25,23.75,31.9,20107,29.318,75870
2025-01-23,30.55,37.34,30.0,32.75,13336,34.304,56329
2025-01-24,34.93,42.0,34.1,38.31,17165,38.686,71734
2025-01-27,39.11,44.5,39.11,41.21,8548,41.893,40865
2025-01-28,44.32,58.3,36.5,46.01,35978,50.721,161449
2025-01-29,51.51,54.5,38.0,43.0,12498,47.686,51775
2025-01-30,44.0,44.0,36.12,37.5,7390,38.759,30312
2025-01-31,41.0,44.9,39.5,42.81,6383,42.052,28242
2025-02-03,22.7,25.5,18.0,19.49,24505,21.286,94895
2025-02-04,17.53,17.8,15.0,15.21,11520,15.867,45875
2025-02-05,14.21,18.0,13.71,14.98,16284,15.572,4806
2025-02-06,14.6,15.12,10.82,11.24,15438,12.421,5802
2025-02-07,13.58,18.4,12.01,12.39,82183,14.644,26962
2025-02-10,12.55,12.75,11.7,11.94,11137,12.002,4435
2025-02-11,11.74,12.21,11.21,11.94,5797,11.713,2113
2025-02-12,11.5,12.25,11.18,11.5,4742,11.762,1632
2025-02-13,11.5,12.42,11.42,11.43,4449,11.861,1413
2025-02-14,11.45,12.01,11.24,11.95,2761,11.716,873
2025-02-18,11.95,11.95,10.85,10.95,6373,11.132,2608
2025-02-19,10.9,10.9,9.72,10.0,6438,10.062,2110
2025-02-20,9.81,10.8,9.4,9.67,5221,9.929,1859
2025-02-21,9.9,10.4,9.02,9.17,4780,9.683,1552
2025-02-24,9.2,9.43,8.26,8.77,4006,8.682,1273
2025-02-25,8.61,8.71,7.93,8.05,5036,8.127,1384
2025-02-26,7.97,9.14,7.86,8.43,3162,8.595,785
2025-02-27,8.42,8.6,8.02,8.18,1310,8.267,535
2025-02-28,8.01,8.1,7.54,7.86,2256,7.772,718
2025-03-03,7.79,7.98,7.31,7.38,1842,7.615,647
2025-03-04,7.37,7.92,6.76,7.8,3021,7.283,987
2025-03-05,8.11,11.7,8.1,10.96,23647,10.321,7039
2025-03-06,10.8,18.63,10.8,14.63,140705,15.143,42639
2025-03-07,14.6,15.3,12.66,13.02,15545,13.816,4696
2025-03-10,13.68,15.9,13.29,13.47,17107,14.502,5691
2025-03-11,13.53,13.67,12.35,13.63,6214,13.158,2026
2025-03-12,13.84,14.06,12.99,13.41,3285,13.416,1208
2025-03-13,13.15,14.09,12.8,13.64,2607,13.366,891
2025-03-14,13.5,15.67,13.5,15.0,8330,14.933,2470
2025-03-17,15.3,16.5,15.03,16.28,5401,15.856,1880
2025-03-18,16.0,21.7,15.51,20.18,20380,19.301,6659
