date,open,high,low,close,volume,average,barCount
2025-02-18 04:00:00,11.91,11.91,11.74,11.82,7,11.816,6
2025-02-18 05:00:00,11.82,11.82,11.82,11.82,0,11.82,0
2025-02-18 06:00:00,11.93,11.95,11.89,11.89,3,11.924,3
2025-02-18 07:00:00,11.92,12.0,11.92,12.0,20,11.966,15
2025-02-18 08:00:00,11.82,12.0,11.53,11.99,47,11.906,24
2025-02-18 09:00:00,12.16,12.16,11.0,11.06,2256,11.328,831
2025-02-18 10:00:00,11.05,11.22,10.91,10.95,1886,11.044,935
2025-02-18 11:00:00,10.95,11.13,10.85,11.01,897,10.952,345
2025-02-18 12:00:00,11.04,11.14,11.0,11.09,449,11.057,117
2025-02-18 13:00:00,11.01,11.12,11.01,11.06,192,11.064,100
2025-02-18 14:00:00,11.07,11.19,11.06,11.12,279,11.117,113
2025-02-18 15:00:00,11.11,11.19,10.95,10.97,453,11.067,184
2025-02-18 16:00:00,10.95,11.07,10.95,11.02,85,10.968,9
2025-02-18 17:00:00,11.05,11.06,11.0,11.06,5,11.04,4
2025-02-18 18:00:00,11.0,11.0,10.93,10.93,23,10.957,8
2025-02-18 19:00:00,10.9,10.98,10.86,10.86,31,10.896,12
2025-02-19 04:00:00,11.4,11.4,11.06,11.06,11,11.371,3
2025-02-19 05:00:00,11.06,11.06,11.06,11.06,0,11.06,0
2025-02-19 06:00:00,11.12,11.2,11.1,11.11,20,11.147,10
2025-02-19 07:00:00,11.1,11.1,11.07,11.07,44,11.099,5
2025-02-19 08:00:00,11.1,11.1,10.85,10.94,148,10.972,35
2025-02-19 09:00:00,10.82,10.92,10.07,10.07,1668,10.325,529
2025-02-19 10:00:00,10.08,10.32,9.72,9.74,2327,9.891,753
2025-02-19 11:00:00,9.74,10.14,9.72,9.97,715,9.955,209
2025-02-19 12:00:00,9.9,10.25,9.88,10.14,520,10.109,148
2025-02-19 13:00:00,10.1,10.3,10.05,10.2,374,10.198,141
2025-02-19 14:00:00,10.16,10.2,10.0,10.07,450,10.081,152
2025-02-19 15:00:00,10.06,10.12,9.94,10.01,432,10.041,189
2025-02-19 16:00:00,10.0,10.14,9.99,10.0,118,10.037,7
2025-02-19 17:00:00,9.97,10.0,9.96,10.0,12,9.982,6
2025-02-19 18:00:00,9.95,10.0,9.9,10.0,18,9.938,7
2025-02-19 19:00:00,9.9,10.0,9.75,9.75,56,9.798,24
2025-02-20 04:00:00,9.77,9.79,9.71,9.74,33,9.756,9
2025-02-20 05:00:00,9.84,9.92,9.79,9.92,10,9.849,4
2025-02-20 06:00:00,9.93,9.93,9.93,9.93,4,9.93,2
2025-02-20 07:00:00,9.89,9.93,9.89,9.92,7,9.911,7
2025-02-20 08:00:00,9.8,9.95,9.8,9.87,62,9.889,27
2025-02-20 09:00:00,9.87,9.93,9.4,9.86,1349,9.698,375
2025-02-20 10:00:00,9.87,10.8,9.8,9.83,1829,10.262,599
2025-02-20 11:00:00,9.85,10.0,9.7,9.81,482,9.822,158
2025-02-20 12:00:00,9.82,9.96,9.81,9.95,63,9.869,36
2025-02-20 13:00:00,9.85,10.04,9.81,9.97,306,9.955,87
2025-02-20 14:00:00,10.0,10.05,9.79,9.87,264,9.88,127
2025-02-20 15:00:00,9.88,9.89,9.57,9.66,962,9.678,496
2025-02-20 16:00:00,9.67,9.8,9.65,9.66,92,9.674,13
2025-02-20 17:00:00,9.68,9.76,9.67,9.76,19,9.723,5
2025-02-20 18:00:00,9.72,9.76,9.72,9.76,9,9.756,3
2025-02-20 19:00:00,9.7,9.81,9.7,9.81,7,9.731,3
