date,open,high,low,close,volume,average,barCount
2023-12-20,0.66,0.6875,0.64,0.64,2967,0.66116,690
2023-12-21,0.6691,0.6749,0.645,0.6499,1797,0.66172,324
2023-12-22,0.64,0.6599,0.62,0.636,3822,0.64,780
2023-12-26,0.6383,0.65,0.63,0.6399,1840,0.63997,388
2023-12-27,0.7,0.716,0.6401,0.6468,3959,0.66492,887
2023-12-28,0.6716,0.68,0.6458,0.664,4422,0.66567,928
2023-12-29,0.666,0.6996,0.666,0.671,1257,0.67834,389
2024-01-02,0.671,0.675,0.6523,0.6523,2702,0.66442,1439
2024-01-03,0.66,0.66,0.632,0.648,1480,0.6436,263
2024-01-04,0.642,0.6999,0.642,0.662,2695,0.66801,548
2024-01-05,0.67,0.6937,0.66,0.6653,1163,0.67039,241
2024-01-08,0.67,0.6763,0.645,0.6601,1449,0.6616,353
2024-01-09,0.641,0.688,0.641,0.66,1998,0.66202,186
2024-01-10,0.6684,0.6699,0.642,0.649,1399,0.65143,134
2024-01-11,0.65,0.6699,0.6369,0.6697,1016,0.6528,156
2024-01-12,0.66,0.6697,0.64,0.658,503,0.65494,98
2024-01-16,0.6255,0.665,0.6255,0.6449,2997,0.6559,564
2024-01-17,0.6306,0.6395,0.625,0.63,936,0.63048,154
2024-01-18,0.63,0.6739,0.62,0.6271,1665,0.63446,285
2024-01-19,0.62,0.65,0.6049,0.6288,749,0.6205,107
2024-01-22,0.6288,0.629,0.602,0.6287,1017,0.61753,266
2024-01-23,0.611,0.6579,0.611,0.653,806,0.64658,145
2024-01-24,0.66,0.68,0.66,0.6689,584,0.67091,143
2024-01-25,0.6689,0.6884,0.66,0.66,1092,0.68068,122
2024-01-26,0.66,0.68,0.66,0.663,293,0.66921,88
2024-01-29,0.673,0.7,0.67,0.698,867,0.68691,138
2024-01-30,0.7,0.7,0.681,0.6852,864,0.68971,137
2024-01-31,0.68,0.6807,0.658,0.6676,838,0.66629,178
2024-02-01,0.66,0.67,0.65,0.6561,911,0.65758,135
2024-02-02,0.66,0.67,0.65,0.65,739,0.65398,132
2024-02-05,0.66,0.66,0.641,0.641,684,0.65184,100
2024-02-06,0.6499,0.675,0.646,0.651,879,0.65843,190
2024-02-07,0.675,0.675,0.63,0.6449,858,0.64546,113
2024-02-08,0.65,0.666,0.63,0.631,891,0.64284,165
2024-02-09,0.635,0.637,0.61,0.62,1481,0.62455,98
2024-02-12,0.6477,0.6477,0.6,0.629,6267,0.6121,646
2024-02-13,0.6299,0.6386,0.61,0.6114,309,0.61471,68
2024-02-14,0.6114,0.6666,0.6114,0.62,1442,0.63605,280
2024-02-15,0.625,0.6659,0.625,0.6505,792,0.63994,247
2024-02-16,0.66,0.6799,0.6388,0.6521,1067,0.65838,196
2024-02-20,0.6531,0.6612,0.621,0.628,1791,0.64865,195
2024-02-21,0.648,0.66,0.63,0.64,1726,0.64687,343
2024-02-22,0.66,0.6998,0.65,0.687,3002,0.67374,604
2024-02-23,0.72,0.85,0.705,0.7952,11215,0.77988,2083
2024-02-26,0.82,0.85,0.75,0.7738,8419,0.80821,942
2024-02-27,0.7601,0.77,0.712,0.72,4200,0.74221,384
2024-02-28,0.72,0.754,0.695,0.7299,1058,0.71575,212
2024-02-29,0.715,0.7436,0.7,0.72,1202,0.71258,200
2024-03-01,0.72,0.75,0.72,0.75,651,0.73218,174
2024-03-04,0.7398,0.75,0.7003,0.7227,1343,0.72005,163
2024-03-05,0.705,0.7228,0.6877,0.69,640,0.70002,124
2024-03-06,0.693,0.7108,0.67,0.672,6161,0.68421,604
2024-03-07,0.6701,0.6801,0.63,0.638,6644,0.64592,688
2024-03-08,0.678,0.678,0.638,0.6579,3020,0.64774,340
2024-03-11,0.68,0.705,0.6435,0.669,31720,0.67027,2025
2024-03-12,0.6995,0.7487,0.66,0.7112,10913,0.68775,1611
2024-03-13,0.83,0.88,0.74,0.828,24186,0.81639,3015
2024-03-14,0.8045,0.8045,0.7456,0.799,3990,0.77568,626
2024-03-15,0.773,0.799,0.773,0.799,2135,0.7858,478
2024-03-18,0.78,0.78,0.7112,0.7126,5796,0.73462,562
2024-03-19,0.71,0.725,0.64,0.6602,6962,0.6666,952
2024-03-20,0.66,0.67,0.59,0.6597,29490,0.62312,2366
2024-03-21,0.6467,0.666,0.6235,0.6577,1869,0.64859,331
2024-03-22,0.65,0.71,0.6424,0.6947,2723,0.6845,378
2024-03-25,0.699,0.7,0.6701,0.6988,2698,0.69216,518
2024-03-26,0.6867,0.6999,0.6833,0.6912,1484,0.69128,222
2024-03-27,0.6999,0.7275,0.678,0.721,2852,0.69859,320
2024-03-28,0.72,0.763,0.72,0.7419,1989,0.74298,199
2024-04-01,0.735,0.8,0.7263,0.7981,7517,0.77397,621
