date,open,high,low,close,volume,average,barCount
2024-01-02,1.36,1.385,1.3,1.3,1754,1.3351,867
2024-01-03,1.29,1.37,1.29,1.31,1797,1.34361,666
2024-01-04,1.34,1.41,1.29,1.38,1095,1.36224,448
2024-01-05,1.4,1.425,1.32,1.32,1045,1.35629,443
2024-01-08,1.32,1.4,1.3,1.36,916,1.33668,362
2024-01-09,1.36,1.39,1.32,1.35,1103,1.3615,456
2024-01-10,1.38,1.44,1.32,1.33,1687,1.37482,365
2024-01-11,1.4,1.4799,1.33,1.46,1564,1.42471,477
2024-01-12,1.46,1.54,1.41,1.42,1053,1.45563,354
2024-01-16,1.42,1.4736,1.35,1.36,1179,1.37984,430
2024-01-17,1.34,1.37,1.33,1.35,1333,1.34694,443
2024-01-18,1.37,1.39,1.35,1.36,669,1.36918,210
2024-01-19,1.37,1.395,1.34,1.35,868,1.3639,451
2024-01-22,1.36,1.37,1.27,1.31,2082,1.31798,673
2024-01-23,1.31,1.36,1.3,1.35,1396,1.33746,478
2024-01-24,1.35,1.38,1.33,1.335,757,1.35516,302
2024-01-25,1.36,1.3798,1.31,1.33,706,1.32637,242
2024-01-26,1.34,1.66,1.34,1.56,4195,1.4868,892
2024-01-29,1.59,1.6259,1.5,1.59,1060,1.56018,269
2024-01-30,1.59,1.607,1.5,1.52,285,1.56318,111
2024-01-31,1.54,1.54,1.42,1.42,508,1.47236,218
2024-02-01,1.46,1.5199,1.37,1.39,656,1.4057,257
2024-02-02,1.43,1.48,1.35,1.39,1574,1.40543,590
2024-02-05,1.41,1.47,1.385,1.4,1447,1.4162,370
2024-02-06,1.4,1.47,1.4,1.46,644,1.43069,211
2024-02-07,1.44,1.49,1.44,1.47,717,1.47324,266
2024-02-08,1.44,1.54,1.39,1.51,1220,1.48516,265
2024-02-09,1.56,1.66,1.5187,1.64,754,1.61375,266
2024-02-12,1.67,1.79,1.65,1.77,1984,1.72824,454
2024-02-13,1.77,1.875,1.69,1.84,1995,1.8254,1018
2024-02-14,1.9,2.15,1.86,2.12,4462,2.03242,1015
2024-02-15,2.14,2.4,2.1269,2.38,8493,2.26943,1754
2024-02-16,2.39,2.8,2.251,2.73,12421,2.59234,3727
2024-02-20,2.75,3.22,2.65,2.74,7507,2.9252,3141
2024-02-21,2.65,2.78,2.4194,2.65,3571,2.62447,1573
2024-02-22,2.84,2.96,2.48,2.6,3640,2.65458,1150
2024-02-23,2.6,2.64,2.4,2.49,2648,2.52025,1180
2024-02-26,2.44,2.84,2.43,2.71,3293,2.68067,1578
2024-02-27,2.71,2.835,2.6,2.77,1586,2.71564,791
2024-02-28,2.82,3.01,2.62,2.93,2781,2.84125,938
2024-02-29,2.93,3.04,2.77,2.92,2484,2.92436,633
2024-03-01,2.93,2.97,2.7702,2.93,4167,2.89649,484
2024-03-04,2.95,3.02,2.81,2.94,2597,2.96022,950
2024-03-05,2.92,3.02,2.8,3.0,2906,2.97483,940
2024-03-06,3.03,3.1,2.87,3.07,2989,3.00585,1171
2024-03-07,3.08,3.11,2.881,2.95,3466,3.01483,425
2024-03-08,3.0,3.04,2.81,2.84,457,2.91351,245
2024-03-11,2.8,3.03,2.75,2.86,1591,2.93921,547
2024-03-12,2.86,3.03,2.8236,2.89,1136,2.94764,446
2024-03-13,2.86,3.04,2.72,2.97,2933,2.967,885
2024-03-14,2.93,3.19,2.82,3.13,5213,2.98373,1485
2024-03-15,3.11,3.39,3.06,3.35,3762,3.18455,1094
2024-03-18,3.3,3.34,3.1403,3.25,1281,3.22874,608
2024-03-19,3.28,3.47,3.15,3.46,1032,3.35754,626
2024-03-20,3.49,3.58,3.26,3.54,3038,3.4355,1226
2024-03-21,3.47,4.0,3.12,3.7,5143,3.6602,2124
2024-03-22,3.72,3.7268,3.54,3.59,1914,3.60402,773
2024-03-25,3.6,3.65,3.32,3.35,1869,3.53517,1048
2024-03-26,3.37,3.5,3.27,3.39,758,3.42246,405
2024-03-27,3.45,3.49,3.36,3.47,597,3.44959,153
2024-03-28,3.47,3.54,3.39,3.45,687,3.45651,296
2024-04-01,3.43,3.45,3.34,3.36,15820,3.38937,527
2024-04-02,3.3,3.3,3.15,3.23,698,3.18983,268
2024-04-03,3.19,3.24,3.032,3.16,1671,3.15333,663
2024-04-04,3.16,3.25,3.07,3.105,2074,3.11828,731
2024-04-05,3.08,3.19,3.03,3.07,3030,3.10903,416
2024-04-08,3.06,3.15,3.03,3.135,569,3.10103,199
2024-04-09,3.15,3.2,2.83,2.88,5011,3.05623,1148
2024-04-10,2.75,2.8971,2.6,2.73,1881,2.73162,859
2024-04-11,2.76,3.11,2.75,2.98,1039,2.94735,359
2024-04-12,2.98,3.05,2.8601,2.92,618,2.9649,375
2024-04-15,2.9,2.974,2.76,2.81,328,2.8199,132
2024-04-16,2.76,2.83,2.64,2.665,877,2.71583,503
2024-04-17,2.67,2.67,2.3501,2.58,2078,2.49234,844
2024-04-18,2.56,2.87,2.4,2.685,1263,2.69716,807
2024-04-19,2.66,2.92,2.59,2.835,1054,2.73667,543
2024-04-22,2.86,3.0599,2.76,2.94,1713,2.9888,295
2024-04-23,2.95,3.15,2.82,2.85,1477,2.99661,260
2024-04-24,2.85,2.87,2.57,2.65,902,2.69067,462
2024-04-25,2.63,2.68,2.45,2.54,1300,2.5164,582
2024-04-26,2.5,2.8,2.5,2.78,293,2.66811,124
2024-04-29,2.79,2.97,2.78,2.94,646,2.90537,397
2024-04-30,2.95,3.09,2.88,2.93,1941,3.00113,373
2024-05-01,2.93,3.0,2.74,2.86,1327,2.87407,583
2024-05-02,2.89,3.0545,2.87,3.01,456,3.00131,246
2024-05-03,3.02,3.12,2.98,3.02,116,3.05293,53
2024-05-06,3.05,3.11,2.92,2.94,224,2.98989,158
2024-05-07,2.94,3.02,2.88,2.9,406,2.94685,248
2024-05-08,2.6,2.85,2.508,2.64,958,2.62999,293
2024-05-09,2.65,3.01,2.57,2.92,2149,2.91551,450
2024-05-10,2.9,2.9,2.62,2.73,509,2.75921,284
2024-05-13,2.75,2.78,2.59,2.73,609,2.68679,217
2024-05-14,2.78,2.94,2.71,2.92,645,2.86609,290
2024-05-15,2.96,3.03,2.7,2.765,1786,2.92873,475
2024-05-16,2.73,2.9,2.69,2.84,976,2.80557,422
2024-05-17,2.85,2.93,2.75,2.77,423,2.83391,201
2024-05-20,2.77,2.97,2.77,2.83,1197,2.84903,507
2024-05-21,2.82,2.84,2.67,2.73,592,2.74801,410
2024-05-22,2.72,2.86,2.58,2.65,396,2.65393,280
2024-05-23,2.65,2.67,2.51,2.54,572,2.58598,394
2024-05-24,2.54,2.58,2.42,2.5,3788,2.4687,768
2024-05-28,2.52,2.6,2.42,2.56,1387,2.50605,797
2024-05-29,2.47,2.67,2.47,2.54,1402,2.55935,682
2024-05-30,2.5,2.66,2.48,2.59,2266,2.6006,675
2024-05-31,2.64,2.67,2.54,2.57,352,2.57643,266
2024-06-03,2.63,2.71,2.52,2.55,1210,2.62438,574
2024-06-04,2.56,2.65,2.48,2.61,1759,2.57331,854
2024-06-05,2.63,2.735,2.55,2.67,2556,2.66464,661
2024-06-06,2.65,2.69,2.47,2.47,712,2.57951,309
2024-06-07,2.4999,2.55,2.39,2.44,518,2.45685,319
2024-06-10,2.43,2.63,2.3,2.53,1380,2.48827,666
2024-06-11,2.55,2.8,2.55,2.6,343,2.61969,235
2024-06-12,2.66,2.9,2.59,2.84,8310,2.75056,1301
2024-06-13,2.9,2.96,2.72,2.77,1853,2.84865,480
2024-06-14,2.73,2.78,2.5,2.65,2532,2.55914,458
2024-06-17,2.64,2.8,2.6,2.705,2310,2.69467,570
2024-06-18,2.7,2.77,2.66,2.69,540,2.70393,369
2024-06-20,2.62,2.71,2.4,2.64,748,2.58169,384
2024-06-21,2.63,2.71,2.61,2.7,1092,2.65483,256
2024-06-24,2.7,2.72,2.56,2.64,1145,2.63443,575
2024-06-25,2.63,2.7,2.58,2.61,771,2.63651,483
2024-06-26,2.57,2.69,2.56,2.65,489,2.64272,352
2024-06-27,2.67,2.99,2.6,2.94,1983,2.88717,789
2024-06-28,2.95,3.19,2.871,2.98,2415,3.04053,1415
2024-07-01,3.03,3.0785,2.85,2.89,964,2.90458,481
2024-07-02,2.88,2.9083,2.67,2.68,965,2.79684,532
2024-07-03,2.7,2.7,2.53,2.67,358,2.63585,264
2024-07-05,2.67,2.67,2.42,2.58,676,2.52384,359
2024-07-08,2.59,2.77,2.59,2.72,342,2.70753,212
2024-07-09,2.7,2.8,2.59,2.67,835,2.6538,281
2024-07-10,2.69,2.73,2.59,2.65,3913,2.6553,855
2024-07-11,2.79,2.85,2.7,2.81,1436,2.76196,872
2024-07-12,2.98,2.98,2.8,2.8,585,2.87994,311
2024-07-15,2.85,2.98,2.82,2.85,738,2.87801,559
2024-07-16,2.92,2.95,2.8,2.9,1191,2.88665,651
2024-07-17,2.84,2.9,2.75,2.84,586,2.83821,421
2024-07-18,2.83,2.91,2.64,2.66,1256,2.75315,399
2024-07-19,2.68,2.81,2.67,2.78,4541,2.73325,413
2024-07-22,2.79,2.85,2.71,2.81,1923,2.80301,507
2024-07-23,2.81,2.98,2.73,2.96,1159,2.93107,553
2024-07-24,2.94,3.05,2.86,2.97,1744,2.9354,372
2024-07-25,2.98,3.2299,2.95,3.17,1760,3.13088,610
2024-07-26,3.23,3.3899,3.12,3.25,924,3.27366,503
2024-07-29,3.25,3.27,3.1,3.15,1513,3.18178,483
2024-07-30,3.15,3.28,3.07,3.18,585,3.1703,336
2024-07-31,3.19,3.2958,3.11,3.18,881,3.23206,435
2024-08-01,3.18,3.18,2.96,3.1,1333,3.05194,585
2024-08-02,2.92,3.06,2.75,2.875,1584,2.92568,490
2024-08-05,2.7,2.74,2.57,2.61,1605,2.62288,532
2024-08-06,2.63,2.815,2.52,2.61,1024,2.59337,258
2024-08-07,2.63,2.7,2.5,2.59,795,2.60656,477
2024-08-08,2.64,2.83,2.5801,2.8,938,2.70551,432
2024-08-09,2.82,3.05,2.82,2.86,325,2.92525,125
2024-08-12,2.91,2.91,2.7,2.73,318,2.76407,128
2024-08-13,2.73,2.88,2.66,2.7,249,2.71357,167
2024-08-14,2.75,2.75,2.58,2.61,1785,2.60612,206
2024-08-15,2.71,2.82,2.62,2.75,590,2.77273,240
2024-08-16,2.75,2.8,2.67,2.77,514,2.74277,185
2024-08-19,2.99,3.0499,2.84,2.97,1014,2.94643,561
2024-08-20,2.94,2.94,2.74,2.85,385,2.80648,254
2024-08-21,2.86,2.865,2.68,2.81,529,2.78471,364
2024-08-22,2.83,2.8855,2.74,2.76,349,2.78116,144
