date,open,high,low,close,volume,average,barCount
2025-02-20 08:00:00,4.58,4.84,4.58,4.67,91,4.67293,10
2025-02-20 09:00:00,4.67,4.78,4.59,4.62,1134,4.64696,317
2025-02-20 10:00:00,4.61,4.73,4.59,4.7,3522,4.62865,775
2025-02-20 11:00:00,4.72,4.76,4.56,4.59,1031,4.63602,519
2025-02-20 12:00:00,4.595,4.68,4.56,4.6718,2003,4.61111,577
2025-02-20 13:00:00,4.68,4.86,4.64,4.7998,12180,4.74902,1110
2025-02-20 14:00:00,4.805,4.87,4.75,4.84,5308,4.78301,599
2025-02-20 15:00:00,4.84,4.89,4.78,4.8,6287,4.81283,1527
2025-02-20 16:00:00,4.8,4.8,4.8,4.8,714,4.8,4
2025-02-20 17:00:00,4.8,4.8,4.8,4.8,0,4.8,0
2025-02-20 18:00:00,4.85,4.85,4.85,4.85,1,4.85,1
2025-02-20 19:00:00,4.9399,4.9399,4.9399,4.9399,1,4.9399,1
2025-02-21 07:00:00,5.0,5.0,5.0,5.0,3,5.0,2
2025-02-21 08:00:00,5.0,5.0,5.0,5.0,16,5.0,4
2025-02-21 09:00:00,5.0339,5.05,4.78,4.885,1209,4.90172,366
2025-02-21 10:00:00,4.89,4.98,4.87,4.9209,5231,4.89481,487
2025-02-21 11:00:00,4.925,4.98,4.9,4.915,1324,4.93861,443
2025-02-21 12:00:00,4.915,4.95,4.7,4.705,1924,4.8406,621
2025-02-21 13:00:00,4.71,4.71,4.57,4.635,1876,4.62713,658
2025-02-21 14:00:00,4.625,4.67,4.55,4.66,317,4.60503,187
2025-02-21 15:00:00,4.65,4.73,4.56,4.6,3822,4.6297,1805
2025-02-21 16:00:00,4.6,4.6,4.6,4.6,813,4.6,4
2025-02-21 17:00:00,4.37,4.37,4.37,4.37,2,4.37,1
2025-02-21 18:00:00,4.37,4.37,4.37,4.37,0,4.37,0
2025-02-21 19:00:00,4.5,4.5,4.5,4.5,1,4.5,1
2025-02-24 08:00:00,4.83,4.83,4.76,4.76,5,4.78682,3
2025-02-24 09:00:00,4.73,4.73,4.4601,4.53,588,4.59588,113
2025-02-24 10:00:00,4.53,4.57,4.39,4.44,1074,4.46117,490
2025-02-24 11:00:00,4.43,4.54,4.42,4.5,369,4.50366,253
2025-02-24 12:00:00,4.5,4.58,4.5,4.539,704,4.54269,326
2025-02-24 13:00:00,4.535,4.6,4.45,4.475,6774,4.53851,972
2025-02-24 14:00:00,4.49,4.49,4.345,4.36,1318,4.40937,667
2025-02-24 15:00:00,4.365,4.41,4.285,4.32,3542,4.35513,1460
2025-02-24 16:00:00,4.31,4.31,4.31,4.31,798,4.31,5
2025-02-24 17:00:00,4.31,4.31,4.31,4.31,0,4.31,0
2025-02-24 18:00:00,4.31,4.31,4.31,4.31,0,4.31,0
2025-02-24 19:00:00,4.1,4.53,4.1,4.2,128,4.35498,8
2025-02-25 07:00:00,4.38,4.43,4.38,4.43,2,4.40967,2
2025-02-25 08:00:00,4.2162,4.2162,4.2162,4.2162,2,4.2162,1
2025-02-25 09:00:00,4.31,4.36,4.09,4.17,1362,4.16221,382
2025-02-25 10:00:00,4.18,4.285,4.12,4.28,1152,4.17338,273
2025-02-25 11:00:00,4.285,4.285,4.185,4.28,869,4.2262,402
2025-02-25 12:00:00,4.28,4.34,4.25,4.33,933,4.30346,456
2025-02-25 13:00:00,4.325,4.43,4.32,4.41,504,4.36299,306
2025-02-25 14:00:00,4.3983,4.465,4.315,4.465,935,4.39332,431
2025-02-25 15:00:00,4.465,4.54,4.46,4.51,2122,4.50371,1170
2025-02-25 16:00:00,4.52,4.52,4.52,4.52,424,4.52,2
2025-02-25 17:00:00,4.59,4.59,4.59,4.59,6,4.59,1
2025-02-25 18:00:00,4.59,4.59,4.59,4.59,0,4.59,0
2025-02-25 19:00:00,4.5625,4.5625,4.5625,4.5625,1,4.5625,1
2025-02-26 08:00:00,4.5,4.79,4.42,4.79,146,4.5023,5
2025-02-26 09:00:00,4.41,4.66,4.39,4.6,219,4.58045,101
2025-02-26 10:00:00,4.58,4.685,4.58,4.66,406,4.64253,234
2025-02-26 11:00:00,4.66,4.71,4.61,4.625,909,4.66632,442
2025-02-26 12:00:00,4.63,4.65,4.55,4.56,208,4.6025,168
2025-02-26 13:00:00,4.56,4.615,4.52,4.535,410,4.57031,258
2025-02-26 14:00:00,4.535,4.56,4.4708,4.475,497,4.51754,280
2025-02-26 15:00:00,4.475,4.54,4.47,4.51,881,4.50855,514
2025-02-26 16:00:00,4.51,4.51,4.51,4.51,456,4.51,9
2025-02-26 17:00:00,4.51,4.51,4.51,4.51,0,4.51,0
2025-02-26 18:00:00,4.51,4.51,4.51,4.51,0,4.51,0
2025-02-26 19:00:00,4.51,4.51,4.51,4.51,0,4.51,0
2025-02-27 09:00:00,4.49,4.65,4.36,4.59,1576,4.54197,287
2025-02-27 10:00:00,4.595,4.75,4.56,4.725,1072,4.69717,358
2025-02-27 11:00:00,4.725,4.79,4.62,4.62,994,4.72274,328
2025-02-27 12:00:00,4.635,4.67,4.59,4.6,293,4.614,199
2025-02-27 13:00:00,4.61,4.6483,4.585,4.6,717,4.60306,376
2025-02-27 14:00:00,4.6,4.6,4.52,4.58,885,4.58337,441
2025-02-27 15:00:00,4.58,4.58,4.48,4.51,1367,4.53093,788
2025-02-27 16:00:00,4.5,4.5,4.5,4.5,261,4.5,4
2025-02-27 17:00:00,4.5,4.5,4.5,4.5,0,4.5,0
2025-02-27 18:00:00,4.5,4.5,4.5,4.5,0,4.5,0
2025-02-27 19:00:00,4.5,4.5,4.5,4.5,0,4.5,0
2025-02-28 07:00:00,4.61,4.61,4.61,4.61,2,4.61,1
2025-02-28 08:00:00,4.61,4.61,4.61,4.61,0,4.61,0
2025-02-28 09:00:00,4.49,4.7,4.17,4.51,465,4.55346,158
2025-02-28 10:00:00,4.51,4.535,4.47,4.53,156,4.51044,122
