date,open,high,low,close,volume,average,barCount
2023-12-20,10.25,10.47,9.99,10.02,601,10.205,314
2023-12-21,10.17,10.41,9.85,10.15,600,10.13,339
2023-12-22,10.11,10.37,10.0,10.04,506,10.159,241
2023-12-26,10.04,10.57,9.97,10.47,414,10.256,237
2023-12-27,10.46,10.62,9.95,10.09,428,10.211,232
2023-12-28,10.09,10.19,9.95,10.06,194,10.066,130
2023-12-29,10.05,10.71,10.05,10.43,268,10.351,168
2024-01-02,10.36,10.65,10.32,10.32,180,10.49,102
2024-01-03,10.19,10.38,9.89,9.9,268,10.023,168
2024-01-04,9.88,10.1,9.79,9.86,176,9.892,63
2024-01-05,9.83,10.02,9.83,9.9,64,9.932,55
2024-01-08,9.71,10.09,9.71,9.91,69,9.865,54
2024-01-09,9.87,9.97,9.87,9.89,31,9.904,14
2024-01-10,9.93,9.97,9.56,9.61,196,9.783,69
2024-01-11,9.67,9.97,9.64,9.82,96,9.763,43
2024-01-12,9.82,9.94,9.6,9.6,81,9.786,28
2024-01-16,9.57,9.66,9.27,9.54,275,9.495,102
2024-01-17,9.44,9.7,9.08,9.51,106,9.343,61
2024-01-18,9.7,9.7,9.22,9.31,81,9.414,62
2024-01-19,9.45,9.69,9.3,9.63,46,9.506,33
2024-01-22,9.8,9.83,9.18,9.39,306,9.674,175
2024-01-23,9.54,10.21,9.54,10.01,136,9.977,75
2024-01-24,10.2,10.21,9.51,9.53,58,9.703,44
2024-01-25,9.56,9.91,9.56,9.62,39,9.669,21
2024-01-26,9.62,10.01,9.61,9.63,32,9.785,18
2024-01-29,9.8,10.05,9.77,10.05,57,9.902,28
2024-01-30,10.01,10.07,9.91,10.03,13,9.991,11
2024-01-31,10.18,10.25,9.86,9.86,28,10.087,20
2024-02-01,9.98,10.26,9.8,9.9,84,10.003,44
2024-02-02,9.78,10.05,9.69,9.71,106,9.962,70
2024-02-05,9.62,10.14,9.47,9.77,173,9.868,128
2024-02-06,9.75,9.89,9.65,9.75,153,9.774,86
2024-02-07,9.69,9.89,9.69,9.75,371,9.748,166
2024-02-08,9.75,9.83,9.65,9.65,34,9.759,25
2024-02-09,9.88,9.88,9.65,9.76,94,9.731,54
2024-02-12,9.98,10.05,9.72,9.97,14,9.898,12
2024-02-13,9.75,10.07,9.75,9.81,72,9.842,50
2024-02-14,10.01,10.01,9.35,9.36,132,9.732,68
2024-02-15,9.8,9.81,9.23,9.31,35,9.563,29
2024-02-16,9.42,9.63,9.15,9.15,276,9.332,209
2024-02-20,9.18,9.4,9.13,9.15,260,9.215,125
2024-02-21,9.1,9.39,9.0,9.15,67,9.172,49
2024-02-22,8.95,9.2,8.6,9.05,186,8.949,110
2024-02-23,8.96,9.0,8.7,8.7,195,8.786,93
2024-02-26,8.79,8.79,8.32,8.32,130,8.593,71
2024-02-27,8.29,8.71,8.26,8.27,150,8.466,64
2024-02-28,8.34,8.38,8.04,8.24,149,8.255,66
2024-02-29,8.26,8.86,8.15,8.46,355,8.386,94
2024-03-01,8.6,8.92,8.45,8.47,80,8.694,50
2024-03-04,8.48,8.65,8.21,8.61,111,8.434,44
2024-03-05,8.6,9.13,8.6,8.91,210,8.816,119
2024-03-06,9.0,9.28,8.92,9.13,362,9.209,82
2024-03-07,9.25,9.4,9.16,9.22,680,9.26,110
2024-03-08,9.15,9.92,9.15,9.87,107,9.729,37
2024-03-11,9.67,9.86,9.63,9.77,182,9.709,69
2024-03-12,9.78,9.78,9.49,9.65,52,9.642,17
2024-03-13,9.54,9.54,9.46,9.5,38,9.473,17
2024-03-14,9.45,9.68,9.39,9.39,70,9.512,10
2024-03-15,9.3,9.87,9.22,9.87,190,9.474,122
2024-03-18,9.94,9.94,9.41,9.66,608,9.74,40
2024-03-19,9.68,9.68,9.27,9.27,67,9.542,45
2024-03-20,9.22,9.58,8.97,9.4,214,9.105,167
2024-03-21,9.87,9.87,9.45,9.47,14,9.589,11
2024-03-22,9.52,9.59,9.08,9.12,61,9.237,26
2024-03-25,9.22,9.61,9.11,9.61,18,9.325,10
2024-03-26,9.21,9.63,8.79,9.46,220,9.181,113
2024-03-27,9.36,9.42,9.1,9.31,443,9.245,78
2024-03-28,9.0,9.16,8.28,8.52,6469,8.621,388
2024-04-01,8.6,8.92,8.15,8.24,859,8.518,515
2024-04-02,8.15,8.26,7.6,8.25,861,8.094,480
2024-04-03,8.19,8.23,7.75,7.86,395,7.89,203
2024-04-04,7.86,8.1,7.8,7.97,228,7.968,114
2024-04-05,7.99,8.0,7.85,7.88,244,7.902,115
2024-04-08,7.92,7.98,7.65,7.75,381,7.871,94
2024-04-09,7.8,8.21,7.79,7.9,434,7.873,190
2024-04-10,7.79,7.93,7.72,7.73,237,7.839,130
2024-04-11,7.77,8.0,7.61,7.85,609,7.778,287
2024-04-12,7.7,8.0,7.7,7.95,226,7.904,145
2024-04-15,7.88,7.88,7.52,7.6,331,7.666,224
2024-04-16,7.52,7.52,6.93,7.25,394,7.182,195
2024-04-17,7.25,7.46,7.02,7.13,126,7.242,91
2024-04-18,7.22,7.44,7.16,7.44,18,7.208,16
