date,open,high,low,close,volume,average,barCount
2023-12-20,8.24,8.49,7.85,7.87,2622,8.12431,1688
2023-12-21,8.06,8.25,7.8,7.91,2687,7.98629,1602
2023-12-22,8.0,8.39,7.95,8.33,2068,8.2545,1045
2023-12-26,8.47,8.8,8.41,8.66,1900,8.63518,738
2023-12-27,8.66,8.83,8.51,8.77,2531,8.72006,1180
2023-12-28,8.53,8.76,8.5,8.72,2150,8.64886,1107
2023-12-29,8.76,8.82,8.32,8.37,2382,8.44606,1003
2024-01-02,8.29,8.58,8.13,8.42,2435,8.3897,1456
2024-01-03,8.16,8.16,7.74,8.0,2950,7.97933,1678
2024-01-04,7.92,8.11,7.86,7.95,1706,7.98135,1215
2024-01-05,7.78,8.0,7.45,7.46,1947,7.6102,1269
2024-01-08,7.38,7.49,7.17,7.37,1061,7.36687,784
2024-01-09,7.15,7.15,6.86,7.01,2395,6.96693,1144
2024-01-10,6.89,6.99,6.61,6.64,1244,6.73021,741
2024-01-11,6.55,6.59,6.21,6.22,2131,6.35099,1014
2024-01-12,6.38,6.51,6.1,6.17,1188,6.21414,633
2024-01-16,6.06,6.07,5.65,5.8,2455,5.7992,1225
2024-01-17,5.62,5.65,5.47,5.56,4747,5.54169,1665
2024-01-18,5.58,5.58,5.21,5.51,4441,5.38968,1828
2024-01-19,5.57,5.63,5.27,5.61,1752,5.47444,1051
2024-01-22,5.7,6.01,5.7,6.01,2844,5.86168,1413
2024-01-23,6.21,6.51,6.1,6.1,1695,6.27716,948
2024-01-24,6.28,6.34,5.74,5.75,1542,5.9194,873
2024-01-25,5.89,6.16,5.73,6.16,1769,5.98699,1023
2024-01-26,6.24,6.53,6.24,6.5,2001,6.431,1195
2024-01-29,6.46,6.98,6.31,6.95,2226,6.79061,1192
2024-01-30,6.84,6.84,6.5,6.53,1532,6.60407,881
2024-01-31,6.49,6.53,6.02,6.03,1350,6.23603,950
2024-02-01,6.07,6.18,5.64,5.69,1999,5.80454,1183
2024-02-02,5.6,5.69,5.34,5.61,2144,5.55085,1044
2024-02-05,5.55,5.77,5.37,5.72,2333,5.63095,1165
2024-02-06,5.68,5.98,5.68,5.9,869,5.86474,485
2024-02-07,5.95,5.95,5.6,5.71,1161,5.70115,748
2024-02-08,5.7,6.01,5.62,5.94,689,5.89111,463
2024-02-09,5.95,5.95,5.74,5.83,1155,5.84065,766
2024-02-12,5.8,6.29,5.8,6.15,2500,6.13862,1420
2024-02-13,5.52,5.52,4.34,4.85,12529,4.8545,4487
2024-02-14,4.91,4.91,4.31,4.84,5785,4.60806,2765
2024-02-15,4.86,5.22,4.84,5.19,3331,5.07286,2058
2024-02-16,5.06,5.21,4.74,4.78,2929,4.92039,1477
2024-02-20,4.68,4.7,4.44,4.5,2889,4.53162,1489
2024-02-21,4.5,4.58,4.36,4.4,1916,4.43613,992
2024-02-22,4.38,4.4,4.27,4.33,2158,4.32997,988
2024-02-23,4.3,4.43,4.22,4.36,1565,4.3351,936
2024-02-26,4.39,4.47,4.27,4.37,1655,4.36373,945
2024-02-27,4.45,4.57,4.42,4.49,1575,4.49798,1013
2024-02-28,4.4,4.56,4.24,4.29,1606,4.33364,816
2024-02-29,4.42,4.56,4.34,4.5,1475,4.46469,760
2024-03-01,4.55,4.55,4.32,4.43,1655,4.42668,930
2024-03-04,4.45,4.53,4.4,4.49,1679,4.48019,944
2024-03-05,4.44,4.54,4.39,4.42,2070,4.46983,1041
2024-03-06,4.52,4.61,4.39,4.48,1947,4.50263,1182
2024-03-07,4.53,4.92,4.53,4.88,2557,4.77169,1425
2024-03-08,4.96,5.29,4.95,4.98,2564,5.07367,1417
2024-03-11,4.94,5.12,4.85,4.88,2132,4.98866,1175
