date,open,high,low,close,volume,average,barCount
2021-01-04,236.33,248.16,236.33,244.53,1002894,243.72266667,143887
2021-01-05,243.38,251.47,239.73,250.97,639074,244.68866667,97099
2021-01-06,249.33,258.0,248.89,254.53,921920,254.112,136534
2021-01-07,256.33,278.24,255.73,276.5,1026215,266.814,165674
2021-01-08,281.67,294.96,279.46,289.17,1501137,288.87766667,243020
2023-12-06,240.61,246.57,238.85,240.37,1080540,243.357,375835
2023-12-07,240.8,244.08,236.98,242.91,916952,240.903,302844
2023-12-08,242.0,245.27,239.27,243.23,878583,243.008,291022
2023-12-11,242.0,245.0,237.45,239.55,819699,240.157,294619
2023-12-12,240.25,241.22,233.87,236.48,785221,235.837,276335
2023-12-13,236.15,240.3,228.2,239.96,1239846,233.864,406349
2023-12-14,240.71,253.88,239.71,250.25,1332513,248.766,501200
2023-12-15,250.8,254.2,248.3,253.32,1158815,252.056,341163
2023-12-18,253.5,258.74,250.94,250.94,973605,254.946,340601
2023-12-19,252.82,258.34,251.66,257.75,902103,256.193,303405
2023-12-20,257.21,259.84,246.47,248.35,1065670,254.483,373899
2023-12-21,251.4,255.35,248.55,255.32,937253,252.037,306596
2023-12-22,253.7,258.22,251.37,252.57,791624,255.175,273428
2023-12-26,253.22,257.97,252.91,256.95,735524,256.379,243743
2023-12-27,257.4,263.34,256.61,262.63,871570,261.809,289700
2023-12-28,263.02,265.13,252.3,254.85,969378,258.452,331870
2023-12-29,255.42,256.5,247.43,248.48,852702,250.35,281847
2024-01-02,248.05,251.25,244.41,248.0,877576,248.361,289824
2024-01-03,247.41,248.48,236.32,238.22,1023215,239.81,344354
2024-01-04,239.15,242.7,237.4,238.41,878148,240.308,283778
2024-01-05,237.12,240.12,234.9,237.4,792137,237.906,254676
2024-01-08,236.0,241.25,234.7,240.35,701465,238.595,232023
2024-01-09,239.45,240.5,232.04,234.2,815477,234.682,265842
2024-01-10,235.51,236.54,231.33,233.72,778458,233.495,247134
2024-01-11,235.51,236.0,225.0,225.05,872427,227.566,305252
2024-01-12,222.7,225.34,217.15,218.95,1023558,220.366,335128
2024-01-16,214.8,223.49,212.18,220.55,949389,219.467,326226
2024-01-17,215.9,219.0,212.01,213.46,862280,213.892,291191
2024-01-18,215.53,219.26,208.74,211.0,899772,212.257,304147
2024-01-19,211.85,213.19,207.56,212.4,862805,210.394,296845
2024-01-22,213.45,217.8,206.27,208.01,991809,210.663,328850
2024-01-23,208.49,215.65,207.75,210.14,894956,210.527,295881
2024-01-24,212.08,213.0,195.0,195.45,989395,208.708,345137
2024-01-25,195.17,196.26,180.06,181.99,1567776,184.991,586532
2024-01-26,183.31,186.78,182.1,184.08,888162,183.99,321274
2024-01-29,185.55,192.6,183.67,192.59,1037245,188.105,348846
2024-01-30,194.1,196.36,182.53,186.7,899259,192.828,308490
2024-01-31,185.95,193.97,185.04,188.8,856516,189.772,295816
2024-02-01,190.03,191.6,184.28,189.57,770027,187.284,254165
2024-02-02,190.19,190.59,182.0,187.15,905399,185.09,312052
2024-02-05,186.62,187.45,175.01,179.97,1104904,179.97,368170
2024-02-06,178.99,186.49,175.84,185.15,1053425,183.431,334783
2024-02-07,186.24,190.61,182.68,187.65,923832,187.167,308041
2024-02-08,189.0,191.62,185.58,189.5,709612,189.283,234685
2024-02-09,190.38,194.12,189.48,193.51,710056,192.515,240983
2024-02-12,193.41,195.29,187.28,187.33,798533,190.546,281022
2024-02-13,187.77,188.78,181.92,184.0,718014,184.215,250761
2024-02-14,185.22,194.68,183.35,190.28,688030,186.397,223447
2024-02-15,190.41,202.28,188.85,202.27,1009818,196.014,351166
2024-02-16,203.5,205.4,197.4,199.52,912493,200.315,321040
2024-02-20,196.98,198.6,189.13,192.4,868974,192.494,293514
2024-02-21,192.16,199.44,191.28,196.2,891710,194.842,289638
2024-02-22,197.51,198.5,191.36,196.01,754609,195.164,252640
2024-02-23,196.48,197.57,190.8,191.16,640220,193.97,219769
2024-02-26,191.13,201.78,190.08,199.1,921985,198.859,307004
2024-02-27,199.75,205.6,198.26,199.87,917074,201.471,298198
2024-02-28,200.0,205.3,198.44,201.05,851157,202.539,281058
2024-02-29,201.39,205.28,198.44,200.94,712293,201.451,229902
2024-03-01,201.95,204.52,198.5,202.27,686079,201.595,243731
2024-03-04,201.69,202.39,185.5,185.61,1109169,190.44,368893
2024-03-05,184.75,186.19,177.57,180.9,968389,180.713,325211
2024-03-06,182.73,183.79,173.7,174.75,874161,177.35,292844
2024-03-07,175.09,180.0,172.11,178.5,855091,177.782,276768
2024-03-08,179.48,183.81,174.7,174.98,693210,177.183,239899
2024-03-11,176.34,182.87,174.8,178.65,707211,178.945,242488
2024-03-12,179.79,180.53,172.41,177.91,721310,176.493,247806
2024-03-13,178.35,178.39,167.7,168.6,846704,171.642,281794
2024-03-14,168.56,171.17,160.51,162.9,990424,164.183,334668
2024-03-15,163.0,165.19,160.76,164.01,786117,162.9,239948
2024-03-18,166.7,174.72,165.32,173.63,887914,171.736,297076
2024-03-19,174.2,176.0,167.42,171.47,636049,170.859,221245
2024-03-20,172.81,178.0,170.82,177.8,711967,173.438,236351
2024-03-21,179.0,179.0,171.8,173.43,602974,174.339,202604
2024-03-22,173.11,173.49,165.43,170.8,619370,169.276,213354
2024-03-25,168.5,175.24,167.66,173.6,609951,172.033,208617
2024-03-26,175.0,184.25,174.34,178.98,927614,180.712,344264
2024-03-27,179.21,181.91,176.0,180.37,691064,179.152,226052
2024-03-28,180.5,180.92,175.03,175.05,625773,176.81,219974
2024-04-01,177.5,178.26,170.21,173.54,679896,173.202,218781
2024-04-02,173.0,174.39,162.01,166.4,955285,165.79,343745
2024-04-03,165.7,170.0,163.28,169.99,695179,166.91,235510
2024-04-04,169.42,177.19,168.01,171.81,1046312,172.881,327802
2024-04-05,172.0,173.32,160.51,171.19,1187569,166.455,426559
2024-04-08,171.45,174.5,164.48,172.98,884234,172.518,302326
2024-04-09,172.95,179.22,171.6,177.41,889282,175.938,286338
2024-04-10,177.5,178.5,170.01,170.65,713618,171.908,248700
2024-04-11,171.33,175.88,168.51,173.88,782702,172.49,252160
2024-04-12,174.0,174.28,170.36,171.61,543114,171.843,185550
2024-04-15,171.5,172.1,160.2,160.27,819506,164.459,274240
2024-04-16,160.06,160.55,153.75,158.0,780210,156.424,270636
2024-04-17,157.29,159.79,153.78,154.71,684155,155.969,219524
2024-04-18,155.79,156.69,148.0,148.01,764373,150.501,238096
2024-04-19,147.44,150.94,145.3,146.9,686130,148.672,231723
2024-04-22,144.4,146.69,138.8,141.45,855178,141.715,297330
2024-04-23,141.37,164.0,140.99,163.96,1012693,147.5,323069
2024-04-24,162.53,167.97,157.51,160.55,1485004,161.906,513762
2024-04-25,161.1,173.33,158.0,173.15,1047129,165.623,346263
2024-04-26,173.14,173.8,166.37,168.91,904764,169.189,286234
2024-04-29,176.3,198.87,173.87,193.31,2002159,191.675,701800
2024-04-30,192.99,193.61,180.59,181.0,1068969,185.725,351842
2024-05-01,179.9,185.86,178.03,181.0,775243,181.633,258639
2024-05-02,182.66,185.5,176.02,180.66,752903,179.747,225339
2024-05-03,180.38,184.78,178.4,181.2,635689,181.25,201884
2024-05-06,182.49,187.56,181.7,184.45,716252,184.507,216190
2024-05-07,185.3,185.5,176.5,176.8,612761,179.19,196266
2024-05-08,177.57,178.18,170.15,174.33,676088,173.828,220886
2024-05-09,173.83,175.89,171.37,172.6,530522,173.03,165591
2024-05-10,173.15,174.4,167.5,167.5,598782,169.455,200433
