date,open,high,low,close,volume,average,barCount
2025-03-10 04:00:00,258.0,259.2,253.22,253.65,2592,255.693,1607
2025-03-10 05:00:00,253.62,256.3,253.35,255.07,1581,255.261,1053
2025-03-10 06:00:00,255.3,255.57,253.6,254.25,984,254.491,633
2025-03-10 07:00:00,254.32,256.99,253.47,254.75,2428,255.161,1485
2025-03-10 08:00:00,254.52,259.7,251.83,252.7,8975,253.963,3919
2025-03-10 09:00:00,252.73,253.37,243.39,243.9,160435,247.62,76408
2025-03-10 10:00:00,243.93,243.96,237.6,238.9,222252,240.394,94172
2025-03-10 11:00:00,238.84,243.11,238.34,238.69,114495,240.496,54059
2025-03-10 12:00:00,238.66,239.44,230.11,230.97,179101,233.867,78616
2025-03-10 13:00:00,230.94,231.3,225.03,225.76,195000,227.936,86775
2025-03-10 14:00:00,225.74,227.5,222.65,222.84,138239,225.482,62021
2025-03-10 15:00:00,222.84,224.8,220.0,222.06,274076,222.156,137977
2025-03-10 16:00:00,222.03,223.89,220.32,222.77,118147,222.195,5182
2025-03-10 17:00:00,222.6,223.05,218.0,218.01,9626,220.462,3610
2025-03-10 18:00:00,218.16,219.84,218.07,218.25,7795,218.853,3144
2025-03-10 19:00:00,218.21,218.45,215.0,215.01,13122,216.316,5168
2025-03-11 04:00:00,221.04,232.49,220.36,232.32,14283,227.717,7956
2025-03-11 05:00:00,232.38,233.5,230.0,230.71,8232,231.648,4719
2025-03-11 06:00:00,230.7,231.3,226.86,227.85,5692,228.679,3299
2025-03-11 07:00:00,227.86,228.4,225.04,228.11,10408,226.707,5714
2025-03-11 08:00:00,228.11,233.14,218.76,222.81,27208,224.426,12241
2025-03-11 09:00:00,222.81,236.29,222.0,232.9,229722,229.441,105366
2025-03-11 10:00:00,232.84,235.8,218.13,223.95,284256,226.234,136514
2025-03-11 11:00:00,223.93,232.7,223.15,227.59,161862,229.585,77992
2025-03-11 12:00:00,227.59,230.45,225.91,227.3,104454,228.104,49014
2025-03-11 13:00:00,227.3,228.7,223.55,228.26,99796,226.078,47579
2025-03-11 14:00:00,228.26,237.07,228.15,235.04,146300,233.452,69874
2025-03-11 15:00:00,235.06,235.71,229.62,230.5,169495,232.762,87953
2025-03-11 16:00:00,230.5,232.2,228.6,230.3,63828,230.564,4778
2025-03-11 17:00:00,230.49,231.8,230.0,231.27,24661,230.639,1274
2025-03-11 18:00:00,231.3,234.62,231.3,234.6,4140,233.37,1753
2025-03-11 19:00:00,234.46,235.0,233.0,234.99,4144,233.984,1416
2025-03-12 04:00:00,235.07,238.74,235.01,238.45,3023,236.646,1721
2025-03-12 05:00:00,238.47,238.7,236.87,238.3,2701,237.858,1413
2025-03-12 06:00:00,238.3,238.4,236.82,237.55,2025,237.534,1038
2025-03-12 07:00:00,237.5,239.7,237.5,239.07,5821,238.795,2719
2025-03-12 08:00:00,237.75,245.49,230.58,243.5,35283,242.387,13843
2025-03-12 09:00:00,243.54,251.69,243.16,246.68,224961,247.807,99518
2025-03-12 10:00:00,246.67,250.85,242.76,244.23,193137,246.317,87868
2025-03-12 11:00:00,244.29,247.58,241.1,246.87,129673,244.457,56423
2025-03-12 12:00:00,246.85,251.84,245.48,247.71,122440,249.013,49760
2025-03-12 13:00:00,247.75,251.1,245.75,245.78,92424,249.219,36330
2025-03-12 14:00:00,245.8,249.85,245.75,249.18,75999,248.413,30846
2025-03-12 15:00:00,249.16,249.33,245.98,248.28,114580,247.708,55083
2025-03-12 16:00:00,248.49,249.37,248.08,249.0,80570,248.137,2438
2025-03-12 17:00:00,248.95,249.94,248.8,249.5,2013,249.549,874
2025-03-12 18:00:00,249.25,250.95,249.1,250.95,3004,250.218,1322
2025-03-12 19:00:00,250.9,253.55,250.82,253.0,6557,252.49,2896
2025-03-13 04:00:00,245.8,247.66,242.3,243.49,3049,244.497,1932
2025-03-13 05:00:00,243.49,248.66,242.28,248.52,2406,245.284,1395
2025-03-13 06:00:00,248.55,249.39,247.2,247.6,1864,248.346,1027
2025-03-13 07:00:00,247.66,248.29,244.9,245.5,3709,246.098,2209
2025-03-13 08:00:00,246.86,250.76,242.0,246.56,15269,246.224,6541
2025-03-13 09:00:00,246.69,249.28,235.7,236.11,159237,241.182,71030
2025-03-13 10:00:00,236.05,241.82,234.0,237.09,189910,238.007,86859
2025-03-13 11:00:00,237.05,238.35,232.6,234.36,113277,235.804,49661
2025-03-13 12:00:00,234.42,238.49,234.13,237.16,93044,236.146,39610
2025-03-13 13:00:00,237.09,239.28,235.01,238.07,69934,236.887,30920
2025-03-13 14:00:00,238.0,242.15,237.87,241.37,94493,240.533,41349
2025-03-13 15:00:00,241.35,242.6,238.15,240.69,95853,240.208,47436
2025-03-13 16:00:00,240.68,242.2,238.12,240.25,53092,240.743,2234
2025-03-13 17:00:00,240.26,240.7,239.25,240.35,1573,239.963,754
2025-03-13 18:00:00,240.4,242.13,240.4,241.83,2190,241.573,1008
2025-03-13 19:00:00,241.81,241.9,240.56,241.1,2203,241.148,977
2025-03-14 04:00:00,243.41,245.09,242.1,243.75,1793,244.037,1022
2025-03-14 05:00:00,243.9,244.75,243.66,244.37,899,244.155,600
2025-03-14 06:00:00,244.53,245.5,244.01,244.69,1825,244.761,814
2025-03-14 07:00:00,244.58,245.3,244.3,245.12,1613,244.769,953
2025-03-14 08:00:00,244.51,246.88,242.37,246.62,7422,245.482,3091
2025-03-14 09:00:00,246.56,250.64,243.02,243.26,132102,246.797,57642
