date,open,high,low,close,volume,average,barCount
2025-02-18 04:00:00,27.9,28.8,27.6,28.09,639,28.225,294
2025-02-18 05:00:00,28.17,28.34,28.08,28.27,224,28.178,108
2025-02-18 06:00:00,28.26,28.34,28.15,28.22,138,28.23,63
2025-02-18 07:00:00,28.19,28.22,27.94,27.95,128,28.107,73
2025-02-18 08:00:00,28.16,28.41,27.0,28.32,918,27.872,245
2025-02-18 09:00:00,28.34,28.35,27.16,27.91,3062,27.647,1425
2025-02-18 10:00:00,27.9,28.01,27.3,27.74,1833,27.693,902
2025-02-18 11:00:00,27.7,27.86,27.51,27.6,964,27.752,605
2025-02-18 12:00:00,27.55,27.57,27.35,27.45,1025,27.462,433
2025-02-18 13:00:00,27.42,27.44,26.77,26.99,1161,27.034,610
2025-02-18 14:00:00,27.01,27.47,27.0,27.36,719,27.191,442
2025-02-18 15:00:00,27.34,27.41,27.13,27.38,1469,27.289,947
2025-02-18 16:00:00,27.36,27.54,27.33,27.47,125,27.422,35
2025-02-18 17:00:00,27.39,27.4,27.35,27.37,71,27.389,5
2025-02-18 18:00:00,27.4,27.45,27.38,27.45,3,27.412,3
2025-02-18 19:00:00,27.39,27.44,27.39,27.44,18,27.403,9
2025-02-19 04:00:00,27.48,27.48,27.09,27.44,260,27.321,121
2025-02-19 05:00:00,27.44,27.45,27.33,27.34,74,27.385,34
2025-02-19 06:00:00,27.33,27.39,27.27,27.28,73,27.316,35
2025-02-19 07:00:00,27.25,27.61,27.25,27.49,227,27.447,108
2025-02-19 08:00:00,27.49,27.59,27.26,27.26,402,27.397,139
2025-02-19 09:00:00,27.29,29.13,27.21,28.86,4415,28.306,1635
2025-02-19 10:00:00,28.88,29.41,28.25,28.38,5467,28.875,2170
2025-02-19 11:00:00,28.38,28.52,28.03,28.43,2260,28.281,898
2025-02-19 12:00:00,28.41,29.08,28.4,28.66,1825,28.82,754
2025-02-19 13:00:00,28.67,28.93,28.41,28.43,1565,28.712,663
2025-02-19 14:00:00,28.4,28.8,28.24,28.71,1398,28.612,643
2025-02-19 15:00:00,28.62,28.72,27.87,28.39,3622,28.326,1470
2025-02-19 16:00:00,28.4,28.51,28.35,28.46,533,28.48,140
2025-02-19 17:00:00,28.43,28.43,28.19,28.29,101,28.306,29
2025-02-19 18:00:00,28.35,28.48,28.35,28.42,13,28.396,5
2025-02-19 19:00:00,28.28,28.4,28.28,28.39,40,28.355,8
2025-02-20 04:00:00,28.3,28.32,28.03,28.24,218,28.186,106
2025-02-20 05:00:00,28.31,28.75,28.31,28.63,484,28.602,184
2025-02-20 06:00:00,28.72,28.92,28.48,28.64,288,28.65,92
2025-02-20 07:00:00,28.61,28.75,28.45,28.57,144,28.571,67
2025-02-20 08:00:00,28.49,28.92,28.04,28.61,245,28.498,85
2025-02-20 09:00:00,28.62,28.67,26.77,26.8,2664,27.571,1146
2025-02-20 10:00:00,26.81,27.36,26.38,26.73,2708,26.844,1236
2025-02-20 11:00:00,26.71,27.48,26.69,27.19,1317,27.117,684
2025-02-20 12:00:00,27.2,27.53,27.09,27.09,799,27.328,433
2025-02-20 13:00:00,27.06,27.27,26.97,27.19,1143,27.149,590
2025-02-20 14:00:00,27.16,27.36,26.85,27.34,1537,27.124,748
2025-02-20 15:00:00,27.34,27.47,27.14,27.39,1936,27.302,1264
2025-02-20 16:00:00,27.35,27.41,27.28,27.28,79,27.345,23
2025-02-20 17:00:00,27.3,27.32,27.12,27.25,36,27.249,12
2025-02-20 18:00:00,27.3,27.41,27.19,27.25,27,27.261,7
2025-02-20 19:00:00,27.18,27.19,27.11,27.15,12,27.139,6
2025-02-21 04:00:00,27.28,27.28,27.06,27.26,168,27.181,81
2025-02-21 05:00:00,27.25,27.26,27.18,27.21,155,27.219,66
2025-02-21 06:00:00,27.23,27.26,27.13,27.13,21,27.223,17
2025-02-21 07:00:00,27.18,27.49,27.1,27.49,159,27.163,65
2025-02-21 08:00:00,27.53,27.7,27.01,27.54,298,27.536,175
2025-02-21 09:00:00,27.54,27.56,26.74,27.05,1639,27.083,738
2025-02-21 10:00:00,26.94,27.26,25.89,26.34,3280,26.431,1408
2025-02-21 11:00:00,26.38,26.42,25.45,25.63,2225,25.91,919
2025-02-21 12:00:00,25.6,25.69,24.9,25.05,4063,25.184,1371
2025-02-21 13:00:00,25.07,25.53,24.7,24.89,1792,25.062,741
2025-02-21 14:00:00,24.9,24.96,24.28,24.65,4773,24.649,1523
2025-02-21 15:00:00,24.65,24.94,24.36,24.77,2447,24.665,1470
2025-02-21 16:00:00,24.78,24.8,24.7,24.72,162,24.76,68
2025-02-21 17:00:00,24.76,25.1,24.72,25.1,117,24.796,18
2025-02-21 18:00:00,24.72,25.12,24.72,24.81,43,24.839,18
2025-02-21 19:00:00,24.9,25.15,24.78,25.0,115,24.821,28
2025-02-24 04:00:00,24.75,25.17,24.5,25.01,286,24.975,148
2025-02-24 05:00:00,25.0,25.01,24.65,24.79,361,24.819,156
2025-02-24 06:00:00,24.77,24.8,24.54,24.67,270,24.697,100
2025-02-24 07:00:00,24.69,24.7,23.9,24.08,484,24.225,199
2025-02-24 08:00:00,23.97,26.07,23.88,26.02,1711,24.757,701
2025-02-24 09:00:00,26.01,26.02,23.4,23.51,4114,24.537,2202
2025-02-24 10:00:00,23.51,24.0,22.87,23.37,5550,23.364,2430
2025-02-24 11:00:00,23.35,24.34,23.19,23.96,2788,23.963,1117
2025-02-24 12:00:00,24.05,24.96,24.05,24.54,2863,24.707,975
2025-02-24 13:00:00,24.54,24.94,24.54,24.62,919,24.772,436
2025-02-24 14:00:00,24.62,24.8,24.08,24.32,1368,24.39,667
2025-02-24 15:00:00,24.31,24.32,23.63,23.71,5272,23.938,1721
2025-02-24 16:00:00,23.72,23.74,23.61,23.68,86,23.662,23
2025-02-24 17:00:00,23.68,23.68,23.38,23.45,325,23.503,47
2025-02-24 18:00:00,23.4,23.51,23.2,23.2,64,23.302,26
2025-02-24 19:00:00,23.27,23.27,22.98,23.23,296,23.106,43
2025-02-25 04:00:00,23.43,24.03,23.39,23.56,1720,23.72,745
2025-02-25 05:00:00,23.57,24.12,23.56,23.8,820,23.826,338
2025-02-25 06:00:00,23.8,23.88,23.4,23.77,1116,23.661,488
2025-02-25 07:00:00,23.73,23.93,23.62,23.93,1197,23.776,518
2025-02-25 08:00:00,23.93,23.97,23.15,23.5,942,23.631,436
2025-02-25 09:00:00,23.51,23.57,21.12,21.21,7907,22.051,3096
2025-02-25 10:00:00,21.22,21.22,19.54,19.93,19669,20.433,6564
2025-02-25 11:00:00,19.96,20.24,19.16,20.2,11679,19.647,4060
2025-02-25 12:00:00,20.16,20.16,19.58,19.85,8280,19.855,1875
2025-02-25 13:00:00,19.87,20.24,19.43,19.43,6698,19.775,1329
2025-02-25 14:00:00,19.49,19.63,18.94,19.54,7383,19.255,1966
2025-02-25 15:00:00,19.53,19.9,19.09,19.72,6604,19.563,2528
2025-02-25 16:00:00,19.72,19.95,19.7,19.76,465,19.83,122
