date,open,high,low,close,volume,average,barCount
2024-05-28,1.94,2.19,1.7101,2.01,5303,1.98275,486
2024-05-29,1.99,2.59,1.86,2.27,6119,2.18868,977
2024-05-30,2.3,2.43,2.08,2.39,2923,2.28573,324
2024-05-31,2.35,2.39,1.91,2.09,2974,2.08231,448
2024-06-03,2.24,2.24,1.48,1.65,5001,1.80597,492
2024-06-04,1.65,1.99,1.48,1.95,1224,1.78137,173
2024-06-05,1.91,2.06,1.8,1.8,1136,1.96496,119
2024-06-06,1.89,2.0,1.75,1.95,481,1.94975,151
2024-06-07,1.95,1.95,1.88,1.88,207,1.89695,12
2024-06-10,1.87,1.95,1.84,1.95,1938,1.92287,90
2024-06-11,1.9,1.94,1.85,1.89,511,1.89207,57
2024-06-12,1.82,2.04,1.82,1.98,2112,1.96154,105
2024-06-13,1.98,2.19,1.82,2.05,3694,2.0164,276
2024-06-14,2.09,2.19,2.02,2.05,1800,2.10723,141
2024-06-17,2.14,2.14,1.99,1.99,531,2.06938,43
2024-06-18,2.05,2.07,1.97,1.99,928,2.0093,63
2024-06-20,2.0,2.24,1.91,1.99,3391,2.09658,244
2024-06-21,1.99,2.09,1.815,1.98,942,1.93829,95
2024-06-24,2.09,2.24,2.05,2.08,1545,2.13751,129
2024-06-25,2.08,2.19,2.047,2.07,697,2.11927,71
2024-06-26,2.07,2.15,2.03,2.07,239,2.10586,28
2024-06-27,2.04,2.2,2.03,2.2,745,2.10224,72
2024-06-28,2.2,2.26,2.146,2.195,1687,2.20839,77
2024-07-01,2.15,2.3,2.11,2.2,770,2.21189,78
2024-07-02,2.3,2.39,2.12,2.28,435,2.25796,47
2024-07-03,2.27,2.37,2.22,2.25,332,2.27816,35
2024-07-05,2.32,2.5,2.278,2.5,1172,2.37326,135
2024-07-08,2.5,2.88,2.5,2.77,2720,2.69106,366
2024-07-09,2.7,3.21,2.7,2.885,3680,2.96008,444
2024-07-10,2.84,2.99,2.25,2.71,3201,2.67092,467
2024-07-11,2.78,3.09,2.56,2.98,2585,2.89109,356
2024-07-12,2.92,3.62,2.85,3.4,5990,3.26713,793
2024-07-15,3.6,3.6,3.02,3.115,5773,3.27336,843
2024-07-16,3.15,3.39,2.96,3.14,2467,3.14191,385
2024-07-17,3.2,3.23,2.96,2.99,2540,3.02068,380
2024-07-18,3.1,3.15,2.95,2.98,2024,2.98688,168
2024-07-19,2.99,2.99,2.39,2.98,4010,2.68053,449
2024-07-22,2.98,2.98,2.8,2.85,856,2.8849,109
2024-07-23,2.81,2.81,2.45,2.7,2574,2.6582,376
2024-07-24,2.77,2.98,2.75,2.76,1416,2.84732,190
2024-07-25,2.89,2.92,2.66,2.89,926,2.80555,116
2024-07-26,2.9,2.95,2.81,2.87,555,2.89216,73
2024-07-29,2.95,2.95,2.86,2.9,324,2.90878,66
2024-07-30,2.91,2.95,2.81,2.81,593,2.84854,64
2024-07-31,2.87,2.87,2.66,2.79,1000,2.78008,87
2024-08-01,2.77,2.77,2.52,2.66,2708,2.6249,192
2024-08-02,2.66,2.7,2.29,2.44,2072,2.41275,229
2024-08-05,2.3,2.39,2.17,2.29,1771,2.24643,165
2024-08-06,2.34,2.5,2.25,2.37,611,2.36476,71
2024-08-07,2.35,2.64,2.24,2.33,1618,2.33159,144
2024-08-08,2.35,2.39,2.25,2.37,685,2.32339,74
2024-08-09,2.25,2.5,2.25,2.435,452,2.41278,40
2024-08-12,2.47,2.685,2.1201,2.24,1593,2.27567,218
2024-08-13,2.3,2.65,2.28,2.56,2596,2.40492,253
2024-08-14,2.55,2.77,2.51,2.75,1987,2.62925,223
2024-08-15,2.89,3.47,2.7005,3.25,13606,3.07133,1239
2024-08-16,3.28,3.89,3.11,3.8,7337,3.53908,1146
2024-08-19,3.95,4.49,3.88,4.35,6607,4.15264,1025
2024-08-20,4.29,4.6,4.07,4.55,4798,4.39834,763
2024-08-21,4.49,4.64,4.2,4.54,5544,4.44728,661
2024-08-22,4.54,4.58,4.15,4.17,2309,4.28058,383
2024-08-23,4.2,4.5501,4.13,4.46,6035,4.4004,784
2024-08-26,4.5,4.85,4.45,4.6,4760,4.59509,542
2024-08-27,4.6475,5.23,4.64,4.93,5193,4.94311,861
2024-08-28,4.9,5.64,4.71,5.19,7516,5.19438,958
2024-08-29,5.19,5.2001,4.755,4.915,8930,5.0341,924
2024-08-30,5.0,5.11,4.43,4.79,8218,4.87675,1083
2024-09-03,4.85,5.32,4.8,5.04,5400,5.09942,635
2024-09-04,5.06,5.19,5.01,5.05,1729,5.10219,283
2024-09-05,5.1,5.14,4.93,4.93,2615,4.99318,309
2024-09-06,4.92,4.94,4.68,4.83,1970,4.79662,262
2024-09-09,4.91,5.25,4.81,5.0,3067,5.00744,350
2024-09-10,4.97,5.14,4.77,4.87,1202,4.95802,172
2024-09-11,4.952,4.952,4.61,4.83,2103,4.73873,277
2024-09-12,4.85,4.93,4.8,4.9,706,4.87102,137
2024-09-13,4.9,5.25,4.89,5.16,3189,5.14596,362
2024-09-16,5.3,5.4,5.2,5.3,1646,5.31073,263
2024-09-17,5.3,5.54,5.28,5.45,2110,5.43868,337
2024-09-18,5.33,5.8,5.33,5.56,2739,5.58753,391
2024-09-19,5.52,6.1,5.52,5.92,3109,5.89416,439
2024-09-20,5.9,6.03,5.77,6.0,1691,5.94682,340
2024-09-23,6.09,6.75,6.09,6.74,7447,6.47381,887
