date,open,high,low,close,volume,average,barCount
2025-02-20 06:00:00,1.8,1.8,1.8,1.8,1,1.8,1
2025-02-20 07:00:00,1.79,1.79,1.76,1.76,4,1.78288,2
2025-02-20 08:00:00,1.79,1.7901,1.76,1.76,109,1.78574,10
2025-02-20 09:00:00,1.76,1.79,1.7,1.7079,3332,1.73114,687
2025-02-20 10:00:00,1.71,1.73,1.7,1.73,2982,1.71772,598
2025-02-20 11:00:00,1.73,1.73,1.71,1.715,1559,1.71864,335
2025-02-20 12:00:00,1.718,1.73,1.71,1.725,1521,1.71912,424
2025-02-20 13:00:00,1.7203,1.725,1.69,1.7,1198,1.70478,294
2025-02-20 14:00:00,1.705,1.72,1.7,1.71,948,1.70502,241
2025-02-20 15:00:00,1.7,1.72,1.7,1.705,1482,1.70764,340
2025-02-20 16:00:00,1.7,1.7001,1.69,1.7001,201,1.69628,9
2025-02-20 17:00:00,1.7,1.71,1.7,1.7098,23,1.70894,4
2025-02-20 18:00:00,1.71,1.73,1.71,1.73,31,1.72511,6
2025-02-20 19:00:00,1.73,1.73,1.71,1.71,13,1.71462,2
2025-02-21 04:00:00,1.72,1.72,1.72,1.72,9,1.72,2
2025-02-21 05:00:00,1.72,1.72,1.72,1.72,0,1.72,0
2025-02-21 06:00:00,1.72,1.72,1.69,1.69,64,1.69769,11
2025-02-21 07:00:00,1.68,1.69,1.68,1.68,28,1.6822,10
2025-02-21 08:00:00,1.68,1.69,1.68,1.69,60,1.68211,10
2025-02-21 09:00:00,1.68,1.71,1.6545,1.69,2732,1.68127,509
2025-02-21 10:00:00,1.68,1.685,1.64,1.64,2509,1.65514,435
2025-02-21 11:00:00,1.6491,1.655,1.615,1.63,1929,1.63236,384
2025-02-21 12:00:00,1.635,1.635,1.6,1.6084,2212,1.61276,421
2025-02-21 13:00:00,1.6,1.61,1.55,1.6,7748,1.58127,1539
2025-02-21 14:00:00,1.605,1.615,1.57,1.575,3503,1.58322,915
2025-02-21 15:00:00,1.575,1.59,1.55,1.56,7558,1.5695,1350
2025-02-21 16:00:00,1.57,1.68,1.56,1.5999,258,1.59032,14
2025-02-21 17:00:00,1.5902,1.65,1.59,1.6,240,1.60786,12
2025-02-21 18:00:00,1.6,1.64,1.57,1.64,90,1.583,11
2025-02-21 19:00:00,1.65,1.65,1.6,1.6,5,1.62727,3
2025-02-24 04:00:00,1.65,1.68,1.65,1.68,3,1.67,2
2025-02-24 05:00:00,1.65,1.65,1.57,1.65,16,1.59245,6
2025-02-24 06:00:00,1.64,1.65,1.64,1.65,35,1.64836,6
2025-02-24 07:00:00,1.6,1.65,1.6,1.65,102,1.6489,6
2025-02-24 08:00:00,1.6,1.6996,1.57,1.65,175,1.64432,15
2025-02-24 09:00:00,1.6499,1.65,1.48,1.5,4945,1.55464,676
2025-02-24 10:00:00,1.5,1.515,1.45,1.4525,6705,1.4792,1140
2025-02-24 11:00:00,1.4545,1.51,1.45,1.505,4189,1.47891,977
2025-02-24 12:00:00,1.5099,1.5586,1.5,1.535,1703,1.53463,394
2025-02-24 13:00:00,1.535,1.545,1.5225,1.535,1145,1.53577,274
2025-02-24 14:00:00,1.54,1.54,1.51,1.525,1246,1.52585,505
2025-02-24 15:00:00,1.53,1.53,1.49,1.4989,3503,1.51127,838
2025-02-24 16:00:00,1.5,1.56,1.48,1.56,301,1.49609,11
2025-02-24 17:00:00,1.49,1.5,1.49,1.5,35,1.49163,9
2025-02-24 18:00:00,1.5,1.5,1.4993,1.4993,11,1.49942,3
2025-02-24 19:00:00,1.49,1.49,1.48,1.4804,13,1.48126,5
2025-02-25 05:00:00,1.51,1.51,1.51,1.51,6,1.51,2
2025-02-25 06:00:00,1.51,1.51,1.51,1.51,0,1.51,0
2025-02-25 07:00:00,1.52,1.53,1.5,1.5,10,1.51801,4
2025-02-25 08:00:00,1.55,1.57,1.5299,1.57,85,1.53875,8
2025-02-25 09:00:00,1.58,1.58,1.43,1.44,2242,1.47304,417
2025-02-25 10:00:00,1.44,1.441,1.37,1.41,7589,1.40068,1414
2025-02-25 11:00:00,1.41,1.43,1.395,1.415,2486,1.40855,505
2025-02-25 12:00:00,1.4101,1.435,1.39,1.415,3954,1.41193,549
2025-02-25 13:00:00,1.42,1.445,1.415,1.435,1156,1.42731,269
2025-02-25 14:00:00,1.435,1.44,1.41,1.435,847,1.42362,245
2025-02-25 15:00:00,1.435,1.46,1.425,1.44,1787,1.44045,467
2025-02-25 16:00:00,1.45,1.4978,1.43,1.49,192,1.45281,5
2025-02-25 17:00:00,1.5,1.5,1.49,1.4994,52,1.49042,3
2025-02-25 18:00:00,1.4895,1.4895,1.41,1.41,55,1.4729,4
2025-02-25 19:00:00,1.47,1.47,1.41,1.411,44,1.42277,5
2025-02-26 04:00:00,1.44,1.44,1.44,1.44,3,1.44,2
2025-02-26 05:00:00,1.44,1.44,1.44,1.44,0,1.44,0
2025-02-26 06:00:00,1.41,1.41,1.41,1.41,10,1.41,3
2025-02-26 07:00:00,1.41,1.41,1.41,1.41,0,1.41,0
2025-02-26 08:00:00,1.4007,1.45,1.4007,1.44,139,1.44408,18
2025-02-26 09:00:00,1.44,1.4799,1.42,1.465,6744,1.45226,561
2025-02-26 10:00:00,1.4601,1.48,1.43,1.465,2698,1.45941,664
2025-02-26 11:00:00,1.4663,1.52,1.46,1.505,1748,1.48824,345
2025-02-26 12:00:00,1.5017,1.5017,1.46,1.46,1132,1.48445,255
2025-02-26 13:00:00,1.46,1.475,1.435,1.44,875,1.4571,215
2025-02-26 14:00:00,1.4383,1.4568,1.41,1.42,1527,1.42992,281
2025-02-26 15:00:00,1.42,1.44,1.4,1.435,2539,1.42097,670
2025-02-26 16:00:00,1.44,1.45,1.4013,1.4013,132,1.43609,10
2025-02-26 17:00:00,1.49,1.49,1.44,1.48,66,1.45454,4
2025-02-26 18:00:00,1.47,1.47,1.45,1.45,22,1.46738,2
2025-02-26 19:00:00,1.48,1.5472,1.48,1.5472,2,1.5136,2
2025-02-27 05:00:00,1.5,1.5,1.5,1.5,1,1.5,1
2025-02-27 06:00:00,1.5,1.5,1.5,1.5,0,1.5,0
2025-02-27 07:00:00,1.5,1.54,1.5,1.54,11,1.50567,3
2025-02-27 08:00:00,1.5,1.54,1.47,1.54,39,1.48362,9
2025-02-27 09:00:00,1.47,1.5,1.425,1.425,1568,1.47548,293
2025-02-27 10:00:00,1.42,1.44,1.4,1.425,1735,1.42075,342
2025-02-27 11:00:00,1.43,1.45,1.4,1.405,752,1.42368,190
2025-02-27 12:00:00,1.41,1.415,1.4,1.405,577,1.4063,125
2025-02-27 13:00:00,1.4,1.43,1.4,1.41,953,1.41554,234
2025-02-27 14:00:00,1.405,1.405,1.35,1.385,4947,1.37523,817
2025-02-27 15:00:00,1.39,1.39,1.35,1.36,5930,1.36486,1309
2025-02-27 16:00:00,1.37,1.3792,1.34,1.3501,277,1.35735,18
2025-02-27 17:00:00,1.35,1.35,1.3498,1.3499,46,1.34996,8
