date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,9.26,9.43,9.14,9.18,4251,9.253,2887
2024-05-29 00:00:00,9.04,9.18,9.04,9.07,4220,9.112,2453
2024-05-30 00:00:00,9.12,9.17,8.81,8.85,7058,8.953,4301
2024-05-31 00:00:00,8.92,8.95,8.77,8.84,3774,8.841,2440
2024-06-03 00:00:00,8.77,8.86,8.34,8.37,5998,8.518,3366
2024-06-04 00:00:00,8.32,8.32,8.03,8.11,6644,8.134,4054
2024-06-05 00:00:00,8.19,8.37,8.09,8.31,16397,8.248,5213
2024-06-06 00:00:00,8.31,8.52,8.28,8.46,6106,8.465,3644
2024-06-07 00:00:00,8.37,8.54,8.32,8.5,7358,8.485,3503
2024-06-10 00:00:00,8.49,8.78,8.44,8.75,5263,8.709,3242
2024-06-11 00:00:00,8.67,9.0,8.67,8.73,7920,8.807,4884
2024-06-12 00:00:00,8.9,9.15,8.81,8.85,6997,8.928,3899
2024-06-13 00:00:00,8.84,8.91,8.63,8.65,3993,8.715,2622
2024-06-14 00:00:00,8.53,8.6,8.27,8.31,4608,8.36,2679
2024-06-17 00:00:00,8.31,8.49,8.11,8.2,5589,8.218,3324
2024-06-18 00:00:00,8.23,8.27,8.09,8.09,4376,8.163,2548
2024-06-20 00:00:00,8.08,8.12,7.96,7.99,5531,8.016,3718
2024-06-21 00:00:00,8.03,8.13,7.91,8.09,7235,8.034,3218
2024-06-24 00:00:00,8.11,8.23,7.98,7.99,7414,8.061,4399
2024-06-25 00:00:00,8.02,8.16,7.93,8.12,4284,8.087,2715
2024-06-26 00:00:00,8.14,8.14,7.98,8.12,6064,8.086,3473
2024-06-27 00:00:00,8.14,8.5,8.12,8.45,5132,8.353,3055
2024-06-28 00:00:00,8.49,8.68,8.48,8.63,5373,8.596,3063
2024-07-01 00:00:00,8.65,8.65,8.39,8.5,4730,8.484,2634
2024-07-02 00:00:00,8.52,8.59,8.4,8.58,3874,8.508,2266
2024-07-03 00:00:00,8.57,8.74,8.47,8.64,3075,8.654,1943
2024-07-05 00:00:00,8.67,8.68,8.25,8.3,5930,8.383,3586
2024-07-08 00:00:00,8.37,8.64,8.35,8.55,5320,8.492,3234
2024-07-09 00:00:00,8.53,8.58,8.11,8.2,3980,8.211,2249
2024-07-10 00:00:00,8.27,8.27,8.07,8.12,4168,8.132,2353
2024-07-11 00:00:00,8.32,8.41,8.13,8.28,6461,8.233,3982
2024-07-12 00:00:00,8.35,8.47,8.25,8.32,6161,8.348,3311
2024-07-15 00:00:00,8.42,8.54,8.31,8.48,4197,8.451,2353
2024-07-16 00:00:00,8.52,8.92,8.52,8.88,6273,8.815,3653
2024-07-17 00:00:00,8.77,8.94,8.61,8.69,4664,8.73,2843
2024-07-18 00:00:00,8.74,8.82,8.5,8.57,5482,8.632,3014
2024-07-19 00:00:00,8.6,8.7,8.48,8.55,4051,8.573,2358
2024-07-22 00:00:00,8.56,8.73,8.43,8.71,3491,8.635,1934
2024-07-23 00:00:00,8.7,8.94,8.65,8.67,4486,8.77,2971
2024-07-24 00:00:00,8.74,8.77,8.4,8.46,4350,8.523,2703
2024-07-25 00:00:00,8.45,8.73,8.42,8.52,4598,8.605,3048
2024-07-26 00:00:00,8.93,9.48,8.81,8.99,10870,9.041,5905
2024-07-29 00:00:00,9.05,9.13,8.88,8.92,6100,8.991,3337
2024-07-30 00:00:00,8.98,9.24,8.97,9.14,6542,9.101,3500
2024-07-31 00:00:00,9.12,9.53,9.0,9.24,12650,9.258,7640
2024-08-01 00:00:00,7.09,8.05,6.92,7.52,41956,7.638,17611
2024-08-02 00:00:00,7.2,7.57,7.12,7.41,10049,7.419,6456
2024-08-05 00:00:00,6.8,7.12,6.67,7.11,11223,6.996,6337
2024-08-06 00:00:00,7.15,7.28,6.97,7.09,6333,7.143,3835
2024-08-07 00:00:00,7.19,7.47,7.02,7.04,6525,7.208,3668
2024-08-08 00:00:00,7.24,7.29,7.07,7.22,13559,7.162,6472
2024-08-09 00:00:00,7.28,7.36,7.05,7.2,6728,7.173,3839
2024-08-12 00:00:00,7.15,7.3,6.98,6.99,7146,7.116,3899
2024-08-13 00:00:00,6.97,7.19,6.94,7.11,8534,7.059,4146
2024-08-14 00:00:00,7.12,7.22,7.06,7.12,11831,7.126,5068
2024-08-15 00:00:00,7.3,7.56,7.25,7.51,9452,7.429,4344
2024-08-16 00:00:00,7.4,7.7,7.4,7.7,7104,7.611,3167
2024-08-19 00:00:00,7.63,7.78,7.58,7.77,6643,7.693,3432
2024-08-20 00:00:00,7.78,7.87,7.56,7.85,5593,7.72,3106
2024-08-21 00:00:00,7.91,8.33,7.91,8.24,6762,8.154,3614
2024-08-22 00:00:00,8.25,8.31,7.91,7.97,5441,8.107,3132
2024-08-23 00:00:00,7.95,8.21,7.94,8.14,5087,8.101,2849
2024-08-26 00:00:00,8.14,8.28,8.08,8.18,5675,8.19,3433
2024-08-27 00:00:00,8.12,8.16,8.05,8.06,5485,8.094,3160
2024-08-28 00:00:00,8.0,8.11,7.88,7.99,4606,7.975,2426
2024-08-29 00:00:00,7.99,8.37,7.99,8.24,6505,8.229,3839
2024-08-30 00:00:00,8.28,8.49,8.22,8.47,4518,8.368,2494
2024-09-03 00:00:00,8.39,8.51,8.04,8.09,5131,8.177,2884
2024-09-04 00:00:00,8.05,8.33,8.03,8.1,3508,8.15,2153
2024-09-05 00:00:00,8.12,8.23,8.06,8.14,4390,8.132,2633
2024-09-06 00:00:00,8.12,8.18,7.74,7.77,5375,7.873,2253
2024-09-09 00:00:00,7.8,8.03,7.66,7.68,3315,7.81,2175
2024-09-10 00:00:00,7.7,7.81,7.58,7.74,2805,7.702,1719
2024-09-11 00:00:00,7.68,7.82,7.59,7.74,3025,7.698,1909
2024-09-12 00:00:00,7.79,7.95,7.72,7.87,2951,7.845,1888
2024-09-13 00:00:00,7.94,8.18,7.91,8.07,3846,8.087,1917
2024-09-16 00:00:00,8.08,8.12,7.93,8.07,2727,8.029,1699
2024-09-17 00:00:00,8.16,8.26,8.01,8.04,4774,8.132,2739
2024-09-18 00:00:00,8.02,8.2,7.91,7.94,4920,8.035,3261
2024-09-19 00:00:00,8.2,8.35,8.08,8.31,5616,8.262,3453
2024-09-20 00:00:00,8.31,8.34,8.17,8.28,5201,8.275,2401
2024-09-23 00:00:00,8.3,8.32,7.98,8.07,3629,8.107,1846
2024-09-24 00:00:00,8.16,8.23,8.05,8.07,3363,8.115,2303
2024-09-25 00:00:00,8.07,8.12,8.0,8.03,2687,8.051,1617
2024-09-26 00:00:00,8.21,8.3,8.07,8.13,5306,8.139,3128
2024-09-27 00:00:00,7.68,7.97,7.52,7.65,8153,7.715,4227
2024-09-30 00:00:00,7.51,7.82,7.44,7.44,7805,7.564,3852
2024-10-01 00:00:00,7.47,7.55,7.32,7.33,4599,7.425,2525
2024-10-02 00:00:00,7.31,7.49,7.26,7.33,2757,7.357,1466
2024-10-03 00:00:00,7.27,7.37,7.16,7.17,3585,7.253,2121
2024-10-04 00:00:00,7.33,7.43,7.2,7.38,3998,7.355,2467
2024-10-07 00:00:00,7.33,7.4,7.2,7.31,3606,7.294,2020
2024-10-08 00:00:00,7.32,7.45,7.3,7.35,2316,7.376,1296
2024-10-09 00:00:00,7.37,7.49,7.34,7.42,3285,7.434,1572
2024-10-10 00:00:00,7.36,7.64,7.29,7.62,3249,7.486,1601
2024-10-11 00:00:00,7.59,8.06,7.55,7.86,3483,7.885,1803
2024-10-14 00:00:00,7.9,8.05,7.83,7.95,8639,7.973,2657
2024-10-15 00:00:00,7.95,8.08,7.86,8.01,8992,7.992,3508
2024-10-16 00:00:00,8.11,8.27,8.06,8.19,3515,8.173,2028
2024-10-17 00:00:00,8.18,8.41,7.96,8.0,7522,8.041,3120
2024-10-18 00:00:00,8.05,8.39,7.92,8.32,3512,8.188,1940
2024-10-21 00:00:00,8.27,8.32,8.19,8.31,2057,8.268,1298
2024-10-22 00:00:00,8.26,8.36,8.13,8.29,2678,8.287,1572
2024-10-23 00:00:00,8.24,8.31,8.06,8.2,1703,8.176,1119
2024-10-24 00:00:00,8.3,8.31,8.13,8.18,1994,8.199,1383
2024-10-25 00:00:00,8.0,8.04,7.77,7.99,3376,7.951,2015
2024-10-28 00:00:00,8.11,8.29,8.04,8.26,3818,8.215,2172
2024-10-29 00:00:00,8.25,8.53,8.12,8.46,5119,8.423,2727
2024-10-30 00:00:00,8.95,8.97,7.91,8.17,8985,8.304,5226
2024-10-31 00:00:00,8.17,8.25,7.81,7.84,5995,7.947,3806
2024-11-01 00:00:00,7.85,8.13,7.84,8.04,5839,8.013,3544
2024-11-04 00:00:00,8.0,8.21,7.81,7.84,5104,8.006,2916
2024-11-05 00:00:00,7.86,8.54,7.77,8.54,5786,8.263,3135
2024-11-06 00:00:00,8.8,9.03,8.6,8.73,9154,8.76,5369
2024-11-07 00:00:00,8.67,8.96,8.61,8.89,3104,8.833,2071
2024-11-08 00:00:00,8.73,8.83,8.63,8.65,3225,8.692,1923
2024-11-11 00:00:00,8.71,8.77,8.59,8.64,4664,8.669,2616
2024-11-12 00:00:00,8.54,8.63,8.4,8.45,3347,8.479,1954
2024-11-13 00:00:00,8.48,8.58,8.38,8.43,3635,8.468,1936
2024-11-14 00:00:00,8.45,8.49,8.13,8.15,2951,8.256,1889
2024-11-15 00:00:00,8.16,8.21,7.94,7.96,3262,8.041,1920
2024-11-18 00:00:00,7.92,8.03,7.55,7.66,3538,7.737,1699
2024-11-19 00:00:00,7.54,7.82,7.51,7.55,4246,7.608,2579
2024-11-20 00:00:00,7.52,7.61,7.4,7.55,3496,7.515,1923
2024-11-21 00:00:00,7.5,7.57,7.37,7.55,4997,7.483,2367
2024-11-22 00:00:00,7.6,7.83,7.58,7.68,4043,7.703,2232
2024-11-25 00:00:00,7.81,8.16,7.73,8.1,5099,8.044,3024
2024-11-26 00:00:00,8.07,8.17,7.93,7.95,6219,7.98,3619
2024-11-27 00:00:00,8.01,8.16,7.9,8.05,5270,8.057,2980
2024-11-29 00:00:00,8.09,8.09,7.91,7.96,2060,7.976,1298
2024-12-02 00:00:00,8.0,8.64,8.0,8.61,10498,8.408,4497
2024-12-03 00:00:00,8.57,8.58,8.44,8.45,7173,8.475,3820
2024-12-04 00:00:00,8.5,8.86,8.46,8.54,5236,8.681,2629
2024-12-05 00:00:00,8.6,8.72,8.37,8.58,3009,8.578,1790
