date,open,high,low,close,volume,average,barCount
2023-12-20,4.41,4.41,4.1,4.13,1896,4.21452,900
2023-12-21,4.25,4.36,4.17,4.23,1126,4.2388,529
2023-12-22,4.26,4.29,4.18,4.21,708,4.22245,442
2023-12-26,4.2,4.37,4.2,4.27,1892,4.26203,1016
2023-12-27,4.29,4.57,4.24,4.4,1810,4.44598,1134
2023-12-28,4.35,4.43,4.31,4.37,968,4.36728,619
2023-12-29,4.37,4.42,4.17,4.23,2505,4.26577,1236
2024-01-02,4.2,4.39,4.18,4.23,1621,4.28678,1108
2024-01-03,4.18,4.25,4.09,4.1,1718,4.14822,1020
2024-01-04,4.07,4.21,4.0,4.18,1469,4.1115,742
2024-01-05,4.17,4.34,4.1,4.1,1415,4.20952,792
2024-01-08,4.11,4.21,4.04,4.14,961,4.14797,643
2024-01-09,4.12,4.14,3.92,3.96,2271,4.00571,1633
2024-01-10,3.95,4.09,3.9,4.01,1697,4.02502,1256
2024-01-11,4.02,4.16,3.96,4.11,1318,4.08147,986
2024-01-12,4.14,4.23,4.03,4.05,1402,4.11612,895
2024-01-16,4.1,4.1,3.8,3.86,1276,3.86115,879
2024-01-17,3.91,3.91,3.72,3.78,959,3.78404,724
2024-01-18,3.84,3.93,3.74,3.91,901,3.84059,667
2024-01-19,3.93,4.06,3.82,4.06,906,3.97344,556
2024-01-22,4.09,4.21,4.03,4.12,1835,4.13542,768
2024-01-23,4.16,4.21,4.06,4.13,1039,4.13353,695
2024-01-24,4.24,4.24,4.06,4.08,1095,4.12812,737
2024-01-25,4.12,4.12,4.01,4.08,803,4.06264,507
2024-01-26,4.1,4.19,4.1,4.14,602,4.15268,429
2024-01-29,4.15,4.34,4.1,4.29,636,4.27192,488
2024-01-30,4.27,4.28,4.14,4.17,574,4.18621,393
2024-01-31,4.17,4.29,4.13,4.15,1198,4.207,768
2024-02-01,4.2,4.38,4.18,4.3,1163,4.28196,734
2024-02-02,4.25,4.46,4.17,4.34,970,4.34018,667
2024-02-05,4.31,4.54,4.2,4.45,1817,4.43207,1051
2024-02-06,4.45,4.5,4.41,4.44,957,4.45042,624
2024-02-07,4.47,4.48,4.33,4.43,1394,4.40103,739
2024-02-08,4.41,4.67,4.4,4.66,1046,4.56283,901
2024-02-09,4.43,4.75,4.43,4.68,1774,4.69154,978
2024-02-12,4.65,4.95,4.65,4.89,772,4.87869,560
2024-02-13,4.75,4.75,4.43,4.44,870,4.57402,714
2024-02-14,4.54,4.7,4.48,4.68,663,4.59615,540
2024-02-15,4.76,4.76,4.56,4.71,909,4.67472,745
2024-02-16,4.64,4.89,4.58,4.79,1074,4.78438,896
2024-02-20,4.77,4.83,4.71,4.74,932,4.77246,781
2024-02-21,4.69,4.7,4.51,4.52,934,4.60517,769
2024-02-22,4.64,4.64,4.42,4.42,853,4.52014,677
2024-02-23,3.79,3.88,2.6,2.82,11416,2.85779,5580
2024-02-26,2.76,2.83,2.68,2.73,3860,2.76436,2323
2024-02-27,2.73,2.76,2.58,2.58,4325,2.64037,2169
2024-02-28,2.58,2.67,2.43,2.64,4316,2.57821,2249
2024-02-29,2.69,3.03,2.64,2.93,4245,2.88853,1875
2024-03-01,2.94,3.22,2.8,2.81,2927,3.02912,1473
2024-03-04,2.81,2.81,2.53,2.55,2524,2.65228,1276
2024-03-05,2.53,2.6,2.48,2.5,2122,2.54004,1390
2024-03-06,2.53,2.62,2.51,2.6,1640,2.58105,962
2024-03-07,2.63,2.75,2.62,2.64,3718,2.69527,1496
2024-03-08,2.66,2.75,2.53,2.54,1432,2.63342,742
2024-03-11,2.58,2.65,2.49,2.5,2228,2.53477,1183
2024-03-12,2.49,2.6,2.47,2.47,5562,2.51252,1669
2024-03-13,2.54,2.54,2.35,2.36,3519,2.40639,1618
2024-03-14,2.38,2.41,2.32,2.4,1478,2.3585,787
2024-03-15,2.4,2.43,2.38,2.41,432,2.39772,283
2024-03-18,2.39,2.51,2.34,2.46,2017,2.44975,1062
2024-03-19,2.45,2.59,2.45,2.52,1197,2.54066,877
2024-03-20,2.52,2.71,2.47,2.62,1888,2.60505,1271
2024-03-21,2.63,2.83,2.63,2.8,1338,2.75393,901
2024-03-22,2.8,2.93,2.8,2.81,1298,2.84446,850
2024-03-25,2.8,3.18,2.8,3.01,2609,3.0417,1091
2024-03-26,3.05,3.2,3.04,3.05,1532,3.10411,871
2024-03-27,3.06,3.09,2.97,3.04,1362,3.0324,882
2024-03-28,3.03,3.24,3.0,3.09,2172,3.07043,1417
2024-04-01,3.12,3.12,2.84,2.89,1324,2.9482,807
2024-04-02,2.86,2.9,2.78,2.86,815,2.83926,642
2024-04-03,2.81,2.95,2.8,2.84,1146,2.88374,882
2024-04-04,2.88,2.99,2.82,2.87,697,2.90597,461
2024-04-05,2.83,2.91,2.79,2.89,754,2.84796,503
2024-04-08,2.89,2.94,2.83,2.87,450,2.86783,328
2024-04-09,2.89,3.12,2.89,3.03,1077,3.04464,742
2024-04-10,3.1,3.11,2.78,2.87,1285,2.92188,748
2024-04-11,2.86,2.97,2.7,2.78,907,2.79763,716
2024-04-12,2.79,2.79,2.52,2.52,754,2.60917,467
2024-04-15,2.52,2.57,2.23,2.31,1526,2.35323,758
2024-04-16,2.28,2.34,2.15,2.24,1443,2.23389,960
2024-04-17,2.27,2.37,2.24,2.31,1118,2.32359,599
