date,open,high,low,close,volume,average,barCount
2024-06-04 00:00:00,64.6,66.8,62.6,63.3,5643,64.51,12279
2024-06-05 00:00:00,61.7,64.0,60.5,60.8,4917,61.6,8870
2024-06-06 00:00:00,60.0,61.4,59.5,59.8,5456,60.31,9279
2024-06-07 00:00:00,60.0,60.4,57.8,58.7,5817,58.74,11093
2024-06-10 00:00:00,60.3,61.0,58.1,58.7,3643,59.27,6315
2024-06-11 00:00:00,59.8,61.5,58.0,58.5,5351,59.49,8396
2024-06-12 00:00:00,55.9,57.2,55.2,56.2,6315,56.03,9819
2024-06-13 00:00:00,55.8,59.1,55.3,56.0,7332,57.0,10869
2024-06-14 00:00:00,58.8,61.6,57.8,59.7,9582,60.04,15495
2024-06-17 00:00:00,59.5,60.9,57.2,58.7,4374,58.77,7340
2024-06-18 00:00:00,57.5,59.4,57.1,58.3,4299,58.47,6962
2024-06-20 00:00:00,58.0,62.9,57.9,61.6,8736,61.09,14749
2024-06-21 00:00:00,62.8,64.4,58.8,59.5,7931,60.48,12875
2024-06-24 00:00:00,60.1,60.5,57.6,59.2,4598,58.8,7146
2024-06-25 00:00:00,58.6,59.5,56.2,56.7,3537,57.72,5055
2024-06-26 00:00:00,56.8,57.3,55.1,55.4,4318,56.18,5762
2024-06-27 00:00:00,55.1,55.5,54.3,54.7,4142,54.89,5484
2024-06-28 00:00:00,54.6,56.0,53.8,56.0,5304,54.6,7655
2024-07-01 00:00:00,54.8,55.1,51.3,51.3,6563,53.51,8754
2024-07-02 00:00:00,51.9,51.9,49.8,50.2,4167,50.48,5131
2024-07-03 00:00:00,50.0,50.9,49.6,50.3,2545,50.29,3370
2024-07-05 00:00:00,50.0,51.6,49.9,50.9,4416,50.87,5692
2024-07-08 00:00:00,49.6,49.7,48.5,49.2,3823,49.05,5389
2024-07-09 00:00:00,48.7,49.8,48.5,49.1,3298,49.19,5109
2024-07-10 00:00:00,49.0,49.4,47.6,48.7,3055,48.38,4623
2024-07-11 00:00:00,47.7,50.7,47.5,49.4,7951,49.43,13105
2024-07-12 00:00:00,48.0,48.0,46.1,47.7,6407,46.88,9670
2024-07-15 00:00:00,47.0,49.5,46.6,49.3,6326,48.3,8495
2024-07-16 00:00:00,48.7,50.0,48.3,49.6,4334,49.16,6396
2024-07-17 00:00:00,52.5,54.7,51.2,53.3,12565,52.95,21776
2024-07-18 00:00:00,51.0,58.0,50.3,56.2,11850,55.62,19659
2024-07-19 00:00:00,58.0,62.6,56.7,60.9,9369,60.26,17449
2024-07-22 00:00:00,58.7,59.2,54.2,54.8,6977,56.5,11597
2024-07-23 00:00:00,60.0,60.0,52.2,54.0,4004,53.36,5632
2024-07-24 00:00:00,57.1,69.3,56.9,68.4,12239,63.52,23326
2024-07-25 00:00:00,66.6,73.2,61.0,69.2,11821,66.81,28828
2024-07-26 00:00:00,65.1,66.1,61.2,61.5,6123,62.96,10831
2024-07-29 00:00:00,60.6,62.5,58.5,58.5,4139,60.14,7107
2024-07-30 00:00:00,58.8,67.3,58.3,63.2,9409,63.06,17472
2024-07-31 00:00:00,59.6,60.5,55.4,59.8,6257,58.01,11985
2024-08-01 00:00:00,59.4,74.6,58.4,70.4,13933,68.67,28863
2024-08-02 00:00:00,80.5,109.4,79.8,104.0,31343,97.9,120064
2024-08-05 00:00:00,196.3,199.7,137.0,191.8,27206,167.49,124306
2024-08-06 00:00:00,143.6,155.8,76.9,113.6,17651,102.21,49069
2024-08-07 00:00:00,81.4,113.2,77.5,102.7,34516,93.54,105612
2024-08-08 00:00:00,92.7,98.8,85.0,86.8,17067,90.09,52606
2024-08-09 00:00:00,85.9,89.2,64.3,64.5,18746,77.57,47661
2024-08-12 00:00:00,63.8,67.2,55.3,62.6,26486,60.94,50885
2024-08-13 00:00:00,60.2,60.6,53.4,53.8,11804,57.73,20627
2024-08-14 00:00:00,51.5,52.4,46.3,46.3,16266,49.11,24295
2024-08-15 00:00:00,44.0,45.3,41.5,42.8,11908,43.27,17467
2024-08-16 00:00:00,44.4,45.0,42.1,42.6,10199,43.52,14654
2024-08-19 00:00:00,42.6,42.9,40.2,40.8,8363,41.12,12690
2024-08-20 00:00:00,41.8,44.7,41.0,44.3,12736,43.06,20641
2024-08-21 00:00:00,44.0,47.7,43.8,45.5,14774,45.82,22477
2024-08-22 00:00:00,44.5,49.9,44.3,49.1,16189,47.27,29814
2024-08-23 00:00:00,46.7,47.8,43.1,43.5,16252,45.3,20530
2024-08-26 00:00:00,43.0,45.3,42.7,43.5,9605,43.89,13057
2024-08-27 00:00:00,44.5,45.2,41.5,41.5,7837,43.0,12010
2024-08-28 00:00:00,41.7,47.5,41.3,46.1,14667,44.51,23542
2024-08-29 00:00:00,43.1,44.3,41.6,42.9,13000,42.74,20857
2024-08-30 00:00:00,41.7,43.2,40.3,40.7,12653,41.34,17807
2024-09-03 00:00:00,42.4,59.7,42.1,56.3,32183,50.43,55215
2024-09-04 00:00:00,59.9,62.5,51.7,59.5,32630,56.87,72475
2024-09-05 00:00:00,57.9,59.2,52.2,53.8,20298,55.76,36018
2024-09-06 00:00:00,52.1,67.0,50.7,61.5,43414,61.35,76416
2024-09-09 00:00:00,59.2,60.5,52.5,53.7,22676,55.92,36250
2024-09-10 00:00:00,53.0,58.9,51.7,51.9,21989,54.75,32440
2024-09-11 00:00:00,50.2,60.2,47.2,47.3,42766,54.34,67594
2024-09-12 00:00:00,48.4,50.9,46.5,46.5,22477,48.14,34451
2024-09-13 00:00:00,47.1,47.4,44.4,46.3,15740,45.69,20612
2024-09-16 00:00:00,46.8,49.2,46.6,47.3,19442,47.75,22865
2024-09-17 00:00:00,46.9,50.5,46.0,49.0,22680,48.43,27256
2024-09-18 00:00:00,48.6,50.3,43.7,47.1,29445,47.43,41731
2024-09-19 00:00:00,44.6,46.0,43.4,44.0,16259,44.77,17980
2024-09-20 00:00:00,44.7,45.0,42.6,43.6,15813,43.93,18525
2024-09-23 00:00:00,42.9,44.7,42.0,44.0,12560,43.59,14260
2024-09-24 00:00:00,43.4,46.9,42.9,44.3,17385,44.51,18015
2024-09-25 00:00:00,44.4,45.5,43.5,45.1,13128,44.47,14040
2024-09-26 00:00:00,44.6,46.0,44.3,45.2,10374,45.16,13418
2024-09-27 00:00:00,45.2,49.4,45.0,49.3,16179,47.06,17480
2024-09-30 00:00:00,50.0,52.1,47.0,47.2,23002,49.46,27801
2024-10-01 00:00:00,47.3,55.7,47.2,54.6,56271,52.96,79844
2024-10-02 00:00:00,54.7,57.8,52.3,52.8,22357,54.31,30019
2024-10-03 00:00:00,55.4,58.1,53.3,57.4,23134,55.96,35326
2024-10-04 00:00:00,54.8,56.9,52.7,53.4,22381,54.9,28459
2024-10-07 00:00:00,55.0,63.5,54.9,62.6,22123,58.69,30786
2024-10-08 00:00:00,58.4,59.7,56.1,57.5,13556,57.69,18991
2024-10-09 00:00:00,57.2,57.5,54.2,54.7,9760,55.17,12891
2024-10-10 00:00:00,55.5,57.6,55.0,56.1,14097,56.24,19345
2024-10-11 00:00:00,56.4,56.5,54.0,54.9,9916,55.06,11595
2024-10-14 00:00:00,53.4,53.7,49.8,50.8,11734,51.25,11843
2024-10-15 00:00:00,49.2,54.6,48.4,54.4,21769,52.23,25999
2024-10-16 00:00:00,53.7,55.7,52.4,52.9,10743,54.03,12010
2024-10-17 00:00:00,52.2,53.5,51.2,51.5,10310,52.13,12058
2024-10-18 00:00:00,50.8,51.3,48.8,49.0,11518,49.65,11919
2024-10-21 00:00:00,49.8,51.7,48.7,49.2,13301,50.05,12193
2024-10-22 00:00:00,50.6,51.5,48.2,48.9,12504,50.22,12150
2024-10-23 00:00:00,50.1,56.2,49.6,53.6,25565,52.59,25945
2024-10-24 00:00:00,51.3,56.6,51.2,51.9,18189,53.61,19620
2024-10-25 00:00:00,50.8,56.7,49.7,56.6,28428,53.52,25560
2024-10-28 00:00:00,52.0,52.7,50.0,51.1,17548,50.95,19148
2024-10-29 00:00:00,51.5,52.3,49.5,50.9,12667,50.31,12647
2024-10-30 00:00:00,51.7,53.4,50.2,53.2,17392,51.94,15875
2024-10-31 00:00:00,55.9,61.5,55.7,61.5,36054,58.82,39975
2024-11-01 00:00:00,58.1,59.7,55.3,59.2,21907,57.27,22760
2024-11-04 00:00:00,58.3,59.1,53.8,54.2,20513,55.74,20520
2024-11-05 00:00:00,52.6,52.8,48.4,48.6,26301,49.69,27574
2024-11-06 00:00:00,38.9,42.9,38.2,39.0,34067,39.72,32007
2024-11-07 00:00:00,37.7,37.8,36.1,36.5,18818,36.7,16302
2024-11-08 00:00:00,36.5,37.4,35.7,36.2,16870,36.56,14880
2024-11-11 00:00:00,35.3,36.0,34.7,35.9,18065,35.21,14692
2024-11-12 00:00:00,36.2,37.5,35.3,35.5,21341,36.24,18638
2024-11-13 00:00:00,35.1,36.0,33.7,34.1,20565,34.53,16969
2024-11-14 00:00:00,33.7,34.5,32.8,34.0,23467,33.68,19891
2024-11-15 00:00:00,35.0,41.8,34.6,38.7,58712,38.7,46728
2024-11-18 00:00:00,38.1,38.8,34.7,35.8,26466,35.86,19934
2024-11-19 00:00:00,40.0,40.2,36.3,38.3,24337,38.17,20094
2024-11-20 00:00:00,38.2,43.8,37.9,40.9,46827,41.85,40304
2024-11-21 00:00:00,38.4,43.0,38.1,40.2,30096,40.92,30186
2024-11-22 00:00:00,39.8,40.1,37.0,37.1,23416,38.49,19857
2024-11-25 00:00:00,34.8,37.8,34.3,34.4,20585,35.41,19355
2024-11-26 00:00:00,34.4,34.4,33.0,33.7,20774,33.49,17817
2024-11-27 00:00:00,33.8,35.4,33.1,33.3,19750,34.15,15451
2024-11-29 00:00:00,32.8,32.8,31.7,32.3,11527,32.12,9204
2024-12-02 00:00:00,32.1,32.1,31.3,31.6,14347,31.75,10854
2024-12-03 00:00:00,32.1,32.9,30.6,31.1,20345,31.7,14482
2024-12-04 00:00:00,30.5,31.5,29.9,31.5,16347,30.66,12450
2024-12-05 00:00:00,31.8,32.0,31.2,31.7,12513,31.62,9306
2024-12-06 00:00:00,30.5,31.2,30.2,30.6,16079,30.7,11243
2024-12-09 00:00:00,30.6,32.5,30.3,31.8,24290,31.44,15854
2024-12-10 00:00:00,31.4,32.1,30.9,31.8,16008,31.44,11196
2024-12-11 00:00:00,30.3,31.3,29.9,31.0,12005,30.57,8430
2024-12-12 00:00:00,31.4,32.2,30.6,31.6,16719,31.45,12504
2024-12-13 00:00:00,30.8,32.3,30.5,31.4,20124,31.48,11692
2024-12-16 00:00:00,31.4,32.9,31.3,32.7,12332,31.95,8489
2024-12-17 00:00:00,33.6,34.5,32.6,34.2,23920,33.76,16939
2024-12-18 00:00:00,33.7,46.0,32.8,41.3,60030,38.91,53116
2024-12-19 00:00:00,41.1,54.6,40.5,54.0,82729,47.37,99468
2024-12-20 00:00:00,53.1,53.6,37.7,38.3,60343,43.59,68039
2024-12-23 00:00:00,36.9,39.6,33.5,33.5,22558,36.4,21045
2024-12-24 00:00:00,32.2,32.2,30.1,30.2,18105,31.08,14070
2024-12-26 00:00:00,30.7,31.8,29.4,29.7,32247,30.37,24173
2024-12-27 00:00:00,30.9,35.3,30.4,31.9,87962,33.12,54256
2024-12-30 00:00:00,35.7,37.9,31.6,33.5,62391,34.56,42980
2024-12-31 00:00:00,32.3,34.7,31.9,34.0,42449,33.28,27104
2025-01-02 00:00:00,32.8,38.6,32.6,35.3,53142,35.31,38568
2025-01-03 00:00:00,34.0,34.6,31.7,31.8,34087,32.92,24228
2025-01-06 00:00:00,31.0,32.5,30.3,31.2,31313,31.12,21020
2025-01-07 00:00:00,30.5,36.0,30.4,34.7,60155,33.14,37679
2025-01-08 00:00:00,35.5,37.9,33.8,34.4,50957,35.89,34841
2025-01-10 00:00:00,36.9,40.5,36.2,39.0,54637,38.57,43790
2025-01-13 00:00:00,41.7,42.3,36.9,37.6,35330,39.72,25646
2025-01-14 00:00:00,36.2,38.5,34.3,36.0,34117,36.1,22354
2025-01-15 00:00:00,32.0,32.46,30.09,30.1,43907,31.252,13815
2025-01-16 00:00:00,29.91,30.59,29.38,30.1,34053,29.842,11653
2025-01-17 00:00:00,29.02,30.4,28.95,30.4,21828,29.716,7079
2025-01-21 00:00:00,29.15,29.64,27.7,27.9,39857,28.356,12074
2025-01-22 00:00:00,27.8,28.88,27.72,28.72,23557,28.269,7507
2025-01-23 00:00:00,28.55,28.55,27.32,27.66,41328,27.716,13550
2025-01-24 00:00:00,27.2,27.86,27.0,27.42,26671,27.4,7653
2025-01-27 00:00:00,33.85,33.99,30.26,30.94,87011,31.866,31405
2025-01-28 00:00:00,30.19,31.85,28.38,28.8,37593,29.54,12937
2025-01-29 00:00:00,28.53,30.84,28.33,28.48,47019,29.328,14902
2025-01-30 00:00:00,27.87,29.06,27.63,28.42,36920,28.18,13470
2025-01-31 00:00:00,27.72,30.94,27.33,30.25,87061,28.852,31050
2025-02-03 00:00:00,34.41,35.78,29.31,31.54,90836,32.303,38078
2025-02-04 00:00:00,30.65,31.47,29.18,29.69,34790,29.885,15894
2025-02-05 00:00:00,29.74,30.5,28.24,28.38,39328,29.033,14808
2025-02-06 00:00:00,28.0,29.04,27.73,28.0,39331,28.187,15967
2025-02-07 00:00:00,27.51,29.96,27.44,29.81,76227,28.885,27324
2025-02-10 00:00:00,28.59,29.28,28.25,28.32,43049,28.661,20067
2025-02-11 00:00:00,28.75,28.88,27.9,28.5,40791,28.313,20764
2025-02-12 00:00:00,29.74,30.09,28.0,28.29,87524,28.735,37729
2025-02-13 00:00:00,28.07,28.77,27.27,27.42,92314,27.908,38260
2025-02-14 00:00:00,27.27,27.71,26.87,27.05,71501,27.296,29981
2025-02-18 00:00:00,26.71,27.27,26.36,26.8,64843,26.793,27647
2025-02-19 00:00:00,27.25,27.25,26.15,26.21,49293,26.697,19779
2025-02-20 00:00:00,26.22,27.4,25.85,26.47,63361,26.721,27239
2025-02-21 00:00:00,26.48,30.52,26.47,30.11,153970,28.859,63808
2025-02-24 00:00:00,29.09,31.83,28.23,30.37,80437,29.783,30009
2025-02-25 00:00:00,30.84,33.76,29.4,30.75,111163,31.672,54520
2025-02-26 00:00:00,30.14,31.37,28.06,29.52,80903,29.542,33757
