date,open,high,low,close,volume,average,barCount
2023-12-20,10.87,10.87,10.87,10.87,1,10.87,1
2023-12-21,10.86,10.86,10.86,10.86,12,10.86,5
2023-12-22,10.86,10.86,10.86,10.86,8,10.86,3
2023-12-26,10.87,10.87,10.86,10.86,350,10.861,30
2023-12-27,10.86,10.86,10.86,10.86,0,10.86,0
2023-12-28,10.86,10.86,10.86,10.86,0,10.86,0
2023-12-29,10.85,10.85,10.85,10.85,4,10.85,1
2024-01-02,10.85,10.85,10.85,10.85,0,10.85,0
2024-01-03,10.86,10.86,10.86,10.86,11,10.86,2
2024-01-04,10.86,10.86,10.86,10.86,0,10.86,0
2024-01-05,10.86,10.86,10.86,10.86,1,10.86,1
2024-01-08,10.85,10.89,10.85,10.89,6,10.883,6
2024-01-09,10.89,10.89,10.89,10.89,0,10.89,0
2024-01-10,10.91,10.91,10.91,10.91,6,10.91,1
2024-01-11,10.91,10.92,10.91,10.92,44,10.919,10
2024-01-12,10.92,10.92,10.92,10.92,0,10.92,0
2024-01-16,10.94,10.95,10.93,10.95,47,10.944,20
2024-01-17,10.94,10.94,10.94,10.94,300,10.94,1
2024-01-18,10.94,10.94,10.94,10.94,0,10.94,0
2024-01-19,10.98,10.98,10.98,10.98,7,10.98,3
2024-01-22,10.98,10.98,10.98,10.98,0,10.98,0
2024-01-23,10.98,10.98,10.97,10.97,2,10.974,2
2024-01-24,10.96,10.96,10.95,10.96,30,10.951,10
2024-01-25,10.94,10.96,10.94,10.96,13,10.958,9
2024-01-26,10.96,10.96,10.96,10.96,0,10.96,0
2024-01-29,10.95,10.95,10.95,10.95,5,10.95,5
2024-01-30,10.95,10.95,10.95,10.95,0,10.95,0
2024-01-31,10.95,10.95,10.95,10.95,0,10.95,0
2024-02-01,10.95,10.95,10.95,10.95,0,10.95,0
2024-02-02,10.95,10.95,10.95,10.95,0,10.95,0
2024-02-05,10.95,10.95,10.95,10.95,0,10.95,0
2024-02-06,10.97,10.97,10.97,10.97,38,10.97,10
2024-02-07,10.97,10.97,10.97,10.97,0,10.97,0
2024-02-08,10.97,10.97,10.97,10.97,0,10.97,0
2024-02-09,10.98,10.98,10.98,10.98,1,10.98,1
2024-02-12,10.91,10.98,10.9,10.98,8,10.934,4
2024-02-13,10.98,10.98,10.97,10.98,1207,10.98,126
2024-02-14,10.98,10.98,10.97,10.97,1520,10.975,19
2024-02-15,10.98,10.98,10.98,10.98,1,10.98,1
2024-02-16,10.98,10.98,10.98,10.98,1,10.98,1
2024-02-20,10.98,10.98,10.98,10.98,0,10.98,0
2024-02-21,10.98,10.98,10.98,10.98,22,10.98,1
2024-02-22,10.98,10.98,10.98,10.98,2,10.98,1
2024-02-23,10.98,10.98,10.98,10.98,0,10.98,0
2024-02-26,10.98,10.99,10.98,10.98,3,10.981,2
2024-02-27,10.99,10.99,10.99,10.99,0,10.99,0
2024-02-28,10.98,10.98,10.98,10.98,1,10.98,1
