date,open,high,low,close,volume,average,barCount
2024-01-02,19.65,19.72,19.1,19.44,233,19.404,132
2024-01-03,19.25,19.43,19.04,19.39,198,19.207,89
2024-01-04,19.25,19.53,18.5,19.0,363,19.06,182
2024-01-05,19.29,19.29,18.8,19.1,108,19.08,58
2024-01-08,19.01,19.19,18.6,18.89,138,18.914,83
2024-01-09,19.07,19.1,18.5,18.97,47,18.934,40
2024-01-10,18.85,19.74,18.83,19.53,71,19.232,32
2024-01-11,19.44,19.46,19.05,19.05,31,19.285,15
2024-01-12,19.05,19.66,18.83,19.21,162,19.096,72
2024-01-16,18.91,19.33,18.62,18.71,63,18.867,43
2024-01-17,18.71,19.09,18.66,19.09,124,18.91,74
2024-01-18,19.0,19.3,19.0,19.03,89,19.058,63
2024-01-19,18.67,19.37,18.56,19.33,70,19.059,49
2024-01-22,19.4,19.45,18.92,19.28,108,19.215,45
2024-01-23,19.28,19.45,18.94,19.38,173,19.23,116
2024-01-24,19.18,19.38,18.82,19.35,286,19.124,51
2024-01-25,19.13,19.44,18.73,19.16,128,19.233,39
2024-01-26,19.04,19.38,19.04,19.35,65,19.284,20
2024-01-29,19.25,19.3,19.07,19.07,177,19.226,43
2024-01-30,18.64,19.1,18.64,19.08,387,18.969,173
2024-01-31,19.0,19.5,19.0,19.45,132,19.232,91
2024-02-01,19.4,20.3,19.4,20.04,383,19.781,164
2024-02-02,19.97,20.2,19.75,20.18,772,20.062,194
2024-02-05,20.1,20.29,19.95,20.27,354,20.134,112
2024-02-06,20.15,21.28,20.1,21.13,1271,20.96,337
2024-02-07,20.52,22.41,20.4,21.96,1010,21.654,175
2024-02-08,21.7,22.7,21.57,22.63,317,22.419,108
2024-02-09,22.5,22.79,21.96,22.26,1635,22.2,429
2024-02-12,22.26,22.7,22.12,22.7,540,22.5,153
2024-02-13,22.41,22.7,22.4,22.65,158,22.548,78
2024-02-14,22.55,23.59,22.47,23.34,373,22.902,105
2024-02-15,23.41,23.98,23.01,23.88,302,23.528,86
2024-02-16,23.9,24.3,23.37,23.9,432,23.943,154
2024-02-20,23.85,23.85,21.96,23.41,345,22.846,105
2024-02-21,23.28,23.49,22.8,23.04,548,23.113,196
2024-02-22,23.52,23.89,23.17,23.85,548,23.568,223
2024-02-23,23.84,24.2,23.45,23.76,477,23.954,306
2024-02-26,23.68,26.68,23.05,25.99,2069,25.096,928
