date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,45.75,46.12,45.61,46.1,297,45.907,178
2025-02-19 10:00:00,46.19,46.19,45.6,45.84,301,45.83,202
2025-02-19 11:00:00,45.97,45.97,45.44,45.44,89,45.583,52
2025-02-19 12:00:00,45.52,45.98,45.5,45.75,90,45.676,58
2025-02-19 13:00:00,45.83,46.0,45.71,45.88,35,45.914,28
2025-02-19 14:00:00,45.92,46.04,45.88,45.93,18,45.945,15
2025-02-19 15:00:00,45.93,45.99,45.6,45.7,124,45.822,91
2025-02-19 16:00:00,45.7,45.72,45.7,45.72,21,45.702,3
2025-02-19 17:00:00,45.72,45.72,45.72,45.72,0,45.72,0
2025-02-19 18:00:00,45.72,45.72,45.72,45.72,0,45.72,0
2025-02-19 19:00:00,45.72,45.72,45.72,45.72,0,45.72,0
2025-02-20 06:00:00,46.77,46.77,45.0,45.13,8,45.395,5
2025-02-20 07:00:00,45.0,45.0,44.64,44.88,18,44.956,4
2025-02-20 08:00:00,44.76,44.76,44.76,44.76,2,44.76,1
2025-02-20 09:00:00,45.3,45.47,44.8,44.85,246,45.114,92
2025-02-20 10:00:00,44.85,45.07,44.31,44.79,101,44.723,60
2025-02-20 11:00:00,44.67,45.1,44.67,44.95,106,44.962,49
2025-02-20 12:00:00,45.05,45.2,45.0,45.16,31,45.115,18
2025-02-20 13:00:00,45.35,45.66,45.07,45.24,45,45.239,38
2025-02-20 14:00:00,45.28,45.72,45.26,45.48,34,45.539,19
2025-02-20 15:00:00,45.58,46.0,45.49,46.0,77,45.881,70
2025-02-20 16:00:00,45.99,47.01,45.99,47.01,23,46.121,2
2025-02-20 17:00:00,45.9,45.9,45.9,45.9,1,45.9,1
2025-02-20 18:00:00,45.9,45.9,45.9,45.9,0,45.9,0
2025-02-20 19:00:00,45.9,45.9,45.9,45.9,0,45.9,0
2025-02-21 09:00:00,46.32,46.32,45.6,45.65,200,45.981,67
2025-02-21 10:00:00,45.7,45.95,45.61,45.84,91,45.805,55
2025-02-21 11:00:00,45.91,46.04,45.72,45.74,110,45.938,84
2025-02-21 12:00:00,45.76,45.88,45.53,45.62,72,45.753,39
2025-02-21 13:00:00,45.55,45.67,45.55,45.66,5,45.625,5
2025-02-21 14:00:00,45.55,45.67,45.32,45.33,88,45.466,37
2025-02-21 15:00:00,45.33,45.5,45.3,45.37,173,45.462,115
2025-02-21 16:00:00,45.47,45.47,45.47,45.47,23,45.47,1
2025-02-21 17:00:00,45.47,45.47,45.47,45.47,0,45.47,0
2025-02-21 18:00:00,45.47,45.47,45.47,45.47,0,45.47,0
2025-02-21 19:00:00,45.47,45.47,45.47,45.47,0,45.47,0
2025-02-24 09:00:00,46.0,46.38,45.5,46.27,394,46.066,212
2025-02-24 10:00:00,46.23,46.23,45.8,45.8,333,46.022,195
2025-02-24 11:00:00,45.74,46.1,45.73,46.05,54,46.004,43
2025-02-24 12:00:00,46.1,46.1,45.9,46.01,62,46.009,28
2025-02-24 13:00:00,46.01,46.1,45.99,46.08,44,46.056,31
2025-02-24 14:00:00,46.05,46.1,45.95,45.95,60,46.038,38
2025-02-24 15:00:00,45.99,46.11,45.69,45.96,209,45.962,130
2025-02-24 16:00:00,45.82,45.82,45.82,45.82,15,45.82,1
2025-02-24 17:00:00,45.82,45.82,45.82,45.82,0,45.82,0
2025-02-24 18:00:00,45.82,45.82,45.82,45.82,0,45.82,0
2025-02-24 19:00:00,45.82,45.82,45.82,45.82,0,45.82,0
2025-02-25 09:00:00,46.0,46.22,45.89,45.94,145,45.983,56
2025-02-25 10:00:00,45.82,46.0,45.69,45.94,95,45.867,59
2025-02-25 11:00:00,45.95,46.17,45.86,46.14,193,46.007,110
2025-02-25 12:00:00,46.14,46.15,46.0,46.01,60,46.086,34
2025-02-25 13:00:00,46.0,46.01,45.77,45.94,1101,45.962,263
2025-02-25 14:00:00,45.95,46.1,45.89,46.1,335,45.96,175
2025-02-25 15:00:00,46.1,46.18,45.92,45.93,223,46.045,182
2025-02-25 16:00:00,45.97,45.97,45.97,45.97,22,45.97,1
2025-02-25 17:00:00,45.97,45.97,45.97,45.97,0,45.97,0
2025-02-25 18:00:00,45.97,45.97,45.97,45.97,0,45.97,0
2025-02-25 19:00:00,45.97,45.97,45.97,45.97,0,45.97,0
2025-02-26 09:00:00,46.2,46.82,45.74,46.17,101,46.071,53
2025-02-26 10:00:00,45.86,45.91,45.12,45.47,90,45.319,66
2025-02-26 11:00:00,45.48,45.98,45.48,45.7,24,45.76,15
2025-02-26 12:00:00,45.96,46.0,45.55,45.64,17,45.68,13
2025-02-26 13:00:00,45.66,45.66,45.27,45.44,114,45.463,65
2025-02-26 14:00:00,45.41,45.54,45.17,45.22,56,45.279,30
2025-02-26 15:00:00,45.17,45.35,44.82,45.02,138,45.101,74
2025-02-26 16:00:00,45.09,45.09,45.09,45.09,12,45.09,1
2025-02-26 17:00:00,45.09,45.09,45.09,45.09,0,45.09,0
2025-02-26 18:00:00,45.09,45.09,45.09,45.09,0,45.09,0
2025-02-26 19:00:00,45.09,45.09,45.09,45.09,0,45.09,0
2025-02-27 09:00:00,45.5,46.2,45.11,45.67,139,45.539,59
2025-02-27 10:00:00,45.67,45.67,45.14,45.41,140,45.425,86
2025-02-27 11:00:00,45.48,45.6,45.3,45.4,90,45.458,75
2025-02-27 12:00:00,45.4,45.6,45.36,45.5,23,45.507,19
2025-02-27 13:00:00,45.41,45.59,45.25,45.34,61,45.434,24
2025-02-27 14:00:00,45.25,45.26,44.9,45.21,70,45.048,25
2025-02-27 15:00:00,44.91,45.05,44.9,44.94,121,44.953,63
2025-02-27 16:00:00,44.98,44.98,44.98,44.98,11,44.98,1
2025-02-27 17:00:00,44.98,44.98,44.98,44.98,0,44.98,0
2025-02-27 18:00:00,44.98,44.98,44.98,44.98,0,44.98,0
2025-02-27 19:00:00,44.98,44.98,44.98,44.98,0,44.98,0
2025-02-28 09:00:00,45.06,45.59,44.58,45.45,169,44.972,73
2025-02-28 10:00:00,45.32,45.46,45.1,45.2,59,45.282,41
2025-02-28 11:00:00,45.43,45.43,45.1,45.17,22,45.251,15
2025-02-28 12:00:00,45.17,45.17,44.84,44.88,22,45.003,13
2025-02-28 13:00:00,44.97,45.08,44.8,44.83,32,44.888,17
2025-02-28 14:00:00,44.76,44.76,44.41,44.48,111,44.596,53
2025-02-28 15:00:00,44.41,44.94,43.84,44.65,525,44.405,351
2025-02-28 16:00:00,44.76,44.85,44.76,44.85,28,44.763,3
2025-02-28 17:00:00,44.85,44.85,44.85,44.85,0,44.85,0
2025-02-28 18:00:00,44.85,44.85,44.85,44.85,0,44.85,0
2025-02-28 19:00:00,44.85,44.85,44.85,44.85,0,44.85,0
2025-03-03 07:00:00,44.01,44.01,43.95,43.95,29,43.956,4
2025-03-03 08:00:00,43.95,43.95,43.95,43.95,0,43.95,0
2025-03-03 09:00:00,44.76,45.51,44.76,45.2,134,44.999,53
2025-03-03 10:00:00,45.02,45.49,45.0,45.49,51,45.177,40
2025-03-03 11:00:00,45.49,45.76,45.45,45.75,17,45.617,12
2025-03-03 12:00:00,45.78,45.85,45.19,45.19,40,45.541,25
2025-03-03 13:00:00,45.51,45.65,45.2,45.37,102,45.375,72
2025-03-03 14:00:00,45.44,45.73,45.4,45.41,77,45.489,51
2025-03-03 15:00:00,45.45,45.55,44.93,44.98,184,45.233,141
2025-03-03 16:00:00,44.96,44.96,44.5,44.5,29,44.772,3
2025-03-03 17:00:00,44.5,44.5,44.5,44.5,0,44.5,0
2025-03-03 18:00:00,44.5,44.5,44.5,44.5,0,44.5,0
2025-03-03 19:00:00,44.5,44.5,44.5,44.5,0,44.5,0
2025-03-04 08:00:00,45.0,45.0,45.0,45.0,2,45.0,1
2025-03-04 09:00:00,44.96,44.96,43.62,43.63,304,44.158,147
2025-03-04 10:00:00,43.51,44.0,43.2,43.7,159,43.499,74
2025-03-04 11:00:00,44.0,44.02,42.94,43.18,235,43.416,127
