date,open,high,low,close,volume,average,barCount
2024-12-10 00:00:00,4.0,4.32,3.77,4.12,21462,4.11447,7470
2024-12-11 00:00:00,4.18,4.18,3.9728,4.04,13178,4.04962,5074
2024-12-12 00:00:00,4.05,4.17,3.96,4.11,8941,4.09855,3722
2024-12-13 00:00:00,4.06,4.11,3.895,3.99,10958,3.96755,4421
2024-12-16 00:00:00,3.92,4.005,3.81,3.86,12072,3.88428,4407
2024-12-17 00:00:00,3.87,4.1125,3.845,3.94,19317,3.97684,8559
2024-12-18 00:00:00,3.93,3.93,3.52,3.58,22477,3.66884,7595
2024-12-19 00:00:00,3.74,3.82,3.535,3.62,17604,3.61275,6475
2024-12-20 00:00:00,3.74,3.74,3.54,3.56,11607,3.59565,4577
2024-12-23 00:00:00,3.57,3.67,3.52,3.62,9098,3.60483,3326
2024-12-24 00:00:00,3.66,3.74,3.54,3.72,5254,3.67388,1767
2024-12-26 00:00:00,4.02,4.43,4.02,4.12,52726,4.20398,16983
2024-12-27 00:00:00,4.37,4.37,4.03,4.27,28395,4.25406,8512
2024-12-30 00:00:00,4.5,5.08,4.35,5.02,82968,4.86294,20867
2024-12-31 00:00:00,5.06,5.08,4.71,4.74,27273,4.82847,7688
2025-01-02 00:00:00,4.76,5.36,4.61,5.06,34991,5.06205,10806
2025-01-03 00:00:00,5.13,5.155,4.85,4.95,32093,4.96672,10286
2025-01-06 00:00:00,5.1,5.34,5.075,5.18,39080,5.22531,10096
2025-01-07 00:00:00,5.3,5.7,5.17,5.57,69116,5.55893,24334
2025-01-08 00:00:00,5.5,6.0,5.457,5.76,44707,5.73129,15874
2025-01-10 00:00:00,5.56,5.665,5.4,5.5,37014,5.51779,12297
2025-01-13 00:00:00,5.25,5.465,5.06,5.08,43525,5.24868,14982
2025-01-14 00:00:00,5.3,5.545,5.2748,5.4,26735,5.44554,10013
2025-01-15 00:00:00,5.7,5.7,5.31,5.54,22444,5.50089,7819
2025-01-16 00:00:00,5.52,5.7,5.37,5.64,20404,5.53018,6406
