date,open,high,low,close,volume,average,barCount
2024-01-02,6.82,6.95,6.61,6.69,1990,6.694,1291
2024-01-03,6.65,6.79,6.54,6.6,1882,6.63,1262
2024-01-04,6.61,6.86,6.56,6.81,2062,6.746,1191
2024-01-05,7.27,8.05,7.05,7.54,11444,7.601,4557
2024-01-08,7.71,7.84,7.6,7.61,5397,7.71,2569
2024-01-09,7.68,7.81,7.58,7.62,3589,7.677,1823
2024-01-10,7.62,7.69,7.47,7.49,2588,7.531,1426
2024-01-11,7.52,7.67,7.43,7.67,1526,7.559,959
2024-01-12,7.63,7.86,7.62,7.76,2333,7.763,1259
2024-01-16,7.7,7.73,7.58,7.72,1700,7.68,1086
2024-01-17,7.64,7.95,7.64,7.85,5056,7.882,1725
2024-01-18,7.86,7.98,7.64,7.71,4078,7.766,1809
2024-01-19,7.71,7.73,7.27,7.71,5324,7.588,2643
2024-01-22,7.89,8.24,7.88,8.01,5618,8.035,2464
2024-01-23,8.1,8.15,7.98,8.05,2340,8.022,1140
2024-01-24,8.09,8.26,7.97,8.0,1823,8.083,1078
2024-01-25,8.0,8.08,7.92,8.07,1337,8.007,710
2024-01-26,8.09,8.25,7.98,8.16,2570,8.133,1298
2024-01-29,8.18,8.28,8.11,8.19,2893,8.203,1500
2024-01-30,8.2,8.27,8.02,8.22,3836,8.184,1636
2024-01-31,8.16,8.38,8.03,8.15,4243,8.219,1430
2024-02-01,8.15,8.21,8.01,8.2,2526,8.134,1365
2024-02-02,8.21,8.22,8.04,8.04,3212,8.1,1328
2024-02-05,8.02,8.02,7.74,7.82,4660,7.844,2459
2024-02-06,7.87,7.9,7.69,7.77,1180,7.756,675
2024-02-07,7.74,7.83,7.7,7.73,866,7.77,513
2024-02-08,7.7,7.77,7.63,7.75,1420,7.707,615
2024-02-09,7.74,7.8,7.65,7.65,918,7.72,556
2024-02-12,7.65,7.67,7.45,7.58,1190,7.559,601
2024-02-13,7.47,7.57,7.38,7.53,1879,7.501,1051
2024-02-14,7.53,7.66,7.38,7.38,1614,7.434,795
2024-02-15,7.42,7.61,7.23,7.33,3563,7.373,1790
2024-02-16,7.31,7.31,7.02,7.15,2530,7.157,1343
2024-02-20,7.1,7.21,7.01,7.19,2699,7.117,1439
2024-02-21,7.11,7.17,7.01,7.17,2310,7.105,1315
2024-02-22,7.24,7.41,7.23,7.38,1379,7.351,779
2024-02-23,7.4,7.51,7.3,7.43,1933,7.406,1070
2024-02-26,7.41,7.44,7.3,7.4,3589,7.365,1886
2024-02-27,7.41,7.74,7.41,7.73,3160,7.618,1670
2024-02-28,8.47,8.7,7.81,8.41,13615,8.421,6905
2024-02-29,8.4,8.41,7.71,8.34,9939,8.103,4790
2024-03-01,8.35,8.78,8.23,8.31,3808,8.367,1984
2024-03-04,8.31,8.52,8.06,8.52,3443,8.356,1391
2024-03-05,8.4,8.44,8.07,8.31,3826,8.272,1830
2024-03-06,8.36,9.01,8.36,8.86,14281,8.836,5828
2024-03-07,9.0,9.43,8.72,9.41,21170,9.206,6196
2024-03-08,9.41,9.59,9.09,9.21,10612,9.333,4462
2024-03-11,9.19,9.29,8.9,8.91,4821,9.058,2252
2024-03-12,8.87,9.05,8.8,9.0,3505,8.954,1859
2024-03-13,8.92,9.01,8.91,8.99,2515,8.975,1433
2024-03-14,8.99,9.0,8.83,8.84,1514,8.892,783
2024-03-15,8.8,8.86,8.6,8.68,3124,8.707,1502
2024-03-18,8.68,8.83,8.63,8.81,2182,8.755,1038
2024-03-19,8.76,8.78,8.47,8.52,2279,8.564,1156
2024-03-20,8.54,8.92,8.51,8.87,3436,8.816,1682
2024-03-21,8.93,8.97,8.59,8.61,1748,8.755,871
2024-03-22,8.61,8.65,8.49,8.58,1864,8.58,952
2024-03-25,8.6,8.62,8.42,8.57,2462,8.547,1283
2024-03-26,8.62,8.66,8.32,8.36,2034,8.461,1146
2024-03-27,8.45,8.47,8.19,8.22,2384,8.272,1253
2024-03-28,8.21,8.26,8.08,8.17,2480,8.164,975
2024-04-01,8.18,8.19,7.95,8.12,2333,8.044,1196
2024-04-02,8.06,8.18,8.06,8.09,1943,8.126,935
2024-04-03,8.02,8.09,7.99,8.04,2097,8.04,802
2024-04-04,8.07,8.15,7.93,8.0,3666,8.076,1734
2024-04-05,7.99,8.08,7.93,8.04,1277,8.006,749
2024-04-08,8.04,8.39,7.93,8.37,2353,8.205,1238
2024-04-09,8.37,8.44,8.2,8.42,2839,8.322,1285
2024-04-10,8.75,9.1,8.47,8.49,10449,8.729,2914
2024-04-11,8.52,8.95,8.11,8.26,3386,8.264,1642
2024-04-12,8.26,8.29,7.78,7.86,3784,7.94,1464
2024-04-15,7.88,7.89,7.42,7.48,2791,7.603,1398
2024-04-16,7.46,7.65,7.37,7.44,4300,7.515,1976
2024-04-17,7.49,7.61,7.36,7.43,2349,7.494,1274
2024-04-18,7.44,7.77,7.33,7.71,4678,7.67,2297
2024-04-19,7.68,7.78,7.55,7.58,2588,7.648,1319
2024-04-22,7.59,7.69,7.32,7.49,3663,7.47,1691
2024-04-23,7.51,7.58,7.22,7.3,2936,7.347,1479
2024-04-24,7.34,7.41,7.13,7.34,2976,7.26,1344
2024-04-25,7.2,7.38,7.14,7.32,2456,7.307,1233
2024-04-26,7.38,7.46,7.33,7.46,2148,7.394,998
2024-04-29,7.46,7.5,7.32,7.41,2125,7.403,1337
2024-04-30,7.39,7.55,7.32,7.42,2571,7.419,1386
2024-05-01,7.4,7.57,7.33,7.41,1248,7.425,757
2024-05-02,7.43,7.59,7.38,7.52,1687,7.5,804
2024-05-03,7.62,7.95,7.52,7.9,3740,7.842,1893
2024-05-06,7.92,8.15,7.8,8.08,4329,8.027,2357
2024-05-07,8.05,8.24,8.01,8.13,4006,8.164,1914
2024-05-08,6.97,7.5,6.64,6.94,19947,6.965,9279
2024-05-09,6.9,6.9,6.6,6.79,9036,6.7,3545
2024-05-10,6.73,6.79,6.6,6.62,5321,6.66,2377
2024-05-13,6.63,6.7,6.5,6.55,5634,6.605,2196
2024-05-14,6.97,7.38,6.89,7.32,7999,7.158,3841
2024-05-15,7.4,7.49,7.24,7.27,3887,7.335,2010
2024-05-16,7.28,7.28,7.01,7.13,4965,7.127,2623
2024-05-17,7.16,7.16,6.97,7.03,3354,7.057,1955
2024-05-20,7.05,7.12,6.86,6.86,2481,6.948,1512
2024-05-21,6.87,7.06,6.85,7.03,5311,6.953,2063
2024-05-22,7.0,7.08,6.98,6.99,2644,7.033,1345
2024-05-23,7.05,7.07,6.9,6.93,1852,6.948,934
2024-05-24,6.93,7.05,6.92,7.01,2725,7.003,1534
2024-05-28,6.96,6.99,6.78,6.81,3198,6.846,1304
2024-05-29,6.72,6.86,6.7,6.72,2931,6.75,1759
2024-05-30,6.73,6.79,6.66,6.77,1754,6.747,1092
2024-05-31,6.9,6.95,6.72,6.86,2997,6.813,1501
2024-06-03,6.82,6.86,6.67,6.71,3240,6.73,1904
2024-06-04,6.66,6.7,6.55,6.6,1866,6.615,872
2024-06-05,6.61,6.77,6.59,6.76,1265,6.705,772
2024-06-06,6.77,6.84,6.74,6.82,841,6.794,510
2024-06-07,6.78,6.8,6.56,6.58,1556,6.626,826
2024-06-10,6.56,6.68,6.53,6.66,1074,6.616,619
2024-06-11,6.63,6.63,6.53,6.62,891,6.591,487
2024-06-12,6.66,6.75,6.6,6.72,4431,6.684,1455
2024-06-13,6.75,6.89,6.68,6.77,3928,6.751,1983
2024-06-14,6.74,6.85,6.7,6.73,2725,6.76,1642
2024-06-17,6.69,6.8,6.62,6.74,1678,6.735,856
2024-06-18,6.72,6.79,6.46,6.51,3192,6.646,1355
2024-06-20,6.5,6.66,6.38,6.65,4025,6.533,1648
2024-06-21,6.66,6.86,6.58,6.75,3927,6.745,1560
2024-06-24,6.73,6.88,6.69,6.87,3304,6.828,1350
2024-06-25,6.89,6.95,6.8,6.93,1787,6.893,807
2024-06-26,6.92,7.01,6.91,6.99,3028,6.971,1669
2024-06-27,7.01,7.22,7.0,7.16,3231,7.141,1756
2024-06-28,7.15,7.33,7.1,7.26,4907,7.201,1588
2024-07-01,7.26,7.34,7.07,7.21,1814,7.159,1044
2024-07-02,7.19,7.25,7.14,7.19,1691,7.198,822
2024-07-03,7.22,7.34,7.17,7.19,2716,7.262,902
2024-07-05,7.26,7.32,7.18,7.29,4975,7.237,2517
2024-07-08,7.29,7.43,7.21,7.38,7371,7.32,2280
2024-07-09,7.39,7.44,7.23,7.3,2551,7.286,1523
2024-07-10,7.34,7.4,6.95,7.11,4048,7.075,2208
2024-07-11,7.19,7.23,7.0,7.11,3360,7.084,1679
2024-07-12,7.12,7.24,7.09,7.22,3996,7.166,1931
