date,open,high,low,close,volume,average,barCount
2025-02-19 07:00:00,6.49,6.49,6.49,6.49,1,6.49,1
2025-02-19 08:00:00,6.48,6.56,6.48,6.55,13,6.512,9
2025-02-19 09:00:00,6.65,6.66,6.35,6.42,2474,6.461,343
2025-02-19 10:00:00,6.42,6.5,6.36,6.49,890,6.428,412
2025-02-19 11:00:00,6.49,6.73,6.48,6.71,1499,6.613,449
2025-02-19 12:00:00,6.71,6.83,6.69,6.82,1663,6.755,765
2025-02-19 13:00:00,6.82,6.88,6.79,6.84,988,6.828,420
2025-02-19 14:00:00,6.83,6.89,6.81,6.83,548,6.84,286
2025-02-19 15:00:00,6.83,6.83,6.6,6.65,2214,6.673,984
2025-02-19 16:00:00,6.65,6.84,6.65,6.78,766,6.651,3
2025-02-19 17:00:00,6.7,6.81,6.7,6.81,6,6.768,3
2025-02-19 18:00:00,6.81,6.81,6.81,6.81,0,6.81,0
2025-02-19 19:00:00,6.83,6.83,6.83,6.83,4,6.83,1
2025-02-20 04:00:00,6.86,6.86,6.86,6.86,1,6.86,1
2025-02-20 05:00:00,6.86,6.86,6.86,6.86,0,6.86,0
2025-02-20 06:00:00,6.94,6.94,6.68,6.68,13,6.732,5
2025-02-20 07:00:00,6.68,6.7,6.68,6.7,11,6.698,2
2025-02-20 08:00:00,6.69,6.96,6.69,6.75,10,6.851,6
2025-02-20 09:00:00,6.89,6.89,6.58,6.6,899,6.689,383
2025-02-20 10:00:00,6.6,6.71,6.59,6.6,465,6.654,265
2025-02-20 11:00:00,6.6,6.7,6.59,6.65,305,6.635,154
2025-02-20 12:00:00,6.65,6.66,6.62,6.66,188,6.643,102
2025-02-20 13:00:00,6.66,6.69,6.65,6.69,300,6.664,109
2025-02-20 14:00:00,6.69,6.75,6.68,6.74,800,6.727,201
2025-02-20 15:00:00,6.74,6.79,6.71,6.74,1193,6.743,506
2025-02-20 16:00:00,6.72,6.85,6.72,6.85,615,6.72,6
2025-02-20 17:00:00,6.85,6.85,6.85,6.85,0,6.85,0
2025-02-20 18:00:00,6.85,6.85,6.85,6.85,0,6.85,0
2025-02-20 19:00:00,6.85,6.85,6.85,6.85,0,6.85,0
2025-02-21 06:00:00,6.8,6.8,6.8,6.8,2,6.8,1
2025-02-21 07:00:00,6.71,6.71,6.69,6.69,3,6.697,2
2025-02-21 08:00:00,6.88,6.89,6.8,6.8,10,6.849,8
2025-02-21 09:00:00,6.95,6.95,6.65,6.67,483,6.733,117
2025-02-21 10:00:00,6.66,6.74,6.64,6.72,725,6.699,316
2025-02-21 11:00:00,6.72,6.72,6.62,6.65,805,6.653,363
2025-02-21 12:00:00,6.65,6.65,6.6,6.61,303,6.615,206
2025-02-21 13:00:00,6.61,6.61,6.51,6.54,723,6.557,362
2025-02-21 14:00:00,6.54,6.56,6.51,6.55,439,6.534,172
2025-02-21 15:00:00,6.55,6.59,6.42,6.43,2635,6.51,1086
2025-02-21 16:00:00,6.42,6.42,6.42,6.42,573,6.42,4
2025-02-21 17:00:00,6.42,6.42,6.42,6.42,0,6.42,0
2025-02-21 18:00:00,6.6,6.6,6.6,6.6,1,6.6,1
2025-02-21 19:00:00,6.6,6.6,6.6,6.6,0,6.6,0
2025-02-24 04:00:00,6.95,6.95,6.95,6.95,2,6.95,1
2025-02-24 05:00:00,6.95,6.95,6.95,6.95,0,6.95,0
2025-02-24 06:00:00,6.95,6.95,6.95,6.95,0,6.95,0
2025-02-24 07:00:00,6.74,6.74,6.74,6.74,1,6.74,1
2025-02-24 08:00:00,6.42,6.75,6.42,6.75,15,6.679,5
2025-02-24 09:00:00,6.75,6.75,6.25,6.33,375,6.343,125
2025-02-24 10:00:00,6.33,6.36,6.18,6.18,815,6.268,407
2025-02-24 11:00:00,6.19,6.21,6.16,6.19,458,6.185,221
2025-02-24 12:00:00,6.19,6.25,6.13,6.23,746,6.19,398
2025-02-24 13:00:00,6.23,6.24,6.15,6.23,574,6.19,343
2025-02-24 14:00:00,6.23,6.27,6.2,6.21,533,6.235,297
