date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,60.45,60.45,59.46,59.86,1876,59.86,1201
2024-05-28 00:00:00,59.9,60.45,59.33,59.59,1657,59.906,1271
2024-05-29 00:00:00,58.91,59.21,58.3,58.64,2190,58.681,1545
2024-05-30 00:00:00,59.2,61.03,59.2,60.88,2341,60.596,1655
2024-05-31 00:00:00,61.27,62.4,61.07,62.05,1871,61.865,1251
2024-06-03 00:00:00,62.69,62.89,61.22,62.24,1538,61.86,1033
2024-06-04 00:00:00,60.34,61.43,59.61,59.95,2980,60.324,1655
2024-06-05 00:00:00,58.6,60.35,58.05,60.06,2932,59.525,1940
2024-06-06 00:00:00,60.06,60.36,58.74,59.86,1667,59.625,1199
2024-06-07 00:00:00,59.47,60.0,59.23,59.65,823,59.624,530
2024-06-10 00:00:00,59.01,59.06,58.15,58.78,1811,58.706,1214
2024-06-11 00:00:00,58.49,58.66,57.82,58.0,2176,58.077,1634
2024-06-12 00:00:00,59.32,60.59,58.18,58.35,6223,59.436,2405
2024-06-13 00:00:00,58.42,58.82,56.78,56.98,4385,57.124,2845
2024-06-14 00:00:00,56.19,56.73,54.86,55.1,4696,55.445,3275
2024-06-17 00:00:00,55.35,56.84,55.01,56.33,4026,56.096,2961
2024-06-18 00:00:00,56.12,56.75,55.57,56.7,5184,56.262,3454
2024-06-20 00:00:00,53.75,56.89,53.13,54.69,10000,54.553,5987
2024-06-21 00:00:00,53.5,54.56,53.5,53.99,7928,53.853,4368
2024-06-24 00:00:00,54.08,55.52,54.0,54.13,3595,54.539,2119
2024-06-25 00:00:00,53.83,54.11,51.71,51.89,3315,52.213,2286
2024-06-26 00:00:00,51.34,52.75,51.02,52.72,4758,52.252,3148
2024-06-27 00:00:00,52.84,53.63,52.37,53.47,3336,53.097,2212
2024-06-28 00:00:00,53.85,54.7,53.27,54.2,3490,53.991,2382
2024-07-01 00:00:00,54.2,54.63,52.83,53.41,2675,53.339,2003
2024-07-02 00:00:00,53.65,53.84,52.86,53.44,2457,53.318,1687
2024-07-03 00:00:00,53.63,53.82,52.97,53.26,1281,53.279,858
2024-07-05 00:00:00,52.94,53.03,51.53,51.84,2602,51.938,1990
2024-07-08 00:00:00,52.19,52.65,50.94,51.14,2953,51.417,1948
2024-07-09 00:00:00,50.75,51.13,49.68,49.68,4851,50.244,3174
2024-07-10 00:00:00,49.71,51.3,49.71,51.15,2521,50.606,1807
2024-07-11 00:00:00,52.33,54.82,52.33,54.56,4400,53.958,2960
2024-07-12 00:00:00,55.31,57.28,54.92,56.87,6443,56.766,4342
2024-07-15 00:00:00,57.35,58.26,56.91,57.95,3275,57.806,2249
2024-07-16 00:00:00,58.34,60.14,57.95,59.65,5829,59.473,3411
2024-07-17 00:00:00,59.03,59.32,58.0,58.5,4210,58.833,2862
2024-07-18 00:00:00,58.87,60.59,57.4,58.06,3696,59.002,2465
2024-07-19 00:00:00,57.96,57.96,55.86,56.81,2372,56.809,1597
2024-07-22 00:00:00,57.2,57.71,55.96,57.61,2325,57.205,1654
2024-07-23 00:00:00,56.01,58.49,56.01,58.19,1838,57.598,1340
2024-07-24 00:00:00,57.83,58.71,56.18,56.29,1688,57.016,1335
2024-07-25 00:00:00,56.03,59.75,55.68,59.44,3927,58.851,2783
2024-07-26 00:00:00,60.19,61.37,60.0,60.76,3760,60.813,2950
2024-07-29 00:00:00,60.66,61.89,60.46,61.74,2047,61.392,1522
2024-07-30 00:00:00,62.0,62.6,60.76,62.26,2994,61.972,2381
2024-07-31 00:00:00,62.42,64.83,61.66,62.52,2812,63.05,2162
2024-08-01 00:00:00,62.47,62.49,57.32,58.0,3835,58.519,2569
2024-08-02 00:00:00,56.34,58.38,55.33,57.0,3886,56.941,2580
2024-08-05 00:00:00,53.98,57.43,53.63,56.53,3596,56.146,2452
2024-08-06 00:00:00,56.84,57.86,56.1,56.93,1933,57.063,1443
2024-08-07 00:00:00,58.0,58.78,56.12,56.64,2065,57.281,1418
2024-08-08 00:00:00,57.12,57.66,56.42,56.51,1702,56.968,962
2024-08-09 00:00:00,56.67,57.12,56.1,56.17,1117,56.5,758
2024-08-12 00:00:00,56.08,56.16,54.64,54.9,1842,55.189,1261
2024-08-13 00:00:00,55.23,57.85,55.18,57.54,2840,56.889,1941
2024-08-14 00:00:00,57.86,57.86,55.85,55.96,1503,56.217,1138
2024-08-15 00:00:00,57.71,58.65,57.36,57.76,2147,57.956,1418
2024-08-16 00:00:00,58.04,59.41,57.59,57.97,1481,58.104,1062
2024-08-19 00:00:00,58.04,58.48,57.42,58.01,1358,58.002,1013
2024-08-20 00:00:00,57.94,58.16,56.58,56.67,1431,57.146,971
