date,open,high,low,close,volume,average,barCount
2025-02-21,4.35,4.38,3.3,3.81,3753,3.959,716
2025-02-24,3.5,3.85,3.03,3.03,1103,3.507,211
2025-02-25,3.06,3.3,2.32,2.73,1427,2.711,412
2025-02-26,2.81,2.95,2.35,2.76,952,2.636,313
2025-02-27,2.7,3.07,2.51,2.97,1360,2.744,491
2025-02-28,2.86,3.01,2.7,2.7,359,2.835,168
2025-03-03,2.8,3.05,2.58,2.7,1098,2.845,322
2025-03-04,2.73,2.88,2.51,2.78,778,2.693,407
2025-03-05,2.57,2.97,2.57,2.9,427,2.76,189
2025-03-06,2.8,2.98,2.7,2.9,191,2.857,71
2025-03-07,2.71,2.99,2.63,2.87,484,2.771,242
2025-03-10,2.8,2.95,2.66,2.66,86,2.768,48
2025-03-11,2.7,2.78,2.4,2.54,473,2.56,287
2025-03-12,2.4,2.98,2.4,2.89,1236,2.699,435
2025-03-13,2.74,3.0,2.5,2.67,1406,2.751,573
2025-03-14,2.75,2.96,2.74,2.9,806,2.866,198
2025-03-17,2.81,3.63,2.8,3.49,743,3.25,282
2025-03-18,3.5,4.21,3.19,4.0,403,3.67,129
2025-03-19,3.95,4.17,3.45,3.98,544,3.761,263
2025-03-20,4.17,4.75,3.64,4.74,4057,4.377,1016
