date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,22.29,22.52,22.25,22.31,1757,22.382,1061
2024-05-28 00:00:00,22.42,22.55,22.05,22.07,2009,22.193,1301
2024-05-29 00:00:00,21.82,22.0,21.69,21.77,1682,21.788,1185
2024-05-30 00:00:00,21.94,22.28,21.89,22.08,1413,22.096,968
2024-05-31 00:00:00,22.19,22.63,22.19,22.61,1985,22.505,1245
2024-06-03 00:00:00,22.74,22.74,21.91,22.02,4915,22.055,2516
2024-06-04 00:00:00,21.88,22.01,21.2,21.21,2797,21.476,1480
2024-06-05 00:00:00,21.2,21.25,20.76,20.89,5160,20.943,3003
2024-06-06 00:00:00,20.85,20.92,20.45,20.71,6703,20.653,4259
2024-06-07 00:00:00,20.48,20.61,20.23,20.46,2339,20.469,1680
2024-06-10 00:00:00,20.21,20.63,20.21,20.61,3310,20.53,2258
2024-06-11 00:00:00,20.53,20.78,20.35,20.62,2405,20.622,1564
2024-06-12 00:00:00,21.1,21.25,20.5,20.5,2649,20.713,1767
2024-06-13 00:00:00,20.38,21.02,20.28,20.96,2934,20.669,1966
2024-06-14 00:00:00,20.54,20.78,20.27,20.71,4611,20.52,2866
2024-06-17 00:00:00,20.61,21.39,20.52,21.27,3091,21.163,2191
2024-06-18 00:00:00,21.36,21.44,20.95,21.38,2839,21.262,1934
2024-06-20 00:00:00,21.39,21.41,20.7,20.99,3352,20.992,2327
2024-06-21 00:00:00,20.92,21.1,20.66,20.99,9226,20.881,3911
2024-06-24 00:00:00,21.1,21.78,21.0,21.59,2328,21.576,1463
2024-06-25 00:00:00,21.49,21.49,21.06,21.11,2173,21.22,1458
2024-06-26 00:00:00,20.93,21.25,20.88,21.15,2509,21.062,1679
2024-06-27 00:00:00,21.13,21.56,21.13,21.46,2674,21.42,1906
2024-06-28 00:00:00,21.5,22.37,21.5,21.84,4904,22.021,3082
2024-07-01 00:00:00,21.85,21.88,21.38,21.52,1794,21.529,1369
2024-07-02 00:00:00,21.55,22.0,21.47,21.76,2593,21.736,1399
2024-07-03 00:00:00,21.74,22.07,21.64,21.84,1771,21.891,1179
2024-07-05 00:00:00,21.79,21.79,20.72,20.92,3110,20.96,2014
2024-07-08 00:00:00,21.12,21.53,21.09,21.16,1991,21.212,1509
2024-07-09 00:00:00,20.97,21.03,20.58,20.67,2736,20.769,1557
2024-07-10 00:00:00,20.79,20.82,20.51,20.6,1690,20.631,1179
2024-07-11 00:00:00,20.94,21.79,20.82,21.77,2614,21.479,1884
2024-07-12 00:00:00,22.01,22.21,21.74,21.99,1963,22.039,1438
2024-07-15 00:00:00,22.26,23.0,22.17,22.67,2654,22.74,1840
2024-07-16 00:00:00,22.81,24.03,22.81,23.75,3962,23.678,2631
2024-07-17 00:00:00,23.49,23.95,23.3,23.34,3858,23.562,2348
