date,open,high,low,close,volume,average,barCount
2024-01-02,43.16,44.77,42.58,43.24,16328,43.571,9943
2024-01-03,42.12,42.41,39.94,40.56,19996,40.769,12127
2024-01-04,38.64,40.81,38.35,39.58,19133,39.556,10095
2024-01-05,39.78,41.47,38.81,40.82,16334,40.474,9558
2024-01-08,40.42,42.23,40.02,41.71,16816,41.577,9345
2024-01-09,40.9,41.89,39.96,40.03,16503,40.792,10685
2024-01-10,39.68,39.69,36.05,36.19,40392,37.213,22685
2024-01-11,36.0,36.92,34.39,34.52,24993,35.103,12860
2024-01-12,34.59,35.43,33.38,33.86,18486,33.934,10140
2024-01-16,33.17,33.64,32.25,32.73,21220,32.777,11789
2024-01-17,31.76,31.87,30.32,31.49,30544,31.072,16698
2024-01-18,32.52,32.52,31.0,31.9,24945,31.601,15094
2024-01-19,32.33,32.46,30.69,32.39,20086,31.676,11897
2024-01-22,33.59,35.22,33.32,34.67,30201,34.208,18076
2024-01-23,36.37,37.29,35.45,36.59,34455,36.504,20821
2024-01-24,37.0,37.24,35.1,35.92,17602,35.997,10396
2024-01-25,35.84,35.84,33.58,34.23,24600,34.523,15392
2024-01-26,34.18,35.26,33.96,34.09,17137,34.465,10764
2024-01-29,34.19,35.41,33.64,35.32,12665,34.649,8010
2024-01-30,34.62,35.29,33.95,33.95,22934,34.551,14897
2024-01-31,33.76,34.63,32.37,32.55,34732,33.255,18809
2024-02-01,30.41,31.51,28.11,28.12,119236,29.458,54933
2024-02-02,28.07,28.2,25.43,26.51,121399,26.325,56050
2024-02-05,26.7,26.73,24.97,25.28,46034,25.559,24547
2024-02-06,25.87,27.03,25.67,26.7,42476,26.487,23434
2024-02-07,26.95,27.29,25.89,26.55,25905,26.489,14491
2024-02-08,26.55,28.97,26.45,28.38,38103,28.29,18505
2024-02-09,28.65,30.12,28.65,29.02,27679,29.343,16010
2024-02-12,28.95,30.87,28.86,29.76,24438,30.059,12332
2024-02-13,28.11,28.99,27.27,27.79,44003,27.941,24250
2024-02-14,28.53,28.97,28.27,28.56,28779,28.682,13543
2024-02-15,28.87,29.05,27.92,28.02,22296,28.269,13357
2024-02-16,27.51,27.9,26.73,26.89,27209,27.154,14320
2024-02-20,26.64,26.64,25.24,25.3,38064,25.576,22458
2024-02-21,25.1,25.52,24.77,25.45,22883,25.18,11651
2024-02-22,26.51,26.51,25.24,25.28,20665,25.577,9634
2024-02-23,25.06,25.21,23.7,23.77,36236,24.204,16916
2024-02-26,23.72,25.75,23.54,25.57,35377,25.127,17434
2024-02-27,26.23,26.24,25.21,25.97,22927,25.848,11915
2024-02-28,25.39,26.13,25.06,25.55,16010,25.686,9465
2024-02-29,26.01,26.94,25.61,26.02,27319,26.11,10504
2024-03-01,26.17,29.23,25.8,28.43,60593,28.032,25190
2024-03-04,28.34,28.64,26.4,27.46,28298,27.335,15429
2024-03-05,26.96,27.37,26.1,26.46,24866,26.543,13925
2024-03-06,27.01,28.62,26.77,27.71,29234,27.767,12103
2024-03-07,27.8,29.39,27.77,29.03,35292,28.898,14188
2024-03-08,29.34,30.14,27.96,27.98,29540,28.932,14931
2024-03-11,27.75,28.98,27.41,28.07,17716,28.396,9145
2024-03-12,28.55,29.5,27.44,28.96,23801,28.622,12861
2024-03-13,28.36,29.22,27.47,27.57,15577,28.015,9917
2024-03-14,27.35,27.75,25.63,26.03,32526,26.547,16032
2024-03-15,25.55,26.43,25.45,26.08,14002,26.03,7729
2024-03-18,26.01,26.02,24.73,25.05,29998,25.062,16798
2024-03-19,24.51,25.02,24.12,24.82,28359,24.613,15250
2024-03-20,24.92,27.3,24.47,27.24,32525,26.188,16416
2024-03-21,27.75,30.16,27.52,27.98,47410,29.057,22559
2024-03-22,27.55,27.85,26.62,27.3,18830,27.202,8552
2024-03-25,27.02,27.84,26.95,27.46,11701,27.416,6550
2024-03-26,27.89,27.97,26.88,26.93,14382,27.176,6699
2024-03-27,27.27,28.88,27.23,28.58,22459,28.294,9614
2024-03-28,28.63,29.91,28.63,29.5,22827,29.396,11054
2024-04-01,29.75,30.67,29.55,29.9,21601,29.917,8947
2024-04-02,29.29,29.29,27.64,27.75,26360,28.246,12991
2024-04-03,26.58,27.09,25.96,27.02,30756,26.574,14951
2024-04-04,27.55,28.61,26.94,27.07,19233,27.753,9804
2024-04-05,26.54,26.86,25.83,26.31,17927,26.377,9050
2024-04-08,26.8,27.24,26.4,26.84,17078,26.818,8967
2024-04-09,27.03,28.9,26.97,28.9,30174,28.404,13261
2024-04-10,27.71,27.77,26.87,27.4,23934,27.24,11502
2024-04-11,27.27,28.1,26.51,27.86,20471,27.215,10104
2024-04-12,27.08,27.17,25.95,26.25,27716,26.507,15289
2024-04-15,26.5,26.8,25.17,25.55,24129,25.921,14012
2024-04-16,25.45,25.57,24.56,25.44,29884,25.109,14524
2024-04-17,25.59,26.23,25.16,25.24,24270,25.478,12359
2024-04-18,25.1,25.1,23.69,23.72,33245,24.221,16069
2024-04-19,23.44,23.71,22.16,22.18,38953,22.759,20996
2024-04-22,22.35,25.33,21.85,23.94,117115,23.868,45343
2024-04-23,23.64,24.8,22.53,22.57,47122,23.446,25024
2024-04-24,23.62,24.63,23.32,24.48,34719,24.084,17527
2024-04-25,24.35,25.02,23.77,24.87,20416,24.405,11914
