date,open,high,low,close,volume,average,barCount
2024-05-23,56.61,56.64,55.68,56.26,816,56.112,615
2024-05-24,56.77,57.0,56.15,56.99,421,56.61,335
2024-05-28,57.09,57.97,56.58,57.15,543,57.21,464
2024-05-29,56.64,56.91,55.88,56.0,445,56.235,377
2024-05-30,56.35,57.08,56.14,56.57,549,56.501,426
2024-05-31,56.88,57.08,56.27,57.03,517,56.78,383
2024-06-03,56.7,57.04,55.35,55.77,1204,55.754,976
2024-06-04,55.24,55.34,53.31,53.37,936,53.891,759
2024-06-05,53.52,54.45,52.81,54.26,799,54.014,670
2024-06-06,54.12,54.25,53.37,53.57,435,53.63,337
2024-06-07,53.09,53.61,52.9,53.31,555,53.296,431
2024-06-10,52.92,53.46,52.54,52.93,673,52.846,541
2024-06-11,52.3,52.53,51.56,52.2,720,52.134,531
2024-06-12,53.91,54.39,52.49,52.49,1042,53.185,754
2024-06-13,52.49,52.75,51.32,52.74,959,52.323,781
2024-06-14,51.79,51.86,50.92,51.25,908,51.236,717
2024-06-17,50.89,52.01,50.89,51.9,1001,51.669,786
2024-06-18,52.18,52.45,51.41,51.65,1404,51.822,905
2024-06-20,51.56,52.31,50.42,50.72,1884,51.075,1348
2024-06-21,50.68,50.68,49.36,50.49,3301,50.179,2034
2024-06-24,50.88,51.99,50.44,51.27,1186,51.51,963
2024-06-25,51.01,51.23,49.86,50.16,2085,50.338,1405
2024-06-26,46.48,48.99,46.15,48.45,4400,47.988,3148
2024-06-27,47.98,48.07,46.16,47.0,3490,46.919,2541
2024-06-28,47.45,47.73,46.6,47.33,2292,47.144,1605
2024-07-01,47.54,47.74,45.15,45.27,1883,45.761,1425
2024-07-02,44.84,45.43,44.46,45.18,1957,44.985,1362
2024-07-03,45.34,46.32,45.34,46.2,600,45.928,430
2024-07-05,46.16,46.16,44.27,44.38,1730,44.575,1289
2024-07-08,44.71,45.32,43.81,43.98,1764,44.17,1268
2024-07-09,43.66,44.02,43.06,43.25,1193,43.358,841
2024-07-10,43.33,43.65,43.07,43.4,880,43.344,584
2024-07-11,44.64,46.76,44.33,46.48,1975,46.23,1465
2024-07-12,47.0,48.21,47.0,47.85,1495,47.748,1162
2024-07-15,48.32,49.14,47.55,47.63,1703,48.251,1335
2024-07-16,48.01,49.87,48.01,49.74,999,49.402,789
2024-07-17,49.42,50.54,49.05,49.27,1465,49.381,1071
