date,open,high,low,close,volume,average,barCount
2025-02-19 08:00:00,12.95,13.29,12.95,13.23,152,13.132,24
2025-02-19 09:00:00,13.24,13.5,12.69,13.02,1641,13.036,746
2025-02-19 10:00:00,13.0,13.05,12.78,13.0,1177,12.931,736
2025-02-19 11:00:00,13.0,13.09,12.83,12.85,1629,12.948,1049
2025-02-19 12:00:00,12.85,12.88,12.68,12.79,1866,12.774,1200
2025-02-19 13:00:00,12.78,12.9,12.64,12.66,1621,12.772,990
2025-02-19 14:00:00,12.67,12.82,12.61,12.65,1785,12.742,1140
2025-02-19 15:00:00,12.66,12.78,12.6,12.67,3745,12.689,2203
2025-02-19 16:00:00,12.68,12.68,12.68,12.68,2221,12.68,5
2025-02-19 17:00:00,12.68,12.68,12.68,12.68,0,12.68,0
2025-02-19 18:00:00,12.68,12.68,12.68,12.68,0,12.68,0
2025-02-19 19:00:00,12.68,12.68,12.68,12.68,0,12.68,0
2025-02-20 09:00:00,12.56,12.66,12.42,12.51,449,12.52,302
2025-02-20 10:00:00,12.52,12.53,12.25,12.27,781,12.423,594
2025-02-20 11:00:00,12.27,12.38,12.24,12.37,761,12.293,508
2025-02-20 12:00:00,12.37,12.58,12.36,12.51,661,12.501,528
2025-02-20 13:00:00,12.51,12.59,12.47,12.57,475,12.533,378
2025-02-20 14:00:00,12.57,12.57,12.44,12.48,518,12.5,435
2025-02-20 15:00:00,12.49,12.5,12.39,12.44,2426,12.435,1467
2025-02-20 16:00:00,12.44,12.44,12.44,12.44,1956,12.44,5
2025-02-20 17:00:00,12.44,12.44,12.44,12.44,0,12.44,0
2025-02-20 18:00:00,12.44,12.44,12.44,12.44,0,12.44,0
2025-02-20 19:00:00,12.44,12.44,12.44,12.44,0,12.44,0
2025-02-21 09:00:00,12.41,12.81,12.4,12.61,806,12.614,302
2025-02-21 10:00:00,12.59,12.74,12.49,12.63,976,12.632,692
2025-02-21 11:00:00,12.64,12.77,12.64,12.69,653,12.691,430
2025-02-21 12:00:00,12.69,12.77,12.54,12.54,942,12.708,642
2025-02-21 13:00:00,12.53,12.57,12.41,12.46,801,12.486,521
2025-02-21 14:00:00,12.46,12.48,12.32,12.34,715,12.398,564
2025-02-21 15:00:00,12.33,12.43,12.31,12.35,2098,12.366,1377
2025-02-21 16:00:00,12.36,12.36,12.36,12.36,1569,12.36,2
2025-02-21 17:00:00,12.36,12.36,12.36,12.36,0,12.36,0
2025-02-21 18:00:00,12.36,12.36,12.36,12.36,0,12.36,0
2025-02-21 19:00:00,12.36,12.36,12.36,12.36,0,12.36,0
2025-02-24 09:00:00,12.37,12.52,12.29,12.38,343,12.424,194
2025-02-24 10:00:00,12.37,12.48,12.28,12.3,778,12.39,501
2025-02-24 11:00:00,12.29,12.33,12.25,12.25,460,12.294,320
2025-02-24 12:00:00,12.25,12.33,12.24,12.26,543,12.292,399
2025-02-24 13:00:00,12.26,12.33,12.24,12.29,529,12.28,350
2025-02-24 14:00:00,12.29,12.34,12.24,12.25,523,12.303,384
2025-02-24 15:00:00,12.24,12.29,12.18,12.21,2142,12.225,1424
2025-02-24 16:00:00,12.21,12.21,12.2,12.2,1613,12.2,7
2025-02-24 17:00:00,12.2,12.2,12.2,12.2,0,12.2,0
2025-02-24 18:00:00,12.2,12.2,12.2,12.2,0,12.2,0
2025-02-24 19:00:00,12.2,12.2,12.2,12.2,0,12.2,0
