date,open,high,low,close,volume,average,barCount
2024-01-02,2.93,2.94,2.23,2.3,332284,2.5153,41870
2024-01-03,2.04,2.305,1.95,2.15,266494,2.15192,35603
2024-01-04,2.27,2.35,2.092,2.19,245959,2.21404,31184
2024-01-05,2.12,2.13,1.88,1.93,203271,1.9781,25256
2024-01-08,1.95,2.13,1.79,2.06,218896,1.99098,25763
2024-01-09,2.05,2.16,1.95,2.03,162363,2.05653,22971
2024-01-10,1.97,2.26,1.96,2.12,207057,2.14102,25320
2024-01-11,2.44,2.46,1.84,1.92,390261,2.08497,44805
2024-01-12,1.85,1.86,1.64,1.7,246466,1.72474,26032
2024-01-16,1.63,1.63,1.45,1.505,211269,1.53149,24528
2024-01-17,1.46,1.54,1.415,1.425,102809,1.45737,10848
2024-01-18,1.46,1.52,1.3,1.31,166476,1.3861,18136
2024-01-19,1.32,1.41,1.24,1.38,191254,1.3262,16630
2024-01-22,1.33,1.5,1.29,1.45,126394,1.41718,13204
2024-01-23,1.37,1.48,1.36,1.43,108096,1.42693,10141
2024-01-24,1.48,1.57,1.43,1.44,106079,1.4974,11185
2024-01-25,1.47,1.55,1.43,1.52,98670,1.48149,9627
2024-01-26,1.61,1.75,1.58,1.69,162921,1.68262,14827
2024-01-29,1.73,1.93,1.675,1.88,186160,1.82026,16583
2024-01-30,1.91,2.02,1.83,1.88,165603,1.90734,15865
2024-01-31,1.8,1.9,1.665,1.67,178623,1.79035,18898
2024-02-01,1.71,1.8368,1.67,1.83,89191,1.75517,9678
2024-02-02,1.76,1.87,1.72,1.78,108078,1.79585,13825
2024-02-05,1.77,1.785,1.55,1.56,109441,1.62901,11436
2024-02-06,1.6,1.71,1.55,1.695,67465,1.65551,7541
2024-02-07,1.69,1.74,1.565,1.72,134339,1.65946,11812
2024-02-08,1.82,2.07,1.81,2.03,288026,1.97911,31033
2024-02-09,2.24,2.275,2.11,2.2,287782,2.19491,31288
2024-02-12,2.22,2.48,2.21,2.385,289649,2.37313,31425
2024-02-13,2.14,2.35,2.07,2.19,146909,2.19534,19407
2024-02-14,2.48,2.52,2.355,2.46,212089,2.44843,22359
2024-02-15,2.65,2.725,2.32,2.46,306501,2.51766,31257
2024-02-16,2.49,2.69,2.38,2.49,228326,2.51826,20945
2024-02-20,2.52,2.555,2.19,2.37,202117,2.34254,20699
2024-02-21,2.2,2.31,2.17,2.18,119409,2.22322,15441
2024-02-22,2.22,2.26,2.12,2.14,198628,2.18557,20208
2024-02-23,2.08,2.1,1.91,2.03,149571,2.00389,16505
2024-02-26,2.05,2.38,2.05,2.34,269709,2.31221,28893
2024-02-27,2.53,2.585,2.2,2.3,277348,2.35985,30478
2024-02-28,2.36,2.39,2.06,2.1,282437,2.21512,31949
2024-02-29,2.19,2.2025,1.85,1.875,235755,1.94459,23823
2024-03-01,1.9,2.05,1.7932,2.05,130605,1.93497,14528
2024-03-04,2.14,2.185,1.87,1.91,229637,1.99185,25831
2024-03-05,1.85,1.98,1.7,1.725,182982,1.80576,20553
2024-03-06,1.77,1.92,1.71,1.87,135360,1.83062,13186
2024-03-07,1.83,1.89,1.75,1.84,113661,1.82831,12258
2024-03-08,1.87,2.12,1.85,2.01,207334,2.0131,23190
2024-03-11,2.07,2.0899,1.8,1.82,172419,1.89104,21208
2024-03-12,1.82,1.82,1.69,1.76,122082,1.73454,13524
2024-03-13,1.75,1.84,1.7,1.74,131870,1.77147,13334
2024-03-14,1.71,1.73,1.61,1.67,123152,1.65841,13650
2024-03-15,1.66,1.83,1.625,1.78,103988,1.74073,11039
2024-03-18,1.76,1.83,1.7,1.73,122620,1.75757,13514
2024-03-19,1.68,1.79,1.57,1.72,110683,1.68749,13642
2024-03-20,1.71,2.33,1.7,2.33,386137,2.09655,37227
2024-03-21,2.31,2.52,2.2333,2.38,344449,2.37236,32657
2024-03-22,2.32,2.6,2.24,2.46,287923,2.45087,29529
2024-03-25,2.57,2.84,2.52,2.57,298949,2.64963,30522
2024-03-26,2.58,2.61,2.42,2.46,183042,2.51557,20952
2024-03-27,2.58,2.74,2.4335,2.7,223455,2.61701,23026
2024-03-28,2.76,2.93,2.59,2.63,307038,2.75207,32431
2024-04-01,2.61,2.61,2.36,2.43,147073,2.44841,19153
2024-04-02,2.28,2.4,2.21,2.33,102336,2.30454,14402
