date,open,high,low,close,volume,average,barCount
2023-12-20,5.0,5.135,4.76,4.8,9580,4.92873,5245
2023-12-21,4.84,5.115,4.81,5.03,8583,5.01076,4536
2023-12-22,5.11,5.23,4.79,4.88,5576,4.9441,2648
2023-12-26,4.9,5.06,4.845,5.01,4004,4.99528,2110
2023-12-27,5.06,5.135,4.92,5.09,4951,5.06739,2823
2023-12-28,5.12,5.22,5.025,5.06,2952,5.11033,1724
2023-12-29,5.06,5.07,4.94,5.05,4088,5.01504,2153
2024-01-02,4.99,5.44,4.99,5.34,7346,5.28311,2790
2024-01-03,5.32,5.4,5.115,5.16,7743,5.28114,2533
2024-01-04,5.16,5.32,5.13,5.3,5682,5.2745,2357
2024-01-05,5.21,5.21,4.92,4.94,4674,5.0042,2755
2024-01-08,4.87,5.22,4.6599,5.19,6634,5.05263,3474
2024-01-09,5.15,5.385,4.98,5.33,7970,5.20009,3421
2024-01-10,5.33,5.485,5.19,5.3,6867,5.32317,2667
2024-01-11,5.25,5.28,4.84,4.97,4752,4.959,1979
2024-01-12,5.04,5.08,4.95,5.0,2575,5.00303,1638
2024-01-16,4.9,4.97,4.72,4.87,4334,4.85969,2238
2024-01-17,4.84,4.84,4.67,4.71,3731,4.7531,2192
2024-01-18,4.83,4.83,4.53,4.75,2674,4.72466,1813
2024-01-19,4.76,4.76,4.58,4.68,3062,4.66095,1442
2024-01-22,4.68,4.8,4.615,4.69,3488,4.68561,2411
2024-01-23,4.72,4.77,4.52,4.57,1926,4.58883,1214
2024-01-24,4.61,4.62,4.37,4.4,2749,4.44188,1635
2024-01-25,4.45,4.53,4.37,4.39,4507,4.42262,2554
2024-01-26,4.4,4.47,4.315,4.41,4385,4.38102,2722
2024-01-29,4.4,4.49,4.22,4.47,3365,4.41796,2070
2024-01-30,4.45,4.45,4.305,4.31,2419,4.36087,1542
2024-01-31,4.5,4.595,4.32,4.32,5213,4.46537,2384
2024-02-01,4.41,4.41,3.97,4.0,11174,4.0856,5237
2024-02-02,4.02,4.05,3.78,3.94,5200,3.92949,2944
2024-02-05,3.87,3.91,3.78,3.87,2552,3.84983,1592
2024-02-06,3.84,4.08,3.71,4.06,4965,3.97119,2178
2024-02-07,4.06,4.09,3.91,4.01,5490,4.00864,2003
2024-02-08,4.0,4.08,3.94,4.06,2718,4.00278,1234
2024-02-09,4.08,4.16,4.0506,4.1,3482,4.11015,2274
2024-02-12,4.11,4.16,3.88,3.91,5892,3.94994,3014
2024-02-13,3.83,3.85,3.51,3.54,12318,3.63279,4707
2024-02-14,3.57,3.73,3.5,3.68,3616,3.65318,2143
2024-02-15,3.7,3.83,3.635,3.77,5229,3.73848,2174
2024-02-16,3.77,3.935,3.68,3.91,5930,3.83029,2015
2024-02-20,3.92,4.12,3.92,4.11,8167,4.03909,3360
2024-02-21,4.11,4.16,3.95,3.99,5535,4.03278,2838
2024-02-22,3.99,4.21,3.99,4.09,4173,4.12819,2569
2024-02-23,4.07,4.44,4.0101,4.41,8606,4.3185,3110
2024-02-26,4.4,4.645,4.375,4.6,4941,4.55971,2322
2024-02-27,4.62,5.27,4.58,5.1,18925,5.01031,7192
2024-02-28,5.02,5.17,4.945,5.1,4229,5.05533,2383
2024-02-29,5.19,5.21,4.69,4.81,5121,4.89184,2823
2024-03-01,4.82,5.155,4.81,5.13,5511,5.01102,3387
2024-03-04,5.2,5.23,4.96,5.07,4937,5.08918,2924
