date,open,high,low,close,volume,average,barCount
2024-01-02,85.0,85.61,84.8,85.61,89576,85.269,36832
2024-01-03,85.06,85.06,83.88,84.42,107711,84.448,48153
2024-01-04,84.55,84.72,84.04,84.2,92797,84.264,38678
2024-01-05,83.91,84.81,83.38,84.34,67611,84.236,34612
2024-01-08,84.29,84.72,83.6,84.65,44480,84.239,26473
2024-01-09,84.19,84.2,83.46,83.73,52542,83.724,31716
2024-01-10,83.73,83.73,83.22,83.52,36673,83.491,22031
2024-01-11,83.68,83.72,82.76,83.07,37764,83.2,26003
2024-01-12,83.7,84.04,83.09,83.25,36562,83.4,23395
2024-01-16,83.11,83.12,82.26,82.38,47354,82.616,28809
2024-01-17,82.0,82.18,81.53,81.99,42481,81.844,23747
2024-01-18,81.99,82.27,81.46,81.8,41786,81.854,24921
2024-01-19,82.14,82.53,81.44,82.23,53653,82.03,28484
2024-01-22,81.9,82.62,81.76,82.47,47896,82.401,24408
2024-01-23,82.47,83.11,82.43,82.74,35517,82.756,18464
2024-01-24,83.15,83.15,81.57,81.96,46877,82.134,27481
2024-01-25,81.5,82.64,81.5,82.64,42284,82.182,26454
2024-01-26,82.78,82.98,82.34,82.51,34685,82.578,20344
2024-01-29,82.36,82.95,82.07,82.9,31483,82.48,19262
2024-01-30,82.75,83.69,82.59,83.3,48462,83.288,26312
2024-01-31,83.61,83.75,82.13,82.31,59878,82.761,38684
2024-02-01,82.46,83.75,82.46,83.75,84730,83.227,46711
2024-02-02,83.72,83.72,82.18,83.0,100762,82.96,50836
2024-02-05,82.38,82.38,80.73,80.97,104012,81.134,55291
2024-02-06,80.88,82.59,80.38,82.4,88321,82.298,45663
2024-02-07,82.88,83.3,82.84,82.97,49882,83.08,26814
2024-02-08,83.18,83.2,82.37,82.96,30353,82.836,19006
2024-02-09,82.98,83.18,82.53,83.12,33443,82.866,20071
2024-02-12,83.02,84.19,83.0,83.8,29434,83.845,18608
2024-02-13,83.97,83.97,82.02,82.69,58724,82.527,35052
2024-02-14,83.04,83.35,82.62,83.35,39196,83.001,25098
2024-02-15,83.4,84.85,83.09,84.82,54003,84.52,32168
2024-02-16,84.71,85.75,84.7,85.17,41429,85.382,25552
2024-02-20,85.47,85.48,84.74,84.79,40242,85.015,24294
2024-02-21,84.77,85.51,84.65,85.36,33579,85.12,21453
2024-02-22,85.72,86.45,85.51,86.4,42354,86.006,26198
2024-02-23,86.45,86.96,86.29,86.83,31386,86.667,20688
2024-02-26,86.6,86.74,86.21,86.3,28067,86.405,17597
2024-02-27,86.45,86.85,86.38,86.83,37145,86.57,20083
2024-02-28,86.38,87.22,86.15,86.8,40181,86.874,20777
2024-02-29,86.85,87.8,86.72,87.64,55329,87.515,30438
2024-03-01,87.4,88.18,87.4,88.17,46898,87.928,23266
2024-03-04,87.87,88.75,87.73,88.45,41014,88.554,24010
2024-03-05,88.41,88.87,87.83,88.03,37439,88.34,21692
2024-03-06,88.53,89.09,88.36,88.78,44856,88.784,27598
2024-03-07,88.93,90.29,88.88,88.88,34614,89.876,23058
2024-03-08,89.72,90.2,89.33,89.67,43167,89.767,29311
2024-03-11,89.65,90.91,89.45,90.91,69241,90.134,37006
2024-03-12,90.57,90.64,89.9,90.35,44955,90.238,29260
2024-03-13,90.5,91.66,90.5,91.31,64022,91.195,38076
2024-03-14,91.33,91.45,90.35,90.85,84486,90.737,48991
2024-03-15,91.01,91.2,90.0,91.14,83204,90.876,47304
2024-03-18,90.35,91.36,90.35,90.45,53538,90.968,30197
2024-03-19,90.43,90.81,90.26,90.75,44815,90.578,24610
2024-03-20,90.58,91.9,90.4,91.77,55128,91.268,31359
2024-03-21,91.71,92.24,91.44,91.76,39815,91.853,25203
2024-03-22,91.94,91.96,91.17,91.17,25233,91.593,16215
2024-03-25,91.15,91.77,91.15,91.43,24158,91.495,15524
2024-03-26,91.6,91.72,91.27,91.33,23176,91.46,13879
2024-03-27,91.64,92.83,91.48,92.78,36141,92.219,22616
2024-03-28,92.59,93.21,92.47,92.9,39155,92.902,21526
2024-04-01,93.2,93.35,92.5,92.55,34357,92.765,17132
2024-04-02,92.55,92.66,91.92,92.23,41467,92.257,22414
