date,open,high,low,close,volume,average,barCount
2024-01-02,84.01,85.52,84.01,84.81,176327,84.891,76576
2024-01-03,84.76,86.43,84.4,86.2,170634,85.779,80847
2024-01-04,86.29,87.11,84.56,84.72,187462,85.443,81020
2024-01-05,84.9,85.49,84.28,84.8,141546,84.804,71094
2024-01-08,84.4,84.58,82.1,83.55,214438,83.007,97328
2024-01-09,83.75,84.96,82.17,82.27,151622,82.568,70142
2024-01-10,82.32,82.69,81.22,81.7,144963,81.617,65146
2024-01-11,81.91,82.55,81.43,82.39,160441,81.8,69632
2024-01-12,82.37,83.35,82.18,82.6,174360,82.556,74383
2024-01-16,82.51,82.92,80.66,80.75,160726,81.219,71031
2024-01-17,80.5,80.84,79.7,80.2,172566,80.162,79833
2024-01-18,80.09,80.26,78.98,79.83,158487,79.622,69836
2024-01-19,79.89,80.29,79.59,80.29,167338,79.921,73000
2024-01-22,79.99,80.65,79.48,80.55,136907,80.23,63748
2024-01-23,80.47,81.29,80.0,80.71,106974,80.71,51090
2024-01-24,80.86,81.83,80.68,81.75,149913,81.425,71017
2024-01-25,81.96,83.74,81.71,83.5,173089,82.784,77595
2024-01-26,83.56,84.28,82.92,84.22,163231,83.73,69743
2024-01-29,84.13,84.42,83.25,84.16,134119,83.71,59844
2024-01-30,83.97,85.02,82.98,84.9,161501,84.274,74335
2024-01-31,84.57,85.2,83.19,83.41,175016,84.044,93360
2024-02-01,83.42,84.3,82.63,83.6,227763,83.444,117405
2024-02-02,83.55,84.2,82.82,83.4,169688,83.684,96677
2024-02-05,83.31,83.81,82.4,83.2,132521,83.184,74673
2024-02-06,83.4,84.4,83.2,83.61,116229,83.794,66479
2024-02-07,83.6,84.18,83.07,83.55,112332,83.574,61164
2024-02-08,83.34,84.92,83.16,84.67,161552,84.387,88674
2024-02-09,84.58,85.13,83.22,83.41,165375,83.783,84465
2024-02-12,83.34,84.47,83.31,84.19,109457,84.183,57934
2024-02-13,84.38,84.66,82.83,83.4,178320,83.463,84647
2024-02-14,83.59,84.25,82.86,83.4,155963,83.352,76490
2024-02-15,83.29,85.86,82.81,85.59,193496,85.107,103238
2024-02-16,85.3,86.25,85.24,85.6,117296,85.835,62983
2024-02-20,85.63,86.01,84.68,84.83,123974,85.096,68401
2024-02-21,84.6,86.46,84.6,86.17,116456,86.064,66497
2024-02-22,86.46,86.89,85.42,86.2,147349,86.271,77331
2024-02-23,85.97,86.24,85.14,85.91,125293,85.805,69310
2024-02-26,85.71,86.83,85.43,86.0,100914,86.34,52941
2024-02-27,86.24,86.71,85.45,85.81,114190,85.94,63328
2024-02-28,85.76,86.65,85.38,85.73,118918,85.829,64523
2024-02-29,85.72,86.42,85.27,86.15,123794,86.108,50305
2024-03-01,86.4,87.54,86.0,87.16,143300,87.151,58395
2024-03-04,87.31,87.32,86.05,86.15,147359,86.482,77655
2024-03-05,86.29,87.41,85.85,86.75,139913,86.947,71101
2024-03-06,87.24,88.04,86.93,87.13,121524,87.378,74207
2024-03-07,87.1,88.35,87.0,87.97,107209,87.922,62605
2024-03-08,87.8,88.5,87.52,88.5,124905,87.923,64352
2024-03-11,88.01,89.2,87.53,89.08,109831,88.505,56488
2024-03-12,89.08,89.32,88.46,89.0,104332,88.986,55133
2024-03-13,88.94,90.85,88.94,90.55,186200,90.392,81815
2024-03-14,90.76,91.45,90.37,91.45,153297,90.957,71544
2024-03-15,91.45,92.22,91.0,91.74,165314,91.616,87010
2024-03-18,91.0,91.46,90.43,90.87,130304,91.117,61128
2024-03-19,90.99,92.25,90.87,92.18,108494,91.951,60340
2024-03-20,92.01,92.38,91.51,92.26,125272,91.904,68861
2024-03-21,92.34,92.79,91.9,92.72,102080,92.524,45842
2024-03-22,92.68,92.87,92.05,92.36,72912,92.382,38759
2024-03-25,92.39,93.88,91.91,93.35,153840,93.326,66946
2024-03-26,93.29,93.57,92.33,92.33,139721,92.713,64590
2024-03-27,92.5,93.58,92.18,93.45,141193,92.937,64504
2024-03-28,93.69,94.58,93.34,94.34,149811,94.198,69686
2024-04-01,94.78,95.39,93.75,95.16,186966,94.986,88922
2024-04-02,95.39,96.73,95.1,96.73,157754,95.965,80094
2024-04-03,96.73,97.27,96.39,97.11,124218,96.965,60854
2024-04-04,97.14,97.66,96.66,97.55,150561,97.179,79089
2024-04-05,97.5,98.47,96.85,98.19,131499,97.881,67291
2024-04-08,97.72,98.41,97.28,97.6,138319,97.785,63752
2024-04-09,97.72,98.14,96.78,97.57,124525,97.267,68549
2024-04-10,97.61,98.15,96.8,97.93,155895,97.588,81099
2024-04-11,97.91,98.14,96.33,97.7,162214,97.298,80355
2024-04-12,97.9,98.97,95.67,96.57,202392,97.082,106729
2024-04-15,96.13,97.42,95.11,95.39,188001,95.979,93056
2024-04-16,95.0,95.49,93.73,94.49,154357,94.383,91435
2024-04-17,94.33,95.14,93.46,94.12,117989,94.332,67832
2024-04-18,93.77,94.72,93.51,93.6,105717,94.084,59216
2024-04-19,94.13,96.27,93.5,95.13,151653,94.979,85025
2024-04-22,94.43,96.24,93.72,95.82,123832,95.324,61451
2024-04-23,95.61,96.17,94.69,96.02,100763,95.66,53346
2024-04-24,95.8,96.3,95.06,96.15,83853,95.859,47763
2024-04-25,96.34,96.92,95.25,96.31,108513,96.259,58123
2024-04-26,96.6,96.7,94.76,95.79,137611,95.436,74166
2024-04-29,95.49,96.6,95.4,96.32,89826,96.151,51722
2024-04-30,96.21,96.55,93.26,93.43,151391,94.46,78581
2024-05-01,93.12,93.69,91.53,92.14,221328,92.389,119044
2024-05-02,92.5,93.19,92.12,92.62,142065,92.655,78840
2024-05-03,92.44,93.11,91.34,92.79,153372,92.134,76920
2024-05-06,93.15,94.24,92.86,93.65,144865,93.616,74232
2024-05-07,93.63,93.9,93.05,93.13,87866,93.427,44523
2024-05-08,92.83,93.55,92.42,93.1,82870,93.159,45910
2024-05-09,93.29,94.45,92.86,94.43,96042,94.013,45810
2024-05-10,94.5,94.98,93.58,93.8,87351,93.926,43652
2024-05-13,93.75,94.4,93.18,93.65,92487,93.65,44487
2024-05-14,93.83,93.9,93.02,93.7,102027,93.439,51076
2024-05-15,93.8,94.08,92.12,93.98,172024,93.404,78913
2024-05-16,94.0,94.38,93.35,93.7,107475,93.825,47953
2024-05-17,93.65,95.11,93.6,95.0,122701,94.602,59059
2024-05-20,95.1,95.45,94.1,94.34,77897,94.483,38991
2024-05-21,94.07,94.87,93.66,93.78,98535,94.161,48558
2024-05-22,93.55,93.89,91.71,92.0,152953,92.235,68825
2024-05-23,92.21,92.86,91.08,91.28,112637,91.692,55892
2024-05-24,91.23,92.19,91.11,91.37,81402,91.545,42237
2024-05-28,91.75,92.56,91.45,92.25,127000,92.174,54191
2024-05-29,92.24,92.37,90.27,90.73,128826,90.802,64220
2024-05-30,90.68,91.27,90.43,90.8,94782,90.881,50064
2024-05-31,91.0,93.43,90.9,93.19,144415,92.422,69439
2024-06-03,93.2,93.45,90.09,90.8,166694,91.038,90996
2024-06-04,90.33,90.74,88.7,89.81,148379,89.474,78418
2024-06-05,90.09,90.14,89.33,90.04,90402,89.766,46835
2024-06-06,90.02,90.5,89.22,90.34,110252,90.053,54880
2024-06-07,90.5,91.04,89.55,90.05,84067,90.283,45170
2024-06-10,90.06,91.21,89.83,90.85,94875,90.716,52014
2024-06-11,90.55,90.69,89.44,90.56,76926,90.219,41579
2024-06-12,90.57,91.49,89.07,89.57,137411,89.814,73449
2024-06-13,89.41,89.53,88.24,88.64,116539,88.751,58457
2024-06-14,88.67,88.79,87.67,87.85,107846,87.979,58785
2024-06-17,88.17,88.67,87.6,88.3,112808,88.27,61044
2024-06-18,88.28,89.76,88.03,88.72,127993,88.963,60710
2024-06-20,88.7,90.73,88.62,90.48,138574,90.139,75849
2024-06-21,90.4,90.76,89.6,89.82,163110,90.007,67077
2024-06-24,89.71,91.63,89.25,91.21,122273,90.949,61473
2024-06-25,91.38,91.72,90.7,91.49,118345,91.206,50884
2024-06-26,91.49,91.67,90.15,90.58,88098,90.639,42844
2024-06-27,90.83,91.17,90.29,90.92,60252,90.664,31132
2024-06-28,91.33,91.82,90.82,91.3,109274,91.255,53854
2024-07-01,91.55,92.18,90.66,91.19,99050,91.308,47247
