date,open,high,low,close,volume,average,barCount
2024-01-02,40.1,40.5,39.78,40.49,62870,40.25,20298
2024-01-03,40.35,40.35,39.39,39.42,60350,39.694,21953
2024-01-04,39.51,39.66,39.23,39.43,68897,39.468,20179
2024-01-05,39.15,39.63,38.73,39.21,54088,39.319,20872
2024-01-08,39.2,39.89,39.18,39.89,45740,39.64,15876
2024-01-09,39.4,39.79,39.29,39.45,38736,39.552,13284
2024-01-10,39.63,39.81,39.47,39.6,42654,39.64,14315
2024-01-11,39.7,39.7,39.07,39.26,48944,39.244,18467
2024-01-12,39.21,39.74,39.08,39.44,38786,39.503,14249
2024-01-16,39.18,39.55,39.11,39.4,101963,39.36,26359
2024-01-17,39.09,39.28,38.18,38.5,92810,38.629,26766
2024-01-18,38.58,38.75,38.08,38.3,58149,38.317,20477
2024-01-19,38.56,38.93,38.13,38.7,76593,38.496,22440
2024-01-22,38.7,39.3,38.7,38.88,55566,38.981,18652
2024-01-23,38.92,39.15,38.53,38.6,43222,38.727,14136
2024-01-24,38.7,39.08,38.09,38.2,70440,38.425,21790
2024-01-25,38.14,38.82,38.14,38.75,63331,38.624,20610
2024-01-26,38.71,38.8,38.41,38.49,41786,38.546,14459
2024-01-29,37.3,38.81,37.3,38.77,55121,38.553,15940
2024-01-30,38.74,38.94,38.33,38.4,66209,38.515,21440
2024-01-31,38.63,38.88,38.03,38.04,111375,38.465,38777
2024-02-01,38.13,38.91,37.89,38.91,102874,38.333,32147
2024-02-02,38.89,38.9,37.65,38.3,121993,38.108,36668
2024-02-05,38.25,38.3,37.43,37.47,83280,37.635,24392
2024-02-06,37.41,38.18,37.39,38.17,66508,38.015,21390
2024-02-07,38.08,38.38,37.87,38.09,60978,38.116,18892
2024-02-08,38.02,38.42,37.94,38.33,42330,38.222,15027
2024-02-09,38.37,38.5,37.94,38.43,52097,38.213,18513
2024-02-12,38.54,38.67,38.21,38.29,50700,38.39,17185
2024-02-13,38.3,38.3,37.07,37.59,200782,37.293,45440
2024-02-14,37.79,38.06,37.52,37.9,134885,37.832,23684
2024-02-15,38.05,38.8,37.96,38.66,82467,38.601,24593
2024-02-16,38.63,38.69,38.07,38.54,73032,38.367,23066
2024-02-20,38.2,38.49,37.97,38.27,63518,38.269,18550
2024-02-21,38.13,38.62,38.13,38.51,53806,38.464,17741
2024-02-22,38.66,38.88,38.43,38.57,56923,38.682,19577
2024-02-23,38.6,38.93,38.6,38.68,49586,38.8,15766
2024-02-26,38.72,38.83,38.2,38.24,59806,38.422,19113
2024-02-27,38.43,38.66,38.19,38.29,90028,38.326,22896
2024-02-28,38.31,38.96,38.02,38.45,72196,38.65,18407
2024-02-29,38.8,39.32,38.8,39.16,125282,39.151,24681
2024-03-01,39.18,39.58,38.61,39.44,93364,39.238,21648
2024-03-04,39.45,40.02,39.18,39.97,83465,39.683,22664
2024-03-05,39.96,40.1,39.28,39.55,64007,39.702,18839
2024-03-06,39.44,39.84,39.44,39.7,51999,39.653,16619
2024-03-07,39.78,40.02,39.48,39.7,47886,39.683,13946
2024-03-08,39.72,40.31,39.66,40.17,72235,40.138,21235
2024-03-11,40.13,40.33,39.78,40.04,43429,39.956,14032
2024-03-12,40.17,40.2,39.52,39.9,53083,39.814,16846
2024-03-13,40.14,40.14,39.49,39.65,60106,39.762,17743
2024-03-14,39.72,39.74,38.69,39.09,96058,38.934,27375
2024-03-15,38.9,39.18,38.62,39.11,92462,38.95,24211
2024-03-18,38.86,39.01,38.58,38.73,46775,38.86,14524
2024-03-19,38.72,38.91,38.38,38.7,49388,38.708,13664
2024-03-20,38.75,39.04,38.31,38.95,80792,38.734,24348
2024-03-21,39.14,39.3,38.84,39.16,59532,39.055,17440
2024-03-22,39.14,39.17,38.54,38.57,41713,38.748,11998
2024-03-25,38.63,38.79,38.41,38.44,53736,38.562,13684
2024-03-26,38.65,38.77,38.28,38.3,55276,38.46,13108
2024-03-27,38.6,39.37,38.42,39.2,64058,39.01,15598
2024-03-28,39.25,39.62,39.24,39.53,53604,39.501,14364
2024-04-01,39.56,39.62,38.7,38.71,76406,38.989,18529
2024-04-02,38.76,38.76,38.28,38.4,64787,38.408,15636
2024-04-03,38.4,38.54,38.17,38.47,50859,38.39,12774
2024-04-04,38.56,38.96,38.0,38.13,63234,38.472,15503
2024-04-05,38.25,38.49,37.95,38.49,57009,38.269,15081
2024-04-08,38.35,38.74,38.35,38.73,52930,38.633,11842
2024-04-09,38.73,39.36,38.73,39.24,72341,38.992,17908
2024-04-10,39.01,39.01,37.34,37.61,141190,37.621,32701
2024-04-11,37.41,37.91,37.3,37.55,89656,37.628,19725
2024-04-12,37.52,37.52,37.09,37.27,88310,37.26,21987
2024-04-15,37.27,37.54,36.34,36.52,72497,36.773,21473
2024-04-16,36.6,36.6,35.9,36.51,109302,36.125,26458
2024-04-17,36.04,36.12,35.61,35.82,111679,35.88,25486
2024-04-18,36.04,36.04,35.56,35.79,99574,35.754,20513
2024-04-19,35.74,36.05,35.73,35.97,103337,35.865,20848
2024-04-22,35.98,36.35,35.79,36.21,74818,36.058,14810
