date,open,high,low,close,volume,average,barCount
2024-01-02,178.25,178.33,176.46,177.15,57766,177.429,42660
2024-01-03,175.97,176.06,173.5,173.57,57436,174.533,43730
2024-01-04,172.87,174.49,172.29,172.35,41793,173.238,32726
2024-01-05,171.91,174.03,171.84,172.62,42763,172.953,31216
2024-01-08,172.92,175.76,172.87,175.56,31313,174.489,24764
2024-01-09,174.28,175.16,173.83,174.91,30066,174.614,22541
2024-01-10,175.18,176.74,175.14,176.31,28385,175.988,22893
2024-01-11,176.11,176.67,174.24,176.08,32116,175.401,26906
2024-01-12,175.35,176.15,173.63,173.96,27324,174.487,22785
2024-01-16,172.91,174.44,172.4,173.76,33578,173.495,26186
2024-01-17,171.93,172.3,170.96,172.24,29559,171.79,23699
2024-01-18,173.06,173.43,171.32,173.22,37833,172.701,29985
2024-01-19,173.49,175.25,172.45,174.89,38811,173.92,28200
2024-01-22,175.27,175.77,173.34,174.12,38091,174.337,27182
2024-01-23,174.29,174.87,172.82,173.7,27252,173.638,20019
2024-01-24,174.85,175.03,172.9,173.04,32064,173.932,26096
2024-01-25,171.41,171.55,169.72,170.9,42295,170.658,32807
2024-01-26,171.63,172.55,171.03,171.68,25981,171.752,20274
2024-01-29,172.03,174.22,171.73,174.19,28404,173.016,19802
2024-01-30,174.48,174.92,173.76,174.09,24098,174.32,17815
2024-01-31,172.98,173.91,170.77,170.92,53279,172.452,43774
2024-02-01,171.72,174.26,171.12,174.21,56287,172.728,41943
2024-02-02,175.4,178.04,174.56,177.32,80307,176.424,61976
2024-02-05,175.5,175.5,172.76,174.82,47614,174.296,36934
2024-02-06,174.07,175.92,174.07,175.88,34548,175.287,26401
2024-02-07,176.86,178.51,176.44,177.85,25661,177.704,19529
2024-02-08,177.97,178.74,177.63,178.63,33651,178.353,23137
2024-02-09,178.48,180.19,178.07,179.9,40039,179.326,29488
2024-02-12,179.96,180.88,179.41,179.75,23262,180.181,18034
2024-02-13,176.13,177.17,175.23,176.17,60191,176.111,36368
2024-02-14,176.84,178.11,175.87,178.03,46049,177.125,28190
2024-02-15,178.39,180.1,177.92,180.09,35269,179.233,28303
2024-02-16,179.31,180.07,177.92,179.02,31016,179.166,23290
