date,open,high,low,close,volume,average,barCount
2024-01-02,1.62,1.65,1.5812,1.61,469,1.62309,133
2024-01-03,1.5791,1.62,1.57,1.58,368,1.59992,115
2024-01-04,1.55,1.56,1.49,1.5,1845,1.51898,431
2024-01-05,1.5,1.548,1.45,1.53,968,1.49154,184
2024-01-08,1.52,1.5782,1.5105,1.56,532,1.53956,122
2024-01-09,1.56,1.57,1.535,1.56,634,1.5545,118
2024-01-10,1.54,1.56,1.5101,1.52,389,1.52798,96
2024-01-11,1.53,1.5551,1.5,1.51,726,1.52147,193
2024-01-12,1.511,1.53,1.5,1.505,1359,1.50751,175
2024-01-16,1.5,1.53,1.48,1.52,1056,1.5121,216
2024-01-17,1.5,1.552,1.48,1.5,1078,1.52244,309
2024-01-18,1.48,1.51,1.48,1.48,189,1.49642,60
2024-01-19,1.48,1.54,1.48,1.51,555,1.5054,160
2024-01-22,1.53,1.53,1.49,1.505,265,1.50711,100
2024-01-23,1.53,1.54,1.5,1.51,566,1.52832,166
2024-01-24,1.52,1.54,1.52,1.52,495,1.52821,176
2024-01-25,1.5432,1.5599,1.5,1.51,539,1.51618,80
2024-01-26,1.49,1.55,1.49,1.52,179,1.52731,52
2024-01-29,1.51,1.5506,1.4987,1.525,193,1.52927,88
2024-01-30,1.51,1.51,1.49,1.5,99,1.50022,49
2024-01-31,1.49,1.5286,1.49,1.51,155,1.51189,68
2024-02-01,1.5,1.52,1.49,1.49,294,1.50249,97
2024-02-02,1.51,1.51,1.48,1.48,360,1.4876,106
2024-02-05,1.48,1.4875,1.46,1.46,305,1.47054,115
2024-02-06,1.48,1.52,1.47,1.475,635,1.49936,164
2024-02-07,1.48,1.49,1.47,1.49,342,1.47948,124
2024-02-08,1.47,1.49,1.45,1.47,692,1.47192,148
2024-02-09,1.47,1.5,1.47,1.49,233,1.48658,92
2024-02-12,1.5,1.515,1.48,1.49,716,1.50305,183
2024-02-13,1.48,1.4807,1.46,1.47,577,1.46983,143
2024-02-14,1.45,1.49,1.45,1.48,458,1.47545,124
2024-02-15,1.4739,1.49,1.45,1.47,1021,1.46552,171
2024-02-16,1.46,1.5,1.45,1.49,369,1.49002,109
