date,open,high,low,close,volume,average,barCount
2023-12-21,16.19,16.425,16.1279,16.41,3831,16.30221,2628
2023-12-22,16.48,16.65,16.01,16.11,3399,16.20861,1978
2023-12-26,16.4,16.47,16.24,16.32,4235,16.36049,2851
2023-12-27,16.24,16.55,16.24,16.36,2336,16.40936,1742
2023-12-28,16.21,16.49,16.18,16.26,2068,16.30665,1482
2023-12-29,16.26,16.375,15.82,15.92,4863,16.01233,3464
2024-01-02,16.17,16.37,15.76,15.85,2315,16.0363,1596
2024-01-03,15.94,16.135,15.56,15.92,5838,15.90945,2909
2024-01-04,16.07,16.07,15.5,15.58,4732,15.69202,3066
2024-01-05,15.58,16.908,15.57,16.8,12606,16.57326,6387
2024-01-08,16.3,16.43,15.84,16.25,10654,16.11781,6199
2024-01-09,16.14,16.31,15.5,15.69,8408,15.72106,4940
2024-01-10,15.59,15.7546,15.4425,15.65,5441,15.59022,3576
2024-01-11,15.64,16.05,15.26,16.03,6189,15.82246,3990
2024-01-12,16.4,16.55,16.04,16.55,4467,16.36521,2877
2024-01-16,16.35,16.76,16.27,16.41,7007,16.49766,4587
2024-01-17,16.06,16.3318,15.97,16.24,5435,16.22165,3208
2024-01-18,16.47,17.05,16.34,16.78,7305,16.71621,4161
2024-01-19,16.82,17.11,16.48,17.1,7424,16.90552,4138
2024-01-22,17.24,17.625,17.08,17.35,9808,17.37303,4436
2024-01-23,17.43,17.84,17.35,17.77,4674,17.69385,2797
2024-01-24,18.1,18.61,17.925,18.54,10202,18.36476,4849
2024-01-25,19.12,19.25,18.1825,18.25,10493,18.4398,5777
2024-01-26,18.26,18.35,17.905,18.07,7278,18.09509,4870
2024-01-29,17.96,18.63,17.73,18.54,6646,18.34535,4548
2024-01-30,17.96,18.03,17.3201,17.78,9013,17.74568,5053
2024-01-31,17.83,18.09,17.33,17.6,7192,17.67606,4915
2024-02-01,17.66,17.955,17.48,17.83,4323,17.70335,3170
2024-02-02,17.73,17.75,17.17,17.17,4245,17.35683,2783
2024-02-05,17.02,17.32,16.79,17.14,5176,17.13119,3656
2024-02-06,17.28,17.54,17.14,17.4,3955,17.3943,2767
2024-02-07,17.34,17.4,17.045,17.3,3344,17.24608,1970
2024-02-08,17.35,17.73,17.285,17.55,4088,17.47883,1677
2024-02-09,17.59,17.72,17.48,17.64,6288,17.61544,2329
2024-02-12,17.77,18.36,17.77,18.21,3388,18.21415,2516
2024-02-13,17.96,18.095,17.49,17.7,4675,17.70974,3405
2024-02-14,17.95,18.08,17.64,17.81,4069,17.80142,1820
2024-02-15,17.98,18.88,17.88,18.74,3799,18.5982,2583
2024-02-16,18.75,19.37,18.62,19.09,10831,19.07711,5790
2024-02-20,19.08,19.36,18.97,19.23,10775,19.16767,4565
2024-02-21,19.3,20.82,19.06,19.32,13900,19.74347,9385
2024-02-22,19.01,19.37,18.75,18.92,6741,18.89018,3769
2024-02-23,18.6,18.88,18.42,18.7,5213,18.72895,2788
2024-02-26,18.51,18.72,18.28,18.51,3885,18.48229,2422
2024-02-27,18.64,18.77,18.45,18.56,2065,18.58329,1620
2024-02-28,18.38,18.565,18.12,18.13,4878,18.25581,2887
2024-02-29,18.47,18.75,17.79,17.89,6746,18.04704,4178
2024-03-01,18.18,18.96,17.94,18.86,3974,18.63457,2754
2024-03-04,18.94,18.94,18.3,18.31,2445,18.45445,1646
2024-03-05,18.19,18.47,17.96,17.98,2392,18.09768,1704
2024-03-06,18.2,18.355,17.92,18.18,2446,18.19467,1755
2024-03-07,18.28,18.68,18.25,18.6,2998,18.56014,1992
2024-03-08,18.69,18.74,18.16,18.26,2542,18.33699,1782
2024-03-11,18.15,18.47,17.99,18.3,2196,18.26213,1524
2024-03-12,18.29,18.35,17.965,18.34,4648,18.21794,2893
2024-03-13,18.51,18.79,18.3,18.39,3816,18.43707,2490
2024-03-14,18.59,18.72,18.315,18.52,3566,18.49999,2432
2024-03-15,18.3,18.7,18.3,18.45,11150,18.53089,4864
2024-03-18,18.5,18.685,18.37,18.57,5791,18.58253,3488
2024-03-19,18.63,19.19,18.62,19.18,9920,18.95944,4395
2024-03-20,18.97,19.62,18.9,19.35,5986,19.22528,3527
2024-03-21,19.42,19.72,19.42,19.57,3816,19.54832,2468
2024-03-22,19.52,19.77,19.2396,19.48,3324,19.45533,2457
2024-03-25,19.49,20.04,19.4,19.54,3018,19.61275,1775
2024-03-26,19.68,19.765,19.1,19.46,3837,19.42739,2077
2024-03-27,19.28,20.05,19.22,20.02,5018,19.83729,2502
2024-03-28,20.3,20.57,19.93,19.97,11612,20.10344,5415
