date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,3.73,3.8057,3.72,3.73,241,3.74728,47
2024-05-24 00:00:00,3.7,3.88,3.68,3.765,237,3.75229,37
2024-05-28 00:00:00,3.7,3.8799,3.68,3.75,167,3.72752,26
2024-05-29 00:00:00,3.7,3.82,3.7,3.73,117,3.71178,20
2024-05-30 00:00:00,3.73,3.97,3.73,3.91,149,3.83407,56
2024-05-31 00:00:00,3.98,4.17,3.98,4.15,469,4.09574,123
2024-06-03 00:00:00,4.19,4.19,4.0301,4.05,156,4.10916,54
2024-06-04 00:00:00,4.05,4.29,4.05,4.21,601,4.20833,141
2024-06-05 00:00:00,4.38,4.45,4.25,4.32,416,4.299,115
2024-06-06 00:00:00,4.39,4.39,4.2,4.25,389,4.22813,79
2024-06-07 00:00:00,4.22,4.38,4.2,4.205,464,4.23856,74
2024-06-10 00:00:00,4.23,4.31,4.23,4.31,27,4.28236,21
2024-06-11 00:00:00,4.24,4.29,4.24,4.25,161,4.25122,25
2024-06-12 00:00:00,4.23,4.26,4.23,4.23,12,4.24527,5
2024-06-13 00:00:00,4.265,4.27,4.25,4.26,59,4.2547,12
2024-06-14 00:00:00,4.25,4.3,4.25,4.3,166,4.2539,46
2024-06-17 00:00:00,4.3,4.39,4.29,4.36,257,4.34126,151
2024-06-18 00:00:00,4.34,4.45,4.34,4.45,211,4.4172,80
2024-06-20 00:00:00,4.4,4.45,4.34,4.405,222,4.42217,117
2024-06-21 00:00:00,4.38,4.38,4.25,4.29,188,4.29168,51
2024-06-24 00:00:00,4.29,4.41,4.28,4.4,206,4.34373,111
2024-06-25 00:00:00,4.34,4.415,4.34,4.4,96,4.36953,47
2024-06-26 00:00:00,4.43,4.45,4.37,4.4,207,4.41761,85
2024-06-27 00:00:00,4.38,4.39,4.33,4.36,236,4.36695,64
2024-06-28 00:00:00,4.35,4.38,4.31,4.31,197,4.34444,111
2024-07-01 00:00:00,4.32,4.35,4.28,4.295,120,4.30653,54
2024-07-02 00:00:00,4.28,4.33,4.26,4.27,286,4.28272,54
2024-07-03 00:00:00,4.29,4.33,4.28,4.29,344,4.2996,84
2024-07-05 00:00:00,4.28,4.34,4.26,4.295,195,4.29093,91
2024-07-08 00:00:00,4.27,4.3,4.25,4.27,305,4.26626,100
2024-07-09 00:00:00,4.3,4.34,4.234,4.3,253,4.27026,83
2024-07-10 00:00:00,4.26,4.38,4.26,4.36,434,4.3101,160
2024-07-11 00:00:00,4.36,4.44,4.32,4.42,156,4.37727,80
2024-07-12 00:00:00,4.43,4.43,4.23,4.32,20,4.345,17
2024-07-15 00:00:00,4.29,4.58,4.225,4.37,107,4.39624,59
2024-07-16 00:00:00,4.44,4.48,4.4,4.46,328,4.44926,143
2024-07-17 00:00:00,4.45,4.5,4.26,4.325,72,4.42279,28
2024-07-18 00:00:00,4.37,4.38,4.26,4.32,50,4.34531,30
2024-07-19 00:00:00,4.27,4.47,4.27,4.45,171,4.44292,100
2024-07-22 00:00:00,4.395,4.44,4.395,4.44,4,4.41,2
2024-07-23 00:00:00,4.45,4.45,4.4,4.4,27,4.42719,15
2024-07-24 00:00:00,4.38,4.43,4.38,4.43,22,4.40195,10
2024-07-25 00:00:00,4.42,4.42,4.33,4.35,32,4.35553,22
2024-07-26 00:00:00,4.33,4.3876,4.33,4.37,40,4.35547,18
2024-07-29 00:00:00,4.37,4.37,4.27,4.27,122,4.31512,61
2024-07-30 00:00:00,4.25,4.39,4.2,4.39,25,4.23154,9
2024-07-31 00:00:00,4.38,4.38,4.38,4.38,1,4.38,1
2024-08-01 00:00:00,4.33,4.345,4.2509,4.34,11,4.28115,9
2024-08-02 00:00:00,4.25,4.32,4.25,4.32,28,4.25812,13
2024-08-05 00:00:00,4.26,4.28,3.78,4.2,100,4.15122,40
2024-08-06 00:00:00,4.36,4.4,4.3,4.32,44,4.33941,31
2024-08-07 00:00:00,4.15,4.32,4.15,4.32,4,4.23625,4
2024-08-08 00:00:00,4.38,4.38,4.27,4.31,3,4.34667,2
2024-08-09 00:00:00,4.35,4.35,4.21,4.3,22,4.27,17
2024-08-12 00:00:00,4.33,4.33,4.21,4.21,6,4.28767,6
2024-08-13 00:00:00,4.3299,4.33,4.05,4.33,34,4.13125,23
2024-08-14 00:00:00,4.22,4.32,4.22,4.22,5,4.24574,5
2024-08-15 00:00:00,4.25,4.28,4.23,4.28,5,4.23996,4
2024-08-16 00:00:00,4.23,4.36,4.22,4.31,18,4.27926,14
2024-08-19 00:00:00,4.37,4.37,4.35,4.36,16,4.356,14
2024-08-20 00:00:00,4.46,4.66,4.39,4.46,81,4.5119,41
2024-08-21 00:00:00,4.41,4.5,4.41,4.45,49,4.45783,34
