date,open,high,low,close,volume,average,barCount
2024-05-24,4.74,4.8762,4.6,4.69,657,4.73219,197
2024-05-28,4.77,4.8,4.6,4.65,426,4.65843,186
2024-05-29,4.6,4.84,4.59,4.75,778,4.72907,304
2024-05-30,4.71,4.94,4.71,4.87,279,4.85859,160
2024-05-31,4.86,4.9032,4.73,4.84,457,4.80406,218
2024-06-03,4.8,4.87,4.7,4.81,393,4.78262,221
2024-06-04,4.85,4.91,4.705,4.77,427,4.79293,246
2024-06-05,4.82,4.89,4.77,4.8,456,4.82412,224
2024-06-06,4.8,4.905,4.72,4.77,541,4.79574,225
2024-06-07,4.77,4.78,4.6664,4.71,217,4.72935,122
2024-06-10,4.67,4.8103,4.63,4.71,370,4.7476,161
2024-06-11,4.64,4.89,4.64,4.76,563,4.80023,160
2024-06-12,4.84,4.88,4.71,4.78,324,4.82533,145
2024-06-13,4.85,4.85,4.71,4.72,232,4.7754,75
2024-06-14,4.81,5.12,4.72,4.72,1290,4.96675,451
2024-06-17,4.71,4.9395,4.7001,4.8,854,4.82074,362
2024-06-18,4.74,5.0154,4.7371,4.87,642,4.8895,204
2024-06-20,4.95,4.98,4.7,4.78,1337,4.83683,590
2024-06-21,4.79,5.05,4.68,4.93,2018,4.96177,550
2024-06-24,4.8,5.0499,4.8,4.93,865,4.97259,221
2024-06-25,4.84,4.94,4.3,4.71,1779,4.59842,643
2024-06-26,4.63,4.67,4.52,4.57,666,4.589,224
2024-06-27,4.54,4.6752,4.48,4.53,624,4.57414,278
2024-06-28,4.48,4.58,4.48,4.53,417,4.53601,171
2024-07-01,4.6,4.77,4.6,4.7,522,4.68734,197
2024-07-02,4.68,4.715,4.52,4.64,617,4.65288,273
2024-07-03,4.69,4.88,4.64,4.81,415,4.787,173
2024-07-05,4.86,4.86,4.5,4.56,1863,4.63628,580
2024-07-08,4.5,4.52,4.37,4.37,919,4.42704,328
2024-07-09,4.43,4.6,4.39,4.52,696,4.50673,270
2024-07-10,4.56,4.72,4.56,4.57,763,4.64717,276
2024-07-11,4.56,4.805,4.56,4.73,400,4.75171,182
2024-07-12,4.81,4.92,4.71,4.83,647,4.81765,270
2024-07-15,4.78,4.93,4.78,4.9,625,4.86732,260
2024-07-16,4.9,4.95,4.84,4.84,544,4.89751,237
2024-07-17,4.84,4.95,4.76,4.85,802,4.88076,319
2024-07-18,4.82,4.95,4.8,4.81,501,4.89165,190
2024-07-19,4.81,4.9,4.8,4.84,217,4.85033,102
2024-07-22,4.92,4.99,4.88,4.97,536,4.95174,168
2024-07-23,4.94,4.9885,4.8,4.83,519,4.84309,217
2024-07-24,4.8,4.84,4.65,4.68,419,4.73177,154
2024-07-25,4.6,4.74,4.6,4.65,345,4.68883,103
2024-07-26,4.69,4.69,4.55,4.64,337,4.62455,136
2024-07-29,4.69,4.86,4.66,4.75,585,4.76819,191
2024-07-30,4.74,4.785,4.65,4.7,297,4.71673,105
2024-07-31,4.75,4.85,4.65,4.75,208,4.76154,81
2024-08-01,4.7,4.87,4.46,4.51,485,4.64231,187
2024-08-02,4.45,4.6,4.37,4.41,670,4.4871,239
2024-08-05,4.2,4.4,4.12,4.34,864,4.27519,225
2024-08-06,4.32,4.6,4.32,4.48,325,4.43574,143
2024-08-07,4.48,4.495,4.37,4.37,337,4.40658,119
2024-08-08,4.41,4.51,4.31,4.32,654,4.4028,197
2024-08-09,4.32,4.44,4.31,4.42,561,4.38247,168
2024-08-12,4.47,4.6,4.39,4.4,573,4.49789,211
2024-08-13,4.46,4.78,4.45,4.65,554,4.64958,227
2024-08-14,4.54,4.75,4.45,4.45,532,4.54414,178
2024-08-15,4.53,4.84,4.53,4.71,838,4.70677,342
2024-08-16,4.7,4.93,4.655,4.84,554,4.84907,219
2024-08-19,4.82,4.94,4.75,4.92,1101,4.8756,382
2024-08-20,5.0,5.07,4.63,4.8,1421,4.89544,376
2024-08-21,4.85,4.95,4.6,4.62,905,4.6839,192
2024-08-22,4.69,4.82,4.65,4.76,760,4.7229,188
2024-08-23,4.82,4.97,4.73,4.86,548,4.876,189
2024-08-26,4.8,4.9402,4.7,4.88,1036,4.83492,416
2024-08-27,4.9,4.91,4.81,4.85,387,4.8538,213
2024-08-28,4.82,4.82,4.61,4.66,769,4.68095,295
2024-08-29,4.68,4.685,4.4,4.52,1185,4.49741,375
2024-08-30,4.54,4.575,4.42,4.52,866,4.47382,440
2024-09-03,4.45,4.505,4.3,4.36,818,4.35586,385
2024-09-04,4.32,4.465,4.22,4.42,788,4.3017,190
2024-09-05,4.46,4.55,4.37,4.52,597,4.49546,234
