symbol,snapshotTime,status,price,marketCap,currentPrice,peRatio,vol10dayAvg,vol_TODC,priceChgPct,breaksAbove10DayAvg,breaksAbove50MA,breaksAbove200MA,breaksBelow50MA,breaksBelow200MA,scoreVol,scoreGaps,scoreRTM,score_1D,validAv_1D
CSAI,2025-03-19 17:42:04,DAILY_TA,7.84,0.0,0.0,0.0,0.0,0.0,41.0,False,False,False,False,False,1134.67,20.0,100.0,418.22,42.9
BDTX,2025-03-19 17:42:04,DAILY_TA,2.145,95.19253,1.68,-99999.99,0.3878,0.0,42.0,False,True,False,False,False,97692.68,20.0,17.9,32576.86,28.6
HURA,2025-03-19 17:42:04,DAILY_TA,3.39,118.3967,2.8,-99999.99,0.14392,0.0,21.0,False,False,False,False,False,303.67,20.0,8.5,110.72,28.6
SVC,2025-03-19 17:42:04,DAILY_TA,2.93,414.925,2.49,-99999.99,1.97695,0.0,18.0,False,True,False,False,False,238.53,20.0,2.1,86.88,28.6
SIG,2025-03-19 17:42:04,DAILY_TA,56.97,2100.635,48.3,5.63482,1.20233,0.0,17.0,False,True,False,False,False,387.93,20.0,14.1,140.68,28.6
LZMH,2025-03-19 17:42:04,DAILY_TA,11.35,0.0,0.0,0.0,0.0,0.0,19.0,False,False,False,False,False,15.81,20.0,36.9,24.24,14.3
XNET,2025-03-19 17:42:04,DAILY_TA,5.2,283.9963,4.48,287.1795,1.40451,0.0,16.0,False,False,False,False,False,53.12,20.0,10.2,27.77,14.3
AIRS,2025-03-19 17:42:04,DAILY_TA,2.99,151.708,2.59,-99999.99,0.46562,0.0,15.0,False,False,False,False,False,-30.94,20.0,9.7,-0.41,14.3
AEVA,2025-03-19 17:42:04,DAILY_TA,3.05,144.4059,2.68,-99999.99,0.32502,0.0,13.0,False,False,False,False,False,-7.73,20.0,21.3,11.19,28.6
GRO,2025-03-19 17:42:04,DAILY_TA,3.83,128.4322,3.35,-99999.99,0.16306,0.0,14.000000000000002,False,False,False,False,False,168.68,20.0,100.0,96.23,42.9
STNE,2025-03-19 17:42:04,DAILY_TA,11.23,3121.628,10.19,8.68578,4.72629,0.0,14.000000000000002,False,False,True,False,False,634.37,80.0,8.0,240.79,71.4
